ReaxFF version 2.0
Compiled on:        Tue Sep 27 02:24:13 PDT 2016
Force field identifier: Reactive MD-force field                 
Geometry identifier: CC-ref                                  
 ewh   5.25534026575108551E-064
 ewh   1.30625908750878038E-059
 ewh   1.26875358461988831E-059
 ewh   4.84224138763158409E-064
 ewh   6.98702982792080392E-055
 ewh   5.17750336329972026E-047
 ewh   4.02702455340011640E-044
 ewh   4.90198254306119724E-047
 ewh   6.35299027794567487E-055
 ewh   5.06257625564350535E-064
 ewh   9.11871139110882476E-050
 ewh   9.78804844576849568E-038
 ewh   3.04176304328078978E-030
 ewh   2.95992707855655424E-030
 ewh   9.14762785018313943E-038
 ewh   8.34820566579304220E-050
 ewh   4.58860463940468098E-064
 ewh   8.82872378488705430E-050
 ewh   3.55621494813306483E-034
 ewh   1.07202485697412104E-020
 ewh   2.82878959168693506E-014
 ewh   1.03072308558065457E-020
 ewh   3.37613472357516314E-034
 ewh   8.34793813841215612E-050
 ewh   6.39371868919603910E-055
 ewh   9.20613666189302087E-038
 ewh   1.03725374157480822E-020
 ewh   1.03065356777131650E-020
 ewh   9.14687888245207806E-038
 ewh   6.35243116376306522E-055
 ewh   4.62157847446873253E-064
 ewh   4.68026854558365192E-047
 ewh   2.82882971691041993E-030
 ewh   2.71547765920555850E-014
 ewh   2.82828456170628713E-014
 ewh   2.95948747996971963E-030
 ewh   4.90132118019536717E-047
 ewh   4.84162410318843558E-064
 ewh   1.15599847391733685E-059
 ewh   3.69068606734767342E-044
 ewh   2.82868974383698182E-030
 ewh   1.03711381524978106E-020
 ewh   1.07180782093198363E-020
 ewh   3.04116052268233003E-030
 ewh   4.02630563100236389E-044
 ewh   1.26854635740566659E-059
 ewh   1.15596702278358140E-059
 ewh   4.67995293042988494E-047
 ewh   9.20500597584751045E-038
 ewh   3.55558011794746798E-034
 ewh   9.78604370585452966E-038
 ewh   5.17645512308568644E-047
 ewh   1.30601013076934814E-059
 ewh   4.62122507543077592E-064
 ewh   6.39296840107635936E-055
 ewh   8.82730862520827678E-050
 ewh   9.11695700474131242E-050
 ewh   6.98559413202463443E-055
 ewh   5.25426784626978493E-064
 ewh   5.06167250659872447E-064
Geometry identifier: CC-70959                                
 ewh   2.83150971125611429E-061
 ewh   2.83167970424408515E-061
 ewh   4.89981997311840698E-059
 ewh   4.90012405476028914E-059
 ewh   2.57417240502158069E-061
 ewh   2.57432658110289426E-061
 ewh   2.94742480352810423E-061
 ewh   2.94760180171888526E-061
 ewh   1.05178357707052743E-051
 ewh   1.05185719899762695E-051
 ewh   2.76702666907869878E-046
 ewh   2.76724039043641313E-046
 ewh   2.62544528405955897E-046
 ewh   2.62564780210083912E-046
 ewh   9.11979719150926596E-052
 ewh   9.12043317803764778E-052
 ewh   2.40416120224350120E-061
 ewh   2.40430475132573231E-061
 ewh   5.32403829648127132E-059
 ewh   5.32436888939453824E-059
 ewh   2.91388269785011596E-046
 ewh   2.91410785959394853E-046
 ewh   7.85507227927807568E-037
 ewh   7.85581344681992527E-037
 ewh   3.37168192851905619E-033
 ewh   3.37202952960969868E-033
 ewh   7.06022656245856726E-037
 ewh   7.06089083156616927E-037
 ewh   2.44718074285176765E-046
 ewh   2.44736889985925867E-046
 ewh   4.31463726790773342E-059
 ewh   4.31490339089648473E-059
 ewh   2.90330687906470447E-061
 ewh   2.90348090400578470E-061
 ewh   2.91145703254077025E-046
 ewh   2.91168180695924141E-046
 ewh   3.61310884171901803E-033
 ewh   3.61348162096998827E-033
 ewh   1.41766371267517069E-024
 ewh   1.41785144225651322E-024
 ewh   1.33545772669970757E-024
 ewh   1.33563426242449586E-024
 ewh   3.14279223430224928E-033
 ewh   3.14311512583305785E-033
 ewh   2.44702618185219079E-046
 ewh   2.44721399399088842E-046
 ewh   2.40392557683737900E-061
 ewh   2.40406860429906006E-061
 ewh   1.04940798779018614E-051
 ewh   1.04948124808871405E-051
 ewh   8.01127687144631506E-037
 ewh   8.01203159585313356E-037
 ewh   1.45954893841478071E-024
 ewh   1.45974212458425139E-024
 ewh   3.53527664737719266E-019
 ewh   3.53584567402692879E-019
 ewh   1.33531271943650973E-024
 ewh   1.33548892339743961E-024
 ewh   7.05913626323044667E-037
 ewh   7.05979808054371080E-037
 ewh   9.11823275164441746E-052
 ewh   9.11886525904513489E-052
 ewh   2.82238008923771861E-061
 ewh   2.82254878504607427E-061
 ewh   2.85760436149641164E-046
 ewh   2.85782435996506131E-046
 ewh   3.60878110528317581E-033
 ewh   3.60915244661814424E-033
 ewh   1.45939025442420757E-024
 ewh   1.45958307751104010E-024
 ewh   1.41735559839088209E-024
 ewh   1.41754262299782411E-024
 ewh   3.37082692764806635E-033
 ewh   3.37117259827781305E-033
 ewh   2.62478167756568012E-046
 ewh   2.62498271488483838E-046
 ewh   2.57354145276024629E-061
 ewh   2.57369423204136024E-061
 ewh   5.09360042667287151E-059
 ewh   5.09391494575480515E-059
 ewh   2.85742364444244019E-046
 ewh   2.85764323966247104E-046
 ewh   8.01003810346242494E-037
 ewh   8.01079004205403476E-037
 ewh   3.61219190978821200E-033
 ewh   3.61256261867262725E-033
 ewh   7.85264372948427254E-037
 ewh   7.85337943560600165E-037
 ewh   2.76615207213139903E-046
 ewh   2.76636384194849008E-046
 ewh   4.89832802125414024E-059
 ewh   4.89862879683244212E-059
 ewh   2.82210318732782072E-061
 ewh   2.82227127012162774E-061
 ewh   1.04922777750038776E-051
 ewh   1.04930063701915370E-051
 ewh   2.91072049696545142E-046
 ewh   2.91094362788330386E-046
 ewh   2.91296128429145398E-046
 ewh   2.91318438999873776E-046
 ewh   1.05142236565679516E-051
 ewh   1.05149518426514041E-051
 ewh   2.83053751924387999E-061
 ewh   2.83070535995970272E-061
 ewh   2.90259469714967824E-061
 ewh   2.90276714543085050E-061
 ewh   5.32241626938645060E-059
 ewh   5.32274326794181614E-059
 ewh   2.94641254872840530E-061
 ewh   2.94658730593863309E-061
 ewh   5.25534026575108551E-064
 ewh   1.30625908750878038E-059
 ewh   1.26875358461988831E-059
 ewh   4.84224138763158409E-064
 ewh   6.98702982792080392E-055
 ewh   5.17750336329972026E-047
 ewh   4.02702455340011640E-044
 ewh   4.90198254306119724E-047
 ewh   6.35299027794567487E-055
 ewh   5.06257625564350535E-064
 ewh   9.11871139110882476E-050
 ewh   2.95181298493094364E-060
 ewh   9.78804844576849568E-038
 ewh   2.95181456838551937E-060
 ewh   1.38261734073917570E-055
 ewh   3.04176304328078978E-030
 ewh   1.38261797936341691E-055
 ewh   1.36069561959784364E-055
 ewh   2.95992707855655424E-030
 ewh   1.36069609091842763E-055
 ewh   2.82321438879532378E-060
 ewh   9.14762785018313943E-038
 ewh   2.82321499440522102E-060
 ewh   8.34820566579304220E-050
 ewh   4.58860463940468098E-064
 ewh   8.82872378488705430E-050
 ewh   5.71162291150862576E-058
 ewh   3.55621494813306483E-034
 ewh   5.71162545077826003E-058
 ewh   1.58250062234232195E-050
 ewh   1.07202485697412104E-020
 ewh   1.58250121994491376E-050
 ewh   8.07714896155441698E-048
 ewh   2.82878959168693506E-014
 ewh   8.07715109805164172E-048
 ewh   1.55361821244389084E-050
 ewh   1.03072308558065457E-020
 ewh   1.55361840798122840E-050
 ewh   5.52883247675286962E-058
 ewh   3.37613472357516314E-034
 ewh   5.52883247675286962E-058
 ewh   8.34793813841215612E-050
 ewh   6.39371868919603910E-055
 ewh   2.83509007281503587E-060
 ewh   9.20613666189302087E-038
 ewh   2.83509098507650610E-060
 ewh   1.55822641885294808E-050
 ewh   1.03725374157480822E-020
 ewh   1.55822681109660996E-050
 ewh   5.76585266448540827E-045
 ewh   5.76585347006819886E-045
 ewh   5.75947009404940397E-045
 ewh   5.75947009404940397E-045
 ewh   1.55356926799567418E-050
 ewh   1.03065356777131650E-020
 ewh   1.55356907246456524E-050
 ewh   2.82306280181432599E-060
 ewh   9.14687888245207806E-038
 ewh   2.82306219623715665E-060
 ewh   6.35243116376306522E-055
 ewh   4.62157847446873253E-064
 ewh   4.68026854558365192E-047
 ewh   1.32503768641216403E-055
 ewh   2.82882971691041993E-030
 ewh   1.32503783937313317E-055
 ewh   7.95509796826784629E-048
 ewh   2.71547765920555850E-014
 ewh   7.95509796826784629E-048
 ewh   5.76565102148228712E-045
 ewh   5.76565021592786477E-045
 ewh   8.07661418983940907E-048
 ewh   2.82828456170628713E-014
 ewh   8.07661205348523712E-048
 ewh   1.36057764785182969E-055
 ewh   2.95948747996971963E-030
 ewh   1.36057717657258198E-055
 ewh   4.90132118019536717E-047
 ewh   4.84162410318843558E-064
 ewh   1.15599847391733685E-059
 ewh   3.69068606734767342E-044
 ewh   1.32499939910483794E-055
 ewh   2.82868974383698182E-030
 ewh   1.32499924614834375E-055
 ewh   1.55812823891680097E-050
 ewh   1.03711381524978106E-020
 ewh   1.55812784669812928E-050
 ewh   1.58235104274597576E-050
 ewh   1.07180782093198363E-020
 ewh   1.58235044520054490E-050
 ewh   1.38245749514123902E-055
 ewh   3.04116052268233003E-030
 ewh   1.38245685659159614E-055
 ewh   4.02630563100236389E-044
 ewh   1.26854635740566659E-059
 ewh   1.15596702278358140E-059
 ewh   4.67995293042988494E-047
 ewh   2.83486173264968517E-060
 ewh   9.20500597584751045E-038
 ewh   2.83486082046246610E-060
 ewh   5.71098733909406827E-058
 ewh   3.55558011794746798E-034
 ewh   5.71098480011007205E-058
 ewh   2.95141665507372315E-060
 ewh   9.78604370585452966E-038
 ewh   2.95141507183402801E-060
 ewh   5.17645512308568644E-047
 ewh   1.30601013076934814E-059
 ewh   4.62122507543077592E-064
 ewh   6.39296840107635936E-055
 ewh   8.82730862520827678E-050
 ewh   9.11695700474131242E-050
 ewh   6.98559413202463443E-055
 ewh   5.25426784626978493E-064
 ewh   5.06167250659872447E-064
 ewh   9.03834126450666361E-060
 ewh   9.03889637317895966E-060
 ewh   4.45333129886099664E-055
 ewh   4.45362569580457308E-055
 ewh   4.22941747503199398E-055
 ewh   4.22969672034758084E-055
 ewh   7.82919178370925600E-060
 ewh   7.82967090352802808E-060
 ewh   3.75770087103381077E-064
 ewh   3.75791716615885959E-064
 ewh   1.48251907582537777E-052
 ewh   1.48262133015907658E-052
 ewh   2.48558133822997908E-044
 ewh   2.48578082902637940E-044
 ewh   2.75349521647862213E-041
 ewh   2.75373034606850192E-041
 ewh   2.23361684739085595E-044
 ewh   2.23379563350644218E-044
 ewh   1.23396763730567547E-052
 ewh   1.23405233233508784E-052
