        _                                    
  _ __ | |__   ___  _ __   ___   _ __  _   _ 
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      1.10.0

Python version 2.7.11
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      16.9523193      0.0000000      0.0000000     16.9523193
      10.000      16.9519181      0.1182118      0.2293615     16.9531002
      20.000      16.9489838      0.5324736      1.2063485     16.9596333
      30.000      16.9401473      1.2761628      2.5549621     16.9784322
      40.000      16.9229262      2.1832320      3.7774137     17.0102555
      50.000      16.8963178      3.1421405      4.8364042     17.0534248
      60.000      16.8600509      4.1118994      5.8295659     17.1067649
      70.000      16.8140644      5.0867028      6.8570617     17.1701336
      80.000      16.7582723      6.0749919      7.9930746     17.2442716
      90.000      16.6924784      7.0890994      9.2786674     17.3304973
     100.000      16.6163668      8.1401132     10.7234083     17.4303782
     110.000      16.5295272      9.2356517     12.3126909     17.5454489
     120.000      16.4314928     10.3793614     14.0170344     17.6770162
     130.000      16.3217788     11.5713416     15.8004553     17.8260532
     140.000      16.1999137     12.8089544     17.6265966     17.9931673
     150.000      16.0654625     14.0876971     19.4624927     18.1786171
     160.000      15.9180413     15.4019711     21.2804261     18.3823566
     170.000      15.7573249     16.7456886     23.0584700     18.6040920
     180.000      15.5830498     18.1127116     24.7802408     18.8433379
     190.000      15.3950127     19.4971461     26.4342446     19.0994705
     200.000      15.1930672     20.8935235     28.0130700     19.3717719
     210.000      14.9771190     22.2968962     29.5125758     19.6594672
     220.000      14.7471206     23.7028763     30.9311524     19.9617534
     230.000      14.5030656     25.1076334     32.2690872     20.2778213
     240.000      14.2449831     26.5078696     33.5280433     20.6068718
     250.000      13.9729327     27.9007796     34.7106429     20.9481276
