        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.7098612      0.0000000      0.0000000     65.7098612
      10.000      65.7098491      0.0059880      0.0193837     65.7099089
      20.000      65.7096558      0.0359524      0.0793884     65.7103748
      30.000      65.7090556      0.0891272      0.2104183     65.7117295
      40.000      65.7077382      0.1825122      0.4753126     65.7150387
      50.000      65.7052262      0.3293560      0.8775250     65.7216940
      60.000      65.7009573      0.5342553      1.4071997     65.7330126
      70.000      65.6943420      0.7988628      2.0642940     65.7502624
      80.000      65.6847767      1.1244611      2.8517700     65.7747336
      90.000      65.6716461      1.5120468      3.7688050     65.8077303
     100.000      65.6543280      1.9619352      4.8092383     65.8505215
     110.000      65.6322016      2.4735454      5.9625168     65.9042915
     120.000      65.6046562      3.0453921      7.2151679     65.9701033
     130.000      65.5711004      3.6751975      8.5521731     66.0488761
     140.000      65.5309687      4.3600557      9.9581292     66.1413765
     150.000      65.4837270      5.0966127     11.4181752     66.2482189
     160.000      65.4288762      5.8812402     12.9186664     66.3698746
     170.000      65.3659544      6.7101903     14.4475922     66.5066868
     180.000      65.2945371      7.5797219     15.9947591     66.6588871
     190.000      65.2142369      8.4861988     17.5517861     66.8266146
     200.000      65.1247016      9.4261579     19.1119668     67.0099332
     210.000      65.0256129     10.3963520     20.6700534     67.2088469
     220.000      64.9166838     11.3937721     22.2220076     67.4233137
     230.000      64.7976560     12.4156532     23.7647514     67.6532562
     240.000      64.6682977     13.4594686     25.2959398     67.8985701
     250.000      64.5284012     14.5229170     26.8137663     68.1591304
     260.000      64.3777809     15.6039048     28.3168053     68.4347961
     270.000      64.2162710     16.7005272     29.8038913     68.7254134
     280.000      64.0437240     17.8110480     31.2740298     69.0308175
     290.000      63.8600090     18.9338810     32.7263364     69.3508345
     300.000      63.6650102     20.0675727     34.1599963     69.6852820
     310.000      63.4586258     21.2107867     35.5742422     70.0339697
     320.000      63.2407669     22.3622901     36.9683422     70.3966997
     330.000      63.0113562     23.5209420     38.3415975     70.7732671
     340.000      62.7703277     24.6856830     39.6933442     71.1634600
     350.000      62.5176255     25.8555275     41.0229585     71.5670602
     360.000      62.2532032     27.0295561     42.3298629     71.9838434
     370.000      61.9770233     28.2069098     43.6135324     72.4135800
     380.000      61.6890567     29.3867853     44.8735002     72.8560351
     390.000      61.3892817     30.5684304     46.1093624     73.3109696
     400.000      61.0776845     31.7511408     47.3207806     73.7781408
     410.000      60.7542576     32.9342567     48.5074843     74.2573028
     420.000      60.4190001     34.1171604     49.6692711     74.7482074
     430.000      60.0719170     35.2992738     50.8060060     75.2506047
     440.000      59.7130190     36.4800563     51.9176198     75.7642438
     450.000      59.3423220     37.6590030     53.0041065     76.2888734
     460.000      58.9598467     38.8356428     54.0655202     76.8242424
     470.000      58.5656183     40.0095367     55.1019711     77.3701006
     480.000      58.1596665     41.1802764     56.1136217     77.9261991
     490.000      57.7420246     42.3474826     57.1006825     78.4922910
     500.000      57.3127298     43.5108038     58.0634076     79.0681316
     510.000      56.8718225     44.6699147     59.0020899     79.6534790
     520.000      56.4193465     45.8245152     59.9170576     80.2480944
     530.000      55.9553482     46.9743286     60.8086692     80.8517423
     540.000      55.4798767     48.1191009     61.6773099     81.4641912
     550.000      54.9929837     49.2585992     62.5233877     82.0852133
     560.000      54.4947230     50.3926109     63.3473297     82.7145852
     570.000      53.9851505     51.5209423     64.1495789     83.3520876
     580.000      53.4643237     52.6434177     64.9305909     83.9975060
     590.000      52.9323022     53.7598780     65.6908314     84.6506302
     600.000      52.3891467     54.8701804     66.4307731     85.3112549
     610.000      51.8349195     55.9741968     67.1508938     85.9791796
     620.000      51.2696841     57.0718133     67.8516741     86.6542083
     630.000      50.6935049     58.1629290     68.5335953     87.3361502
     640.000      50.1064475     59.2474555     69.1971381     88.0248190
     650.000      49.5085780     60.3253158     69.8427808     88.7200333
     660.000      48.8999636     61.3964438     70.4709980     89.4216165
     670.000      48.2806718     62.4607835     71.0822596     90.1293967
     680.000      47.6507707     63.5182883     71.6770296     90.8432067
     690.000      47.0103289     64.5689202     72.2557653     91.5628839
     700.000      46.3594153     65.6126497     72.8189168     92.2882701
     710.000      45.6980990     66.6494545     73.3669260     93.0192117
     720.000      45.0264494     67.6793197     73.9002265     93.7555596
     730.000      44.3445358     68.7022368     74.4192426     94.4971687
     740.000      43.6524278     69.7182033     74.9243897     95.2438982
     750.000      42.9501949     70.7272223     75.4160735     95.9956116
     760.000      42.2379065     71.7293022     75.8946900     96.7521761
     770.000      41.5156319     72.7244561     76.3606254     97.5134631
     780.000      40.7834404     73.7127016     76.8142560     98.2793476
     790.000      40.0414008     74.6940602     77.2559481     99.0497084
     800.000      39.2895821     75.6685574     77.6860581     99.8244280
     810.000      38.5280525     76.6362218     78.1049327    100.6033921
     820.000      37.7568803     77.5970854     78.5129085    101.3864903
     830.000      36.9761333     78.5511828     78.9103127    102.1736151
     840.000      36.1858791     79.4985516     79.2974627    102.9646624
     850.000      35.3861846     80.4392313     79.6746667    103.7595312
     860.000      34.5771166     81.3732639     80.0422235    104.5581235
     870.000      33.7587413     82.3006933     80.4004229    105.3603445
     880.000      32.9311246     83.2215650     80.7495458    106.1661017
     890.000      32.0943317     84.1359262     81.0898644    106.9753060
     900.000      31.2484276     85.0438255     81.4216425    107.7878706
     910.000      30.3934766     85.9453128     81.7451354    108.6037113
     920.000      29.5295425     86.8404391     82.0605906    109.4227465
     930.000      28.6566888     87.7292562     82.3682477    110.2448971
     940.000      27.7749783     88.6118170     82.6683384    111.0700862
     950.000      26.8844732     89.4881749     82.9610873    111.8982394
     960.000      25.9852353     90.3583843     83.2467117    112.7292842
     970.000      25.0773258     91.2224998     83.5254218    113.5631506
     980.000      24.1608054     92.0805764     83.7974211    114.3997703
     990.000      23.2357342     92.9326697     84.0629064    115.2390773
    1000.000      22.3021718     93.7788356     84.3220683    116.0810073
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

