        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.7649873      0.0000000      0.0000000     65.7649873
      10.000      65.7649744      0.0061339      0.0185120     65.7650358
      20.000      65.7648018      0.0300210      0.0591039     65.7654022
      30.000      65.7643119      0.0733924      0.1862371     65.7665137
      40.000      65.7631838      0.1611491      0.4613567     65.7696298
      50.000      65.7608983      0.3057848      0.8709062     65.7761875
      60.000      65.7568705      0.5096845      1.4021356     65.7874516
      70.000      65.7505052      0.7734241      2.0578095     65.8046449
      80.000      65.7411991      1.0980257      2.8433199     65.8290412
      90.000      65.7283383      1.4845285      3.7589870     65.8619458
     100.000      65.7113007      1.9333524      4.7990067     65.9046360
     110.000      65.6894650      2.4440060      5.9528370     65.9583057
     120.000      65.6622192      3.0150648      7.2068836     66.0240269
     130.000      65.6289698      3.6442849      8.5459580     66.1027268
     140.000      65.5891492      4.3287737      9.9544726     66.1951775
     150.000      65.5422212      5.0651748     11.4173838     66.3019974
     160.000      65.4876848      5.8498468     12.9208760     66.4236603
     170.000      65.4250760      6.6790208     14.4527862     66.5605095
     180.000      65.3539686      7.5489306     16.0027914     66.7127761
     190.000      65.2739738      8.4559125     17.5624057     66.8805972
     200.000      65.1847384      9.3964751     19.1248432     67.0640335
     210.000      65.0859433     10.3673444     20.6848008     67.2630856
     220.000      64.9773007     11.3654857     22.2382065     67.4777075
     230.000      64.8585520     12.3881110     23.7819681     67.7078175
     240.000      64.7294653     13.4326730     25.3137424     67.9533069
     250.000      64.5898332     14.4968529     26.8317377     68.2140464
     260.000      64.4394699     15.5785425     28.3345533     68.4898910
     270.000      64.2782104     16.6758248     29.8210556     68.7806831
     280.000      64.1059073     17.7869544     31.2902871     69.0862545
     290.000      63.9224304     18.9103378     32.7414026     69.4064284
     300.000      63.7276646     20.0445168     34.1736279     69.7410196
     310.000      63.5215086     21.1881515     35.5862358     70.0898356
     320.000      63.3038742     22.3400077     36.9785330     70.4526766
     330.000      63.0746848     23.4989438     38.3498571     70.8293363
     340.000      62.8338752     24.6639016     39.6995780     71.2196017
     350.000      62.5813900     25.8338967     41.0271026     71.6232539
     360.000      62.3171836     27.0080123     42.3318809     72.0400680
     370.000      62.0412189     28.1853922     43.6134123     72.4698140
     380.000      61.7534675     29.3652361     44.8712510     72.9122572
     390.000      61.4539085     30.5467956     46.1050113     73.3671588
     400.000      61.1425282     31.7293698     47.3143701     73.8342761
     410.000      60.8193199     32.9123026     48.4990696     74.3133640
     420.000      60.4842830     34.0949801     49.6589178     74.8041747
     430.000      60.1374231     35.2768279     50.7937878     75.3064590
     440.000      59.7787510     36.4573089     51.9036167     75.8199669
     450.000      59.4082831     37.6359217     52.9884032     76.3444479
     460.000      59.0260404     38.8121986     54.0482043     76.8796517
     470.000      58.6320484     39.9857036     55.0831323     77.4253291
     480.000      58.2263369     41.1560314     56.0933504     77.9812320
     490.000      57.8089396     42.3228057     57.0790689     78.5471144
     500.000      57.3798938     43.4856775     58.0405411     79.1227325
     510.000      56.9392401     44.6443240     58.9780584     79.7078454
     520.000      56.4870224     45.7984472     59.8919469     80.3022149
     530.000      56.0232872     46.9477727     60.7825628     80.9056067
     540.000      55.5480838     48.0920484     61.6502884     81.5177899
     550.000      55.0614638     49.2310431     62.4955288     82.1385375
