        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.8802829      0.0000000      0.0000000     65.8802829
      10.000      65.8802511      0.0124695      0.0282687     65.8803758
      20.000      65.8799778      0.0429981      0.0682212     65.8808377
      30.000      65.8793409      0.0892851      0.1901104     65.8820194
      40.000      65.8780521      0.1769553      0.4562782     65.8851304
      50.000      65.8756177      0.3195163      0.8572913     65.8915935
      60.000      65.8714677      0.5202782      1.3813148     65.9026844
      70.000      65.8650145      0.7803339      2.0308244     65.9196379
      80.000      65.8556590      1.1009763      2.8110288     65.9437371
      90.000      65.8427889      1.4834123      3.7222975     65.9762960
     100.000      65.8257829      1.9281868      4.7589508     66.0186016
     110.000      65.8040186      2.4349080      5.9105262     66.0718585
     120.000      65.7768826      3.0022281      7.1634207     66.1371500
     130.000      65.7437793      3.6279574      8.5023533     66.2154137
     140.000      65.7041383      4.3092362      9.9115838     66.3074313
     150.000      65.6574205      5.0427223     11.3758823     66.4138288
     160.000      65.6031219      5.8247733     12.8812362     66.5350856
     170.000      65.5407757      6.6516075     14.4152909     66.6715490
     180.000      65.4699531      7.5194378     15.9675489     66.8234519
     190.000      65.3902627      8.4245739     17.5293739     66.9909317
     200.000      65.3013491      9.3634952     19.0938567     67.1740481
     210.000      65.2028912     10.3328970     20.6555989     67.3727996
     220.000      65.0945998     11.3297149     22.2104604     67.5871370
     230.000      64.9762149     12.3511321     23.7553059     67.8169753
     240.000      64.8475037     13.3945754     25.2877704     68.0622018
     250.000      64.7082578     14.4577023     26.8060591     68.3226834
