        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      50.0209324      0.0000000      0.0000000     50.0209324
      10.000      50.0207253      0.0785938      0.1691132     50.0215112
      20.000      50.0191121      0.2404250      0.3027713     50.0239206
      30.000      50.0159681      0.3871971      0.4324784     50.0275841
      40.000      50.0113753      0.5317570      0.5863130     50.0326456
      50.000      50.0053076      0.6839833      0.7986748     50.0395068
      60.000      49.9976340      0.8546523      1.0985886     50.0489131
      70.000      49.9881231      1.0526706      1.4976089     50.0618100
      80.000      49.9764688      1.2841378      1.9968576     50.0791998
      90.000      49.9623161      1.5528244      2.5929716     50.1020703
     100.000      49.9452811      1.8608286      3.2804546     50.1313640
     110.000      49.9249654      2.2090485      4.0522931     50.1679607
     120.000      49.9009660      2.5974798      4.9002352     50.2126636
     130.000      49.8728840      3.0254221      5.8152105     50.2661889
     140.000      49.8403299      3.4916439      6.7878770     50.3291601
     150.000      49.8029289      3.9945299      7.8091505     50.4021084
     160.000      49.7603233      4.5322100      8.8706075     50.4854769
     170.000      49.7121754      5.1026697      9.9647201     50.5796292
     180.000      49.6581676      5.7038370     11.0849368     50.6848583
     190.000      49.5980032      6.3336474     12.2256483     50.8013962
     200.000      49.5314059      6.9900883     13.3820831     50.9294236
     210.000      49.4581191      7.6712264     14.5501724     51.0690767
     220.000      49.3779052      8.3752224     15.7264105     51.2204541
     230.000      49.2905443      9.1003369     16.9077294     51.3836218
     240.000      49.1958335      9.8449290     18.0913950     51.5586165
     250.000      49.0935859     10.6074530     19.2749275     51.7454492
     260.000      48.9836296     11.3864516     20.4560442     51.9441070
     270.000      48.8658066     12.1805495     21.6326225     52.1545549
     280.000      48.7399726     12.9884467     22.8026767     52.3767377
     290.000      48.6059958     13.8089129     23.9643465     52.6105805
     300.000      48.4637563     14.6407817     25.1158929     52.8559908
     310.000      48.3131458     15.4829465     26.2556978     53.1128592
     320.000      48.1540666     16.3343565     27.3822668     53.3810607
     330.000      47.9864312     17.1940141     28.4942314     53.6604559
     340.000      47.8101620     18.0609720     29.5903521     53.9508925
     350.000      47.6251904     18.9343313     30.6695190     54.2522064
     360.000      47.4314569     19.8132394     31.7307518     54.5642230
     370.000      47.2289098     20.6968890     32.7731982     54.8867588
     380.000      47.0175058     21.5845161     33.7961307     55.2196219
     390.000      46.7972087     22.4753991     34.7989419     55.5626143
     400.000      46.5679893     23.3688570     35.7811392     55.9155321
     410.000      46.3298251     24.2642488     36.7423384     56.2781671
     420.000      46.0826998     25.1609715     37.6822565     56.6503079
     430.000      45.8266031     26.0584594     38.6007044     57.0317406
     440.000      45.5615299     26.9561822     39.4975797     57.4222501
     450.000      45.2874803     27.8536442     40.3728581     57.8216202
     460.000      45.0044594     28.7503825     41.2265868     58.2296354
     470.000      44.7124765     29.6459659     42.0588766     58.6460805
     480.000      44.4115453     30.5399932     42.8698952     59.0707420
     490.000      44.1016831     31.4320921     43.6598599     59.5034082
     500.000      43.7829110     32.3219177     44.4290321     59.9438699
     510.000      43.4552534     33.2091513     45.1777106     60.3919205
     520.000      43.1187376     34.0934986     45.9062265     60.8473569
     530.000      42.7733939     34.9746889     46.6149384     61.3099791
     540.000      42.4192552     35.8524735     47.3042274     61.7795909
     550.000      42.0563566     36.7266247     47.9744929     62.2560002
     560.000      41.6847355     37.5969343     48.6261493     62.7390187
     570.000      41.3044313     38.4632127     49.2596220     63.2284626
     580.000      40.9154853     39.3252875     49.8753448     63.7241520
     590.000      40.5179401     40.1830028     50.4737570     64.2259118
     600.000      40.1118402     41.0362178     51.0553010     64.7335709
     610.000      39.6972312     41.8848063     51.6204204     65.2469630
     620.000      39.2741599     42.7286551     52.1695578     65.7659261
     630.000      38.8426742     43.5676637     52.7031534     66.2903024
     640.000      38.4028231     44.4017433     53.2216437     66.8199388
     650.000      37.9546561     45.2308158     53.7254602     67.3546863
     660.000      37.4982237     46.0548134     54.2150284     67.8944005
     670.000      37.0335769     46.8736775     54.6907669     68.4389408
     680.000      36.5607674     47.6873584     55.1530868     68.9881711
     690.000      36.0798471     48.4958145     55.6023909     69.5419592
     700.000      35.5908686     49.2990117     56.0390736     70.1001768
     710.000      35.0938845     50.0969230     56.4635202     70.6626998
     720.000      34.5889478     50.8895276     56.8761069     71.2294077
     730.000      34.0761117     51.6768109     57.2772000     71.8001837
     740.000      33.5554294     52.4587638     57.6671568     72.3749146
     750.000      33.0269542     53.2353822     58.0463245     72.9534908
     760.000      32.4907395     54.0066667     58.4150407     73.5358062
     770.000      31.9468387     54.7726224     58.7736334     74.1217579
     780.000      31.3953048     55.5332582     59.1224208     74.7112462
