        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.7508996      0.0000000      0.0000000     65.7508996
      10.000      65.7508867      0.0063879      0.0210747     65.7509506
      20.000      65.7506743      0.0398738      0.0886341     65.7514717
      30.000      65.7500126      0.0972344      0.2193703     65.7529297
      40.000      65.7486062      0.1914525      0.4697019     65.7562643
      50.000      65.7460183      0.3350219      0.8533563     65.7627694
      60.000      65.7417203      0.5341343      1.3682718     65.7737684
      70.000      65.7351399      0.7919249      2.0151599     65.7905747
      80.000      65.7256793      1.1104691      2.7954645     65.8145168
      90.000      65.7127235      1.4910928      3.7069728     65.8469219
     100.000      65.6956490      1.9342165      4.7426540     65.8890706
     110.000      65.6738326      2.4392702      5.8914718     65.9421524
     120.000      65.6466621      3.0047461      7.1397081     66.0072316
     130.000      65.6135439      3.6283355      8.4722439     66.0852276
     140.000      65.5739114      4.3071047      9.8736669     66.1769060
     150.000      65.5272291      5.0376791     11.3291634     66.2828810
     160.000      65.4729972      5.8164182     12.8251694     66.4036241
     170.000      65.4107527      6.6395692     14.3497697     66.5394795
     180.000      65.3400703      7.5033929     15.8928692     66.6906810
     190.000      65.2605614      8.4042595     17.4461782     66.8573707
     200.000      65.1718731      9.3387159     19.0030685     67.0396163
     210.000      65.0736859     10.3035270     20.5583544     67.2374266
     220.000      64.9657114     11.2956964     22.1080412     67.4507647
     230.000      64.8476900     12.3124717     23.6490766     67.6795585
     240.000      64.7193884     13.3513380     25.1791242     67.9237095
     250.000      64.5805973     14.4100041     26.6963713     68.1830983
     260.000      64.4311293     15.4863851     28.1993732     68.4575894
     270.000      64.2708169     16.5785830     29.6869355     68.7470343
     280.000      64.0995107     17.6848662     31.1580269     69.0512732
     290.000      63.9170779     18.8036515     32.6117210     69.3701368
     300.000      63.7234008     19.9334864     34.0471580     69.7034468
     310.000      63.5183758     21.0730342     35.4635235     70.0510164
     320.000      63.3019119     22.2210599     36.8600391     70.4126511
     330.000      63.0739302     23.3764193     38.2359604     70.7881485
     340.000      62.8343626     24.5380490     39.5905799     71.1772993
     350.000      62.5831516     25.7049580     40.9232329     71.5798869
     360.000      62.3202490     26.8762214     42.2333038     71.9956886
     370.000      62.0456155     28.0509738     43.5202332     72.4244758
     380.000      61.7592206     29.2284051     44.7835231     72.8660145
     390.000      61.4610410     30.4077564     46.0227416     73.3200660
     400.000      61.1510614     31.5883162     47.2375261     73.7863879
     410.000      60.8292729     32.7694176     48.4275847     74.2647341
     420.000      60.4956733     33.9504359     49.5926966     74.7548564
     430.000      60.1502664     35.1307860     50.7327113     75.2565044
     440.000      59.7930617     36.3099205     51.8475465     75.7694267
     450.000      59.4240738     37.4873279     52.9371854     76.2933713
     460.000      59.0433225     38.6625306     54.0016733     76.8280866
     470.000      58.6508320     39.8350836     55.0411137     77.3733213
     480.000      58.2466310     41.0045726     56.0556637     77.9288259
     490.000      57.8307521     42.1706128     57.0455300     78.4943523
     500.000      57.4032314     43.3328472     58.0109638     79.0696550
     510.000      56.9641089     44.4909455     58.9522568     79.6544911
     520.000      56.5134273     45.6446028     59.8697362     80.2486208
     530.000      56.0512326     46.7935378     60.7637608     80.8518076
     540.000      55.5775732     47.9374924     61.6347164     81.4638191
     550.000      55.0925001     49.0762296     62.4830122     82.0844264
     560.000      54.5960667     50.2095331     63.3090772     82.7134052
     570.000      54.0883282     51.3372055     64.1133563     83.3505354
     580.000      53.5693420     52.4590677     64.8963077     83.9956013
     590.000      53.0391668     53.5749579     65.6583993     84.6483920
     600.000      52.4978632     54.6847302     66.4001068     85.3087013
     610.000      51.9454930     55.7882537     67.1219108     85.9763278
     620.000      51.3821193     56.8854120     67.8242947     86.6510748
     630.000      50.8078063     57.9761019     68.5077430     87.3327505
     640.000      50.2226192     59.0602327     69.1727392     88.0211681
     650.000      49.6266238     60.1377255     69.8197646     88.7161454
     660.000      49.0198870     61.2085123     70.4492967     89.4175051
     670.000      48.4024761     62.2725351     71.0618085     90.1250746
     680.000      47.7744590     63.3297457     71.6577666     90.8386861
     690.000      47.1359041     64.3801047     72.2376312     91.5581763
     700.000      46.4868799     65.4235810     72.8018552     92.2833866
     710.000      45.8274555     66.4601511     73.3508829     93.0141628
     720.000      45.1576999     67.4897988     73.8851505     93.7503551
     730.000      44.4776826     68.5125143     74.4050848     94.4918180
     740.000      43.7874728     69.5282941     74.9111036     95.2384104
     750.000      43.0871398     70.5371403     75.4036147     95.9899950
     760.000      42.3767530     71.5390604     75.8830163     96.7464390
     770.000      41.6563817     72.5340666     76.3496968     97.5076130
     780.000      40.9260947     73.5221757     76.8040344     98.2733918
     790.000      40.1859611     74.5034085     77.2463973     99.0436537
     800.000      39.4360494     75.4777895     77.6771438     99.8182810
     810.000      38.6764280     76.4453470     78.0966221    100.5971591
     820.000      37.9071651     77.4061121     78.5051707    101.3801770
     830.000      37.1283283     78.3601191     78.9031182    102.1672271
     840.000      36.3399851     79.3074047     79.2907836    102.9582051
     850.000      35.5422025     80.2480083     79.6684764    103.7530096
     860.000      34.7350471     81.1819713     80.0364968    104.5515424
     870.000      33.9185850     82.1093370     80.3951360    105.3537082
     880.000      33.0928822     83.0301507     80.7446759    106.1594148
     890.000      32.2580037     83.9444591     81.0853901    106.9685723
     900.000      31.4140145     84.8523106     81.4175432    107.7810940
     910.000      30.5609789     85.7537546     81.7413919    108.5968955
     920.000      29.6989606     86.6488417     82.0571844    109.4158950
     930.000      28.8280230     87.5376238     82.3651613    110.2380132
     940.000      27.9482290     88.4201532     82.6655553    111.0631730
     950.000      27.0596406     89.2964833     82.9585918    111.8912997
     960.000      26.1623198     90.1666679     83.2444889    112.7223210
     970.000      25.2563276     91.0307617     83.5234574    113.5561664
     980.000      24.3417247     91.8888194     83.7957017    114.3927677
     990.000      23.4185711     92.7408965     84.0614193    115.2320587
    1000.000      22.4869265     93.5870485     84.3208014    116.0739750
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

