        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.8057994      0.0000000      0.0000000     65.8057994
      10.000      65.8057861      0.0063935      0.0200638     65.8058501
      20.000      65.8055880      0.0362828      0.0782328     65.8063137
      30.000      65.8049878      0.0887198      0.2067561     65.8076494
      40.000      65.8036846      0.1795928      0.4592989     65.8108684
      50.000      65.8012267      0.3210242      0.8443496     65.8172779
      60.000      65.7970771      0.5184816      1.3588223     65.8281860
      70.000      65.7906611      0.7746880      2.0038111     65.8448893
      80.000      65.7813812      1.0915410      2.7813125     65.8687044
      90.000      65.7686238      1.4703128      3.6895713     65.9009520
     100.000      65.7517670      1.9114288      4.7218900     65.9429099
     110.000      65.7301891      2.4143495      5.8674547     65.9957676
     120.000      65.7032788      2.9776044      7.1126790     66.0605913
     130.000      65.6704434      3.5989213      8.4425069     66.1383032
     140.000      65.6311165      4.2753973      9.8415383     66.2296721
     150.000      65.5847628      5.0036819     11.2949377     66.3353150
     160.000      65.5308822      5.7801520     12.7890981     66.4557065
     170.000      65.4690116      6.6010659     14.3120503     66.5911928
     180.000      65.3987252      7.4626904     15.8536415     66.7420094
     190.000      65.3196342      8.3613977     17.4055269     66.9082997
     200.000      65.2313852      9.2937336     18.9610290     67.0901319
     210.000      65.1336582     10.2564599     20.5149213     67.2875148
     220.000      65.0261647     11.2465760     22.0631774     67.5004114
     230.000      64.9086446     12.2613245     23.6027232     67.7287492
     240.000      64.7808645     13.2981852     25.1312092     67.9724290
     250.000      64.6426149     14.3548623     26.6468171     68.2313305
     260.000      64.4937082     15.4292667     28.1481039     68.5053175
     270.000      64.3339768     16.5194963     29.6338815     68.7942408
     280.000      64.1632713     17.6238169     31.1031291     69.0979400
     290.000      63.9814588     18.7406429     32.5549332     69.4162453
     300.000      63.7884216     19.8685204     33.9884486     69.7489777
     310.000      63.5840560     21.0061115     35.4028765     70.0959506
     320.000      63.3682712     22.1521811     36.7974535     70.4569691
     330.000      63.1409880     23.3055851     38.1714500     70.8318311
     340.000      62.9021386     24.4652607     39.5241722     71.2203272
     350.000      62.6516652     25.6302178     40.8549676     71.6222414
     360.000      62.3895197     26.7995326     42.1632318     72.0373514
     370.000      62.1156629     27.9723412     43.4484147     72.4654291
     380.000      61.8300639     29.1478348     44.7100263     72.9062411
     390.000      61.5326998     30.3252561     45.9476410     73.3595496
     400.000      61.2235547     31.5038951     47.1609012     73.8251128
     410.000      60.9026200     32.6830866     48.3495186     74.3026855
     420.000      60.5698932     33.8622072     49.5132750     74.7920203
     430.000      60.2253781     35.0406734     50.6520213     75.2928676
     440.000      59.8690838     36.2179392     51.7656755     75.8049770
     450.000      59.5010250     37.3934944     52.8542207     76.3280974
     460.000      59.1212212     38.5668624     53.9177010     76.8619779
     470.000      58.7296965     39.7375994     54.9562182     77.4063682
     480.000      58.3264793     40.9052921     55.9699275     77.9610196
     490.000      57.9116021     42.0695565     56.9590328     78.5256848
     500.000      57.4851008     43.2300364     57.9237828     79.1001190
     510.000      57.0470151     44.3864022     58.8644659     79.6840802
     520.000      56.5973875     45.5383494     59.7814063     80.2773292
     530.000      56.1362638     46.6855974     60.6749593     80.8796304
     540.000      55.6636921     47.8278882     61.5455074     81.4907517
     550.000      55.1797233     48.9649852     62.3934565     82.1104652
     560.000      54.6844104     50.0966723     63.2192320     82.7385469
     570.000      54.1778086     51.2227523     64.0232757     83.3747774
     580.000      53.6599747     52.3430463     64.8060423     84.0189415
     590.000      53.1309675     53.4573922     65.5679966     84.6708289
     600.000      52.5908471     54.5656442     66.3096112     85.3302336
     610.000      52.0396753     55.6676714     67.0313636     85.9969549
     620.000      51.4775149     56.7633572     67.7337345     86.6707963
     630.000      50.9044297     57.8525982     68.4172055     87.3515666
     640.000      50.3204847     58.9353037     69.0822575     88.0390790
     650.000      49.7257456     60.0113943     69.7293694     88.7331519
     660.000      49.1202791     61.0808017     70.3590162     89.4336082
     670.000      48.5041521     62.1434679     70.9716685     90.1402756
     680.000      47.8774323     63.1993443     71.5677911     90.8529865
     690.000      47.2401880     64.2483911     72.1478421     91.5715778
     700.000      46.5924874     65.2905769     72.7122722     92.2958912
     710.000      45.9343994     66.3258779     73.2615243     93.0257727
     720.000      45.2659928     67.3542774     73.7960327     93.7610726
     730.000      44.5873369     68.3757654     74.3162228     94.5016456
     740.000      43.8985006     69.3903380     74.8225108     95.2473507
     750.000      43.1995532     70.3979969     75.3153032     95.9980508
     760.000      42.4905637     71.3987493     75.7949970     96.7536131
     770.000      41.7716012     72.3926068     76.2619792     97.5139084
     780.000      41.0427345     73.3795860     76.7166270     98.2788116
     790.000      40.3040323     74.3597073     77.1593076     99.0482011
     800.000      39.5555631     75.3329949     77.5903783     99.8219590
     810.000      38.7973951     76.2994766     78.0101865    100.5999711
     820.000      38.0295962     77.2591832     78.4190698    101.3821263
     830.000      37.2522339     78.2121485     78.8173560    102.1683172
     840.000      36.4653755     79.1584091     79.2053634    102.9584392
     850.000      35.6690879     80.0980039     79.5834010    103.7523912
     860.000      34.8634375     81.0309738     79.9517682    104.5500750
     870.000      34.0484904     81.9573620     80.3107557    105.3513953
     880.000      33.2243121     82.8772133     80.6606451    106.1562598
     890.000      32.3909678     83.7905742     81.0017091    106.9645788
