        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.9180307      0.0000000      0.0000000     65.9180307
      10.000      65.9179866      0.0165542      0.0365395     65.9181521
      20.000      65.9176153      0.0598214      0.0997882     65.9188117
      30.000      65.9167339      0.1205769      0.2241778     65.9203512
      40.000      65.9150907      0.2150593      0.4661833     65.9236931
      50.000      65.9122739      0.3569633      0.8418593     65.9301220
      60.000      65.9077694      0.5533815      1.3502819     65.9409723
      70.000      65.9010121      0.8080087      1.9922329     65.9575727
      80.000      65.8914071      1.1232498      2.7690864     65.9812671
      90.000      65.8783398      1.5006374      3.6786024     66.0133972
     100.000      65.8611852      1.9407306      4.7137230     66.0552583
     110.000      65.8393177      2.4430538      5.8633338     66.1080536
     120.000      65.8121214      3.0061591      7.1135726     66.1728605
     130.000      65.7789994      3.6277695      8.4491191     66.2506094
     140.000      65.7393807      4.3049593      9.8543229     66.3420750
     150.000      65.6927262      5.0343435     11.3141180     66.4478777
     160.000      65.6385321      5.8122566     12.8146913     66.5684931
     170.000      65.5763319      6.6349108     14.3438964     66.7042668
     180.000      65.5056973      7.4985257     15.8914347     66.8554320
     190.000      65.4262371      8.3994265     17.4488466     67.0221282
     200.000      65.3375962      9.3341145     19.0093706     67.2044191
     210.000      65.2394532     10.2993097     20.5677240     67.4023082
     220.000      65.1315185     11.2919738     22.1198499     67.6157527
     230.000      65.0135315     12.3093158     23.6626652     67.8446741
     240.000      64.8852584     13.3487862     25.1938294     68.0889671
     250.000      64.7464898     14.4080643     26.7115482     68.3485058
     260.000      64.5970382     15.4850399     28.2144130     68.6231485
     270.000      64.4367364     16.5777939     29.7012780     68.9127408
     280.000      64.2654355     17.6845785     31.1711699     69.2171175
     290.000      64.0830034     18.8037976     32.6232251     69.5361047
     300.000      63.8893230     19.9339896     34.0566491     69.8695199
     310.000      63.6842915     21.0738115     35.4706926     70.2171731
     320.000      63.4678188     22.2220248     36.8646404     70.5788668
     330.000      63.2398269     23.3774840     38.2378075     70.9543966
     340.000      63.0002485     24.5391263     39.5895417     71.3435515
     350.000      62.7490270     25.7059626     40.9192283     71.7461139
     360.000      62.4861151     26.8770710     42.2262967     72.1618606
     370.000      62.2114742     28.0515905     43.5102267     72.5905627
     380.000      61.9250746     29.2287156     44.7705545     73.0319865
     390.000      61.6268938     30.4076924     46.0068773     73.4858938
     400.000      61.3169169     31.5878149     47.2188564     73.9520429
     410.000      60.9951359     32.7684220     48.4062197     74.4301889
     420.000      60.6615489     33.9488943     49.5687621     74.9200845
     430.000      60.3161604     35.1286524     50.7063453     75.4214809
     440.000      59.9589801     36.3071544     51.8188958     75.9341280
     450.000      59.5900231     37.4838937     52.9064029     76.4577753
     460.000      59.2093096     38.6583980     53.9689157     76.9921727
     470.000      58.8168641     39.8302267     55.0065390     77.5370707
     480.000      58.4127154     40.9989701     56.0194298     78.0922211
     490.000      57.9968963     42.1642474     57.0077932     78.6573775
     500.000      57.5694432     43.3257056     57.9718775     79.2322960
     510.000      57.1303960     44.4830179     58.9119704     79.8167351
     520.000      56.6797976     45.6358824     59.8283945     80.4104565
     530.000      56.2176941     46.7840211     60.7215034     81.0132253
     540.000      55.7441338     47.9271783     61.5916771     81.6248101
     550.000      55.2591679     49.0651196     62.4393190     82.2449837
     560.000      54.7628495     50.1976308     63.2648515     82.8735228
     570.000      54.2552340     51.3245166     64.0687134     83.5102085
     580.000      53.7363786     52.4455996     64.8513563     84.1548263
     590.000      53.2063419     53.5607195     65.6132420     84.8071664
     600.000      52.6651845     54.6697317     66.3548399     85.4670235
     610.000      52.1129681     55.7725067     67.0766242     86.1341972
     620.000      51.5497556     56.8689290     67.7790727     86.8084916
     630.000      50.9756110     57.9588964     68.4626638     87.4897158
     640.000      50.3905995     59.0423189     69.1278755     88.1776836
     650.000      49.7947867     60.1191183     69.7751839     88.8722136
     660.000      49.1882394     61.1892269     70.4050613     89.5731292
     670.000      48.5710247     62.2525875     71.0179756     90.2802583
     680.000      47.9432103     63.3091520     71.6143891     90.9934337
