        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.9768675      0.0000000      0.0000000     65.9768675
      10.000      65.9768522      0.0070651      0.0207278     65.9769229
      20.000      65.9766511      0.0357139      0.0735715     65.9773654
      30.000      65.9760705      0.0850977      0.1948609     65.9786234
      40.000      65.9748266      0.1710592      0.4364316     65.9816690
      50.000      65.9724842      0.3063147      0.8119527     65.9878000
      60.000      65.9685145      0.4972234      1.3196058     65.9983479
      70.000      65.9623434      0.7470212      1.9601199     66.0146348
      80.000      65.9533705      1.0578559      2.7351121     66.0379990
      90.000      65.9409780      1.4311261      3.6426187     66.0697794
     100.000      65.9245381      1.8673264      4.6758023     66.1112708
     110.000      65.9034233      2.3659526      5.8236932     66.1636781
     120.000      65.8770158      2.9255452      7.0725030     66.2280812
     130.000      65.8447167      3.5438220      8.4069287     66.3054136
     140.000      65.8059534      4.2178530      9.8112965     66.3964529
     150.000      65.7601851      4.9442469     11.2704907     66.5018221
     160.000      65.7069062      5.7193299     12.7706340     66.6219990
     170.000      65.6456488      6.5393031     14.2995115     66.7573304
     180.000      65.5759832      7.4003726     15.8467571     66.9080502
     190.000      65.4975167      8.2988496     17.4038508     67.0742981
     200.000      65.4098932      9.2312200     18.9639806     67.2561372
     210.000      65.3127904     10.1941888     20.5218240     67.4535700
     220.000      65.2059176     11.1847031     22.0732964     67.6665523
     230.000      65.0890138     12.1999584     23.6152976     67.8950043
     240.000      64.9618446     13.2373928     25.1454807     68.1388188
     250.000      64.8241999     14.2946745     26.6620529     68.3978685
     260.000      64.6758920     15.3696839     28.1636145     68.6720098
     270.000      64.5167535     16.4604941     29.6490337     68.9610869
     280.000      64.3466353     17.5653506     31.1173552     69.2649335
     290.000      64.1654051     18.6826523     32.5677356     69.5833742
     300.000      63.9729457     19.8109338     33.9994019     69.9162258
     310.000      63.7691543     20.9488490     35.4116267     70.2632975
     320.000      63.5539407     22.0951578     36.8037158     70.6243912
     330.000      63.3272270     23.2487135     38.1750045     70.9993024
     340.000      63.0889459     24.4084530     39.5248592     71.3878199
     350.000      62.8390406     25.5733874     40.8526821     71.7897262
     360.000      62.5774639     26.7425954     42.1579175     72.2047982
     370.000      62.3041773     27.9152168     43.4400583     72.6328075
     380.000      62.0191509     29.0904474     44.6986516     73.0735209
     390.000      61.7223622     30.2675348     45.9333035     73.5267008
     400.000      61.4137963     31.4457743     47.1436830     73.9921060
     410.000      61.0934451     32.6245062     48.3295237     74.4694926
     420.000      60.7613066     33.8031129     49.4906246     74.9586140
     430.000      60.4173852     34.9810163     50.6268503     75.4592222
     440.000      60.0616904     36.1576760     51.7381291     75.9710679
     450.000      59.6942375     37.3325869     52.8244511     76.4939016
     460.000      59.3150461     38.5052777     53.8858651     77.0274739
     470.000      58.9241408     39.6753094     54.9224750     77.5715362
