        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.0231360      0.0000000      0.0000000     66.0231360
      10.000      66.0231082      0.0129036      0.0391325     66.0232373
      20.000      66.0227317      0.0660312      0.1249422     66.0240523
      30.000      66.0217268      0.1388322      0.2578539     66.0258918
      40.000      66.0198478      0.2436965      0.5045437     66.0295957
      50.000      66.0166991      0.3944638      0.8826191     66.0364222
      60.000      66.0117811      0.5983449      1.3910022     66.0476818
      70.000      66.0045424      0.8591186      2.0309379     66.0646807
      80.000      65.9944006      1.1793254      2.8045390     66.0887466
      90.000      65.9807520      1.5606715      3.7102495     66.1212124
     100.000      65.9629807      2.0038989      4.7415315     66.1633706
     110.000      65.9404686      2.5087037      5.8876148     66.2164261
     120.000      65.9126056      3.0737880      7.1348268     66.2814602
     130.000      65.8787991      3.6969987      8.4679165     66.3594089
     140.000      65.8384813      4.3755087      9.8712158     66.4510525
     150.000      65.7911156      5.1060072     11.3295837     66.5570166
     160.000      65.7361999      5.8848830     12.8290996     66.6777811
     170.000      65.6732691      6.7083855     14.3574954     66.8136947
     180.000      65.6018959      7.5727580     15.9043504     66.9649924
     190.000      65.5216900      8.4743394     17.4610921     67.1318145
     200.000      65.4322968      9.4096368     19.0208621     67.3142241
     210.000      65.3333958     10.3753713     20.5782999     67.5122238
     220.000      65.2246981     11.3685022     22.1292910     67.7257685
     230.000      65.1059438     12.3862341     23.6707146     67.9547776
