        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.0797926      0.0000000      0.0000000     66.0797926
      10.000      66.0797731      0.0097696      0.0320302     66.0798708
      20.000      66.0794689      0.0545073      0.1081071     66.0805590
      30.000      66.0786186      0.1196825      0.2370337     66.0822091
      40.000      66.0769643      0.2180480      0.4800402     66.0856862
      50.000      66.0741016      0.3630031      0.8550744     66.0922517
      60.000      66.0695248      0.5616656      1.3613964     66.1032248
      70.000      66.0626767      0.8177756      2.0001351     66.1199209
      80.000      66.0529694      1.1338302      2.7732471     66.1436758
      90.000      66.0397946      1.5114915      3.6790663     66.1758288
     100.000      66.0225318      1.9514616      4.7109730     66.2176779
     110.000      66.0005587      2.4534005      5.8581197     66.2704327
     120.000      65.9732615      3.0159770      7.1067514     66.3351788
     130.000      65.9400442      3.6370057      8.4415291     66.4128550
     140.000      65.9003361      4.3136276      9.8466942     66.5042439
     150.000      65.8535975      5.0425007     11.3070181     66.6099726
     160.000      65.7993240      5.8199830     12.8084984     66.7305213
     170.000      65.7370484      6.6422941     14.3387947     66.8662384
     180.000      65.6663413      7.5056487     15.8874248     67.0173581
     190.000      65.5868109      8.4063587     17.4457670     67.1840191
     200.000      65.4981014      9.3409063     19.0069261     67.3662826
     210.000      65.3998910     10.3059898     20.5655164     67.5641489
     220.000      65.2918900     11.2985478     22.1174095     67.7775705
     230.000      65.1738379     12.3157668     23.6594808     68.0064642
     240.000      65.0455011     13.3550767     25.1893748     68.2507195
