        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.1898600      0.0000000      0.0000000     66.1898600
      10.000      66.1898429      0.0082841      0.0262630     66.1899257
      20.000      66.1895921      0.0444709      0.0862505     66.1904815
      30.000      66.1889026      0.0970931      0.1957971     66.1918154
      40.000      66.1875448      0.1812094      0.4220847     66.1947931
      50.000      66.1851225      0.3118344      0.7849236     66.2007142
      60.000      66.1811260      0.4969574      1.2834559     66.2109435
      70.000      66.1749878      0.7406941      1.9179457     66.2268364
      80.000      66.1661080      1.0456473      2.6895205     66.2497598
      90.000      66.1538652      1.4134604      3.5958808     66.2810767
     100.000      66.1376270      1.8447645      4.6299274     66.3221035
     110.000      66.1167596      2.3391281      5.7804304     66.3740637
     120.000      66.0906389      2.8951215      7.0333118     66.4380535
     130.000      66.0586593      3.5104606      8.3729506     66.5150192
     140.000      66.0202417      4.1821899      9.7833406     66.6057483
     150.000      65.9748390      4.9068750     11.2490363     66.7108702
     160.000      65.9219401      5.6807861     12.7558492     66.8308659
     170.000      65.8610720      6.5000609     14.2912822     66.9660824
     180.000      65.7918005      7.3608378     15.8447260     67.1167513
     190.000      65.7137295      8.2593589     17.4074602     67.2830077
     200.000      65.6264995      9.1920430     18.9725174     67.4649081
     210.000      65.5297860     10.1555312     20.5344649     67.6624475
     220.000      65.4232966     11.1467113     22.0891498     67.8755731
     230.000      65.3067690     12.1627252     23.6334420     68.1041958
     240.000      65.1799680     13.2009640     25.1649975     68.3481994
     250.000      65.0426836     14.2590552     26.6820539     68.6074474
     260.000      64.8947280     15.3348449     28.1832635     68.8817876
     270.000      64.7359342     16.4263779     29.6675626     69.1710562
     280.000      64.5661539     17.5318775     31.1340748     69.4750796
     290.000      64.3852555     18.6497255     32.5820422     69.7936759
     300.000      64.1931231     19.7784440     34.0107803     70.1266563
     310.000      63.9896549     20.9166786     35.4196495     70.4738253
     320.000      63.7747620     22.0631845     36.8080410     70.8349811
     330.000      63.5483675     23.2168133     38.1753705     71.2099159
     340.000      63.3104056     24.3765025     39.5210793     71.5984164
     350.000      63.0608205     25.5412660     40.8446379     72.0002637
     360.000      62.7995664     26.7101869     42.1455518     72.4152337
     370.000      62.5266058     27.8824105     43.4233677     72.8430977
     380.000      62.2419098     29.0571391     44.6776796     73.2836227
     390.000      61.9454572     30.2336271     45.9081339     73.7365717
     400.000      61.6372337     31.4111777     47.1144330     74.2017048
     410.000      61.3172322     32.5891386     48.2963381     74.6787791
     420.000      60.9854516     33.7669001     49.4536707     75.1675497
     430.000      60.6418968     34.9438916     50.5863126     75.6677702
     440.000      60.2865782     36.1195801     51.6942050     76.1791934
     450.000      59.9195112     37.2934679     52.7773471     76.7015718
     460.000      59.5407164     38.4650906     53.8357935     77.2346580
     470.000      59.1502184     39.6340155     54.8696512     77.7782057
     480.000      58.7480464     40.7998401     55.8790761     78.3319696
     490.000      58.3342332     41.9621903     56.8642695     78.8957064
     500.000      57.9088153     43.1207194     57.8254740     79.4691750
     510.000      57.4718326     44.2751064     58.7629699     80.0521369
     520.000      57.0233280     45.4250547     59.6770710     80.6443564
     530.000      56.5633472     46.5702910     60.5681208     81.2456015
     540.000      56.0919387     47.7105640     61.4364889     81.8556433
     550.000      55.6091533     48.8456431     62.2825672     82.4742569
     560.000      55.1150439     49.9753175     63.1067668     83.1012217
     570.000      54.6096656     51.0993951     63.9095145     83.7363208
     580.000      54.0930752     52.2177012     64.6912503     84.3793419
     590.000      53.5653313     53.3300778     65.4524241     85.0300772
     600.000      53.0264939     54.4363825     66.1934936     85.6883234
     610.000      52.4766243     55.5364874     66.9149220     86.3538816
     620.000      51.9157852     56.6302786     67.6171758     87.0265579
     630.000      51.3440401     57.7176550     68.3007227     87.7061628
     640.000      50.7614538     58.7985278     68.9660306     88.3925116
     650.000      50.1680915     59.8728194     69.6135653     89.0854242
     660.000      49.5640195     60.9404631     70.2437900     89.7847252
     670.000      48.9493046     62.0014018     70.8571633     90.4902438
     680.000      48.3240140     63.0555879     71.4541390     91.2018138
     690.000      47.6882155     64.1029825     72.0351645     91.9192734
     700.000      47.0419771     65.1435547     72.6006807     92.6424654
