        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.1805323      0.0000000      0.0000000     66.1805323
      10.000      66.1805231      0.0052336      0.0204887     66.1805755
      20.000      66.1803216      0.0387229      0.0872202     66.1810960
      30.000      66.1796774      0.0946752      0.2130658     66.1825176
      40.000      66.1783096      0.1860260      0.4551865     66.1857507
      50.000      66.1757964      0.3252724      0.8284874     66.1920601
      60.000      66.1716228      0.5188450      1.3318847     66.2027535
      70.000      66.1652271      0.7701313      1.9668639     66.2191363
      80.000      66.1560199      1.0814738      2.7358165     66.2425378
      90.000      66.1433919      1.4544838      3.6374576     66.2742955
     100.000      66.1267222      1.8898644      4.6654588     66.3157086
     110.000      66.1053877      2.3872998      5.8091630     66.3679907
     120.000      66.0787736      2.9454886      7.0549107     66.4322322
     130.000      66.0462825      3.5622729      8.3873816     66.5093780
     140.000      66.0073422      4.2348143      9.7907795     66.6002162
     150.000      65.9614115      4.9597828     11.2498008     66.7053789
     160.000      65.9079839      5.7335409     12.7503471     66.8253505
     170.000      65.8465906      6.5523055     14.2799735     66.9604825
     180.000      65.7768004      7.4122829     15.8280937     67.1110114
     190.000      65.6982199      8.3097730     17.3859900     67.2770768
     200.000      65.6104917      9.2412429     18.9466832     67.4587403
     210.000      65.5132929     10.2033742     20.5047190     67.6560015
     220.000      65.4063323     11.1930884     22.0559165     67.8688118
     230.000      65.2893486     12.2075554     23.5971142     68.0970864
     240.000      65.1621074     13.2441891     25.1259352     68.3407128
     250.000      65.0243988     14.3006358     26.6405843     68.5995578
     260.000      64.8760358     15.3747570     28.1396814     68.8734726
     270.000      64.7168513     16.4646098     29.6221325     69.1622959
     280.000      64.5466970     17.5684274     31.0870327     69.4658567
     290.000      64.3654416     18.6845996     32.5335978     69.7839754
     300.000      64.1729688     19.8116547     33.9611192     70.1164652
     310.000      63.9691767     20.9482434     35.3689356     70.4631321
     320.000      63.7539763     22.0931245     36.7564187     70.8237761
     330.000      63.5272904     23.2451525     38.1229667     71.1981907
     340.000      63.2890530     24.4032670     39.4680053     71.5861637
     350.000      63.0392081     25.5664836     40.7909911     71.9874773
     360.000      62.7777093     26.7338862     42.0914175     72.4019084
     370.000      62.5045192     27.9046208     43.3688205     72.8292289
     380.000      62.2196085     29.0778899     44.6227845     73.2692066
     390.000      61.9229555     30.2529482     45.8529475     73.7216053
     400.000      61.6145459     31.4290984     47.0590048     74.1861852
     410.000      61.2943721     32.6056881     48.2407111     74.6627042
     420.000      60.9624327     33.7821071     49.3978822     75.1509177
     430.000      60.6187324     34.9577843     50.5303951     75.6505796
     440.000      60.2632813     36.1321861     51.6381868     76.1614432
     450.000      59.8960946     37.3048141     52.7212528     76.6832609
     460.000      59.5171924     38.4752033     53.7796442     77.2157860
     470.000      59.1265994     39.6429202     54.8134652     77.7587719
     480.000      58.7243443     40.8075616     55.8228693     78.3119739
     490.000      58.3104597     41.9687528     56.8080555     78.8751486
     500.000      57.8849819     43.1261463     57.7692647     79.4480550
     510.000      57.4479505     44.2794203     58.7067753     80.0304549
     520.000      56.9994082     45.4282777     59.6208999     80.6221126
     530.000      56.5394006     46.5724443     60.5119805     81.2227961
     540.000      56.0679758     47.7116682     61.3803857     81.8322766
     550.000      55.5851845     48.8457182     62.2265065     82.4503295
     560.000      55.0910794     49.9743829     63.0507530     83.0767338
     570.000      54.5857154     51.0974695     63.8535514     83.7112730
     580.000      54.0691492     52.2148028     64.6353409     84.3537348
     590.000      53.5414391     53.3262242     65.3965710     85.0039113
     600.000      53.0026449     54.4315906     66.1376989     85.6615992
     610.000      52.4528279     55.5307737     66.8591873     86.3265998
     620.000      51.8920504     56.6236591     67.5615022     86.9987191
     630.000      51.3203760     57.7101453     68.2451113     87.6777675
     640.000      50.7378691     58.7901428     68.9104820     88.3635605
     650.000      50.1445951     59.8635737     69.5580799     89.0559179
     660.000      49.5406198     60.9303707     70.1883679     89.7546644
     670.000      48.9260099     61.9904764     70.8018047     90.4596291
     680.000      48.3008327     63.0438428     71.3988435     91.1706458
     690.000      47.6651557     64.0904306     71.9799320     91.8875528
     700.000      47.0190468     65.1302085     72.5455107     92.6101928
     710.000      46.3625743     66.1631528     73.0960128     93.3384128
     720.000      45.6958066     67.1892467     73.6318638     94.0720642
     730.000      45.0188122     68.2084800     74.1534804     94.8110026
     740.000      44.3316599     69.2208485     74.6612708     95.5550877
     750.000      43.6344181     70.2263535     75.1556341     96.3041833
     760.000      42.9271557     71.2250017     75.6369603     97.0581569
     770.000      42.2099409     72.2168044     76.1056299     97.8168803
     780.000      41.4828423     73.2017773     76.5620138     98.5802286
     790.000      40.7459281     74.1799402     77.0064736     99.3480808
     800.000      39.9992661     75.1513167     77.4393613    100.1203195
     810.000      39.2429243     76.1159338     77.8610193    100.8968306
     820.000      38.4769699     77.0738215     78.2717805    101.6775036
     830.000      37.7014702     78.0250130     78.6719686    102.4622310
     840.000      36.9164918     78.9695439     79.0618979    103.2509087
     850.000      36.1221014     79.9074522     79.4418735    104.0434358
     860.000      35.3183647     80.8387782     79.8121917    104.8397140
     870.000      34.5053476     81.7635641     80.1731399    105.6396484
     880.000      33.6831151     82.6818539     80.5249967    106.4431465
