        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.1425963      0.0000000      0.0000000     66.1425963
      10.000      66.1425865      0.0059195      0.0251746     66.1426457
      20.000      66.1423350      0.0491100      0.1101304     66.1433172
      30.000      66.1415339      0.1151621      0.2385456     66.1449887
      40.000      66.1399235      0.2136543      0.4792705     66.1484696
      50.000      66.1371065      0.3581932      0.8520370     66.1550161
      60.000      66.1325814      0.5561005      1.3560679     66.1659474
      70.000      66.1257937      0.8112126      1.9924489     66.1825785
      80.000      66.1161578      1.1260877      2.7632324     66.2062448
      90.000      66.1030669      1.5024426      3.6668964     66.2382867
     100.000      66.0859014      1.9410314      4.6969485     66.2800045
     110.000      66.0640397      2.4415614      5.8426241     66.3326114
     120.000      66.0368679      3.0027413      7.0902016     66.3971969
     130.000      66.0037898      3.6224172      8.4243325     66.4747040
     140.000      65.9642340      4.2977524      9.8292180     66.5659193
     150.000      65.9176602      5.0254191     11.2895687     66.6714731
     160.000      65.8635633      5.8017826     12.7913117     66.7918485
     170.000      65.8014749      6.6230639     14.3220327     66.9273957
     180.000      65.7309649      7.4854746     15.8711782     67.0783503
     190.000      65.6516406      8.3853208     17.4300618     67.2448516
     200.000      65.5631455      9.3190761     18.9917323     67.4269607
     210.000      65.4651571     10.2834292     20.5507584     67.6246772
     220.000      65.3573852     11.2753086     22.1029768     67.8379530
     230.000      65.2395686     12.2918907     23.6452382     68.0667035
     240.000      65.1114736     13.3305960     25.1751723     68.3108167
     250.000      64.9728908     14.3890761     26.6909858     68.5701598
     260.000      64.8236333     15.4651975     28.1912968     68.8445847
     270.000      64.6635345     16.5570217     29.6750060     69.1339304
     280.000      64.4924464     17.6627855     31.1412010     69.4380264
     290.000      64.3102377     18.7808816     32.5890887     69.7566934
     300.000      64.1167926     19.9098404     34.0179503     70.0897447
     310.000      63.9120092     21.0483146     35.4271143     70.4369867
     320.000      63.6957987     22.1950640     36.8159420     70.7982192
     330.000      63.4680842     23.3489441     38.1838219     71.1732358
     340.000      63.2287996     24.5088949     39.5301706     71.5618239
     350.000      62.9778893     25.6739320     40.8544366     71.9637656
     360.000      62.7153071     26.8431394     42.1561058     72.3788373
     370.000      62.4410155     28.0156629     43.4347082     72.8068108
     380.000      62.1549855     29.1907045     44.6898230     73.2474532
     390.000      61.8571955     30.3675185     45.9210842     73.7005277
     400.000      61.5476315     31.5454070     47.1281835     74.1657943
     410.000      61.2262860     32.7237172     48.3108737     74.6430100
     420.000      60.8931578     33.9018381     49.4689690     75.1319298
     430.000      60.5482518     35.0791982     50.6023454     75.6323070
     440.000      60.1915782     36.2552635     51.7109399     76.1438941
     450.000      59.8231525     37.4295349     52.7947482     76.6664432
     460.000      59.4429950     38.6015470     53.8538225     77.1997066
     470.000      59.0511305     39.7708660     54.8882680     77.7434375
     480.000      58.6475880     40.9370883     55.8982398     78.2973904
     490.000      58.2324003     42.0998389     56.8839388     78.8613214
     500.000      57.8056040     43.2587702     57.8456077     79.4349890
     510.000      57.3672387     44.4135601     58.7835273     80.0181544
     520.000      56.9173475     45.5639114     59.6980121     80.6105815
     530.000      56.4559762     46.7095499     60.5894068     81.2120377
     540.000      55.9831731     47.8502236     61.4580820     81.8222939
     550.000      55.4989891     48.9857015     62.3044313     82.4411249
     560.000      55.0034771     50.1157721     63.1288671     83.0683094
     570.000      54.4966923     51.2402427     63.9318179     83.7036306
     580.000      53.9786915     52.3589382     64.7137251     84.3468757
     590.000      53.4495333     53.4717003     65.4750406     84.9978365
     600.000      52.9092777     54.5783860     66.2162235     85.6563094
     610.000      52.3579863     55.6788674     66.9377388     86.3220954
     620.000      51.7957215     56.7730301     67.6400543     86.9950001
     630.000      51.2225471     57.8607730     68.3236397     87.6748340
     640.000      50.6385277     58.9420068     68.9889642     88.3614121
     650.000      50.0437289     60.0166540     69.6364951     89.0545540
     660.000      49.4382168     61.0846476     70.2666970     89.7540842
     670.000      48.8220583     62.1459305     70.8800299     90.4598317
     680.000      48.1953207     63.2004549     71.4769488     91.1716301
     690.000      47.5580719     64.2481820     72.0579025     91.8893175
     700.000      46.9103798     65.2890808     72.6233330     92.6127364
     710.000      46.2523131     66.3231278     73.1736747     93.3417338
     720.000      45.5839402     67.3503067     73.7093541     94.0761610
     730.000      44.9053299     68.3706076     74.2307890     94.8158734
     740.000      44.2165510     69.3840266     74.7383888     95.5607307
     750.000      43.5176723     70.3905655     75.2325533     96.3105964
     760.000      42.8087626     71.3902312     75.7136735     97.0653383
     770.000      42.0898905     72.3830353     76.1821306     97.8248277
     780.000      41.3611247     73.3689939     76.6382964     98.5889399
     790.000      40.6225334     74.3481271     77.0825332     99.3575538
     800.000      39.8741848     75.3204590     77.5151934    100.1305520
     810.000      39.1161468     76.2860166     77.9366203    100.9078203
     820.000      38.3484870     77.2448306     78.3471472    101.6892481
     830.000      37.5712726     78.1969342     78.7470984    102.4747280
     840.000      36.7845705     79.1423635     79.1367886    103.2641558
     850.000      35.9884474     80.0811566     79.5165235    104.0574306
     860.000      35.1829694     81.0133543     79.8865996    104.8544541
     870.000      34.3682022     81.9389990     80.2473048    105.6551313
     880.000      33.5442111     82.8581350     80.5989181    106.4593699
     890.000      32.7110610     83.7708082     80.9417100    107.2670803
     900.000      31.8688163     84.6770658     81.2759428    108.0781756
     910.000      31.0175409     85.5769566     81.6018705    108.8925714
     920.000      30.1572982     86.4705303     81.9197394    109.7101861
     930.000      29.2881512     87.3578376     82.2297879    110.5309402
     940.000      28.4101622     88.2389302     82.5322469    111.3547566
     950.000      27.5233931     89.1138604     82.8273402    112.1815606
     960.000      26.6279054     89.9826814     83.1152841    113.0112795
     970.000      25.7237597     90.8454468     83.3962885    113.8438431
     980.000      24.8110164     91.7022106     83.6705561    114.6791829
     990.000      23.8897353     92.5530274     83.9382834    115.5172324
    1000.000      22.9599755     93.3979518     84.1996605    116.3579274
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

