        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmmm (65)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      28.3160923      0.0000000      0.0000000     28.3160923
      10.000      28.3160228      0.0234903      0.0441245     28.3162577
      20.000      28.3155675      0.0670781      0.0846229     28.3169091
      30.000      28.3146777      0.1122560      0.1510335     28.3180454
      40.000      28.3132776      0.1705425      0.2677167     28.3200993
      50.000      28.3112061      0.2470086      0.4318236     28.3235565
      60.000      28.3082690      0.3440125      0.6481554     28.3289098
      70.000      28.3042498      0.4638068      0.9233520     28.3367163
      80.000      28.2989101      0.6084164      1.2603785     28.3475834
      90.000      28.2919940      0.7792432      1.6579179     28.3621259
     100.000      28.2832356      0.9769377      2.1116858     28.3809293
     110.000      28.2723657      1.2014723      2.6158572     28.4045277
     120.000      28.2591185      1.4522894      3.1640456     28.4333932
     130.000      28.2432354      1.7284502      3.7498530     28.4679340
     140.000      28.2244690      2.0287587      4.3671505     28.5084952
     150.000      28.2025843      2.3518569      5.0102177     28.5553628
     160.000      28.1773607      2.6962951      5.6738121     28.6087679
     170.000      28.1485922      3.0605849      6.3531984     28.6688916
     180.000      28.1160878      3.4432367      7.0441539     28.7358704
     190.000      28.0796712      3.8427877      7.7429542     28.8098008
     200.000      28.0391804      4.2578215      8.4463450     28.8907447
     210.000      27.9944676      4.6869806      9.1515057     28.9787336
     220.000      27.9453980      5.1289753      9.8560073     29.0737726
     230.000      27.8918494      5.5825875     10.5577691     29.1758446
     240.000      27.8337114      6.0466730     11.2550168     29.2849129
     250.000      27.7708846      6.5201606     11.9462427     29.4009248
     260.000      27.7032802      7.0020509     12.6301705     29.5238134
     270.000      27.6308187      7.4914132     13.3057239     29.6535003
     280.000      27.5534299      7.9873823     13.9719987     29.7898969
     290.000      27.4710517      8.4891553     14.6282399     29.9329068
     300.000      27.3836299      8.9959876     15.2738217     30.0824262
     310.000      27.2911174      9.5071888     15.9082299     30.2383460
     320.000      27.1934737     10.0221201     16.5310482     30.4005522
     330.000      27.0906646     10.5401897     17.1419457     30.5689272
     340.000      26.9826613     11.0608505     17.7406661     30.7433505
     350.000      26.8694406     11.5835962     18.3270193     30.9236993
     360.000      26.7509840     12.1079589     18.9008732     31.1098492
     370.000      26.6272775     12.6335062     19.4621474     31.3016748
     380.000      26.4983113     13.1598390     20.0108065     31.4990501
     390.000      26.3640793     13.6865886     20.5468558     31.7018489
     400.000      26.2245792     14.2134152     21.0703359     31.9099453
     410.000      26.0798118     14.7400052     21.5813189     32.1232139
     420.000      25.9297809     15.2660702     22.0799045     32.3415303
     430.000      25.7744930     15.7913444     22.5662165     32.5647711
     440.000      25.6139574     16.3155837     23.0404002     32.7928142
     450.000      25.4481856     16.8385637     23.5026188     33.0255392
     460.000      25.2771910     17.3600789     23.9530516     33.2628273
     470.000      25.1009895     17.8799407     24.3918914     33.5045616
     480.000      24.9195983     18.3979768     24.8193422     33.7506272
     490.000      24.7330366     18.9140299     25.2356178     34.0009112
     500.000      24.5413248     19.4279565     25.6409395     34.2553030
     510.000      24.3444850     19.9396261     26.0355349     34.5136943
     520.000      24.1425402     20.4489203     26.4196364     34.7759788
     530.000      23.9355148     20.9557320     26.7934799     35.0420528
     540.000      23.7234342     21.4599644     27.1573037     35.3118150
     550.000      23.5063244     21.9615306     27.5113472     35.5851663
     560.000      23.2842127     22.4603525     27.8558508     35.8620101
     570.000      23.0571268     22.9563605     28.1910539     36.1422523
     580.000      22.8250951     23.4494929     28.5171951     36.4258010
     590.000      22.5881467     23.9396951     28.8345114     36.7125668
     600.000      22.3463111     24.4269191     29.1432372     37.0024626
     610.000      22.0996184     24.9111234     29.4436045     37.2954036
     620.000      21.8480988     25.3922721     29.7358418     37.5913076
     630.000      21.5917832     25.8703348     30.0201743     37.8900941
     640.000      21.3307025     26.3452858     30.2968232     38.1916854
     650.000      21.0648879     26.8171043     30.5660057     38.4960057
     660.000      20.7943709     27.2857734     30.8279348     38.8029814
     670.000      20.5191830     27.7512805     31.0828189     39.1125409
     680.000      20.2393559     28.2136163     31.3308618     39.4246149
     690.000      19.9549213     28.6727750     31.5722627     39.7391360
     700.000      19.6659110     29.1287539     31.8072159     40.0560387
     710.000      19.3723568     29.5815531     32.0359112     40.3752595
     720.000      19.0742905     30.0311752     32.2585332     40.6967367
     730.000      18.7717439     30.4776255     32.4752619     41.0204105
     740.000      18.4647485     30.9209112     32.6862723     41.3462229
     750.000      18.1533362     31.3610417     32.8917348     41.6741175
     760.000      17.8375382     31.7980282     33.0918148     42.0040396
     770.000      17.5173860     32.2318835     33.2866732     42.3359363
     780.000      17.1929109     32.6626222     33.4764662     42.6697562
     790.000      16.8641439     33.0902600     33.6613454     43.0054493
     800.000      16.5311160     33.5148140     33.8414580     43.3429672
     810.000      16.1938579     33.9363027     34.0169466     43.6822630
     820.000      15.8524001     34.3547453     34.1879498     44.0232912
     830.000      15.5067730     34.7701620     34.3546016     44.3660075
     840.000      15.1570069     35.1825742     34.5170322     44.7103692
     850.000      14.8031315     35.5920036     34.6753675     45.0563345
     860.000      14.4451767     35.9984728     34.8297298     45.4038633
     870.000      14.0831718     36.4020051     34.9802372     45.7529163
     880.000      13.7171463     36.8026242     35.1270044     46.1034555
     890.000      13.3471290     37.2003542     35.2701422     46.4554443
     900.000      12.9731487     37.5952199     35.4097581     46.8088467
     910.000      12.5952340     37.9872461     35.5459560     47.1636280
     920.000      12.2134132     38.3764582     35.6788366     47.5197547
     930.000      11.8277142     38.7628816     35.8084974     47.8771940
     940.000      11.4381648     39.1465420     35.9350327     48.2359142
     950.000      11.0447925     39.5274654     36.0585337     48.5958846
     960.000      10.6476245     39.9056777     36.1790888     48.9570751
     970.000      10.2466879     40.2812051     36.2967835     49.3194568
     980.000       9.8420093     40.6540737     36.4117006     49.6830015
     990.000       9.4336152     41.0243098     36.5239201     50.0476818
    1000.000       9.0215318     41.3919394     36.6335195     50.4134712
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

