        _                                    
  _ __ | |__   ___  _ __   ___   _ __  _   _ 
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      1.10.0

Python version 2.7.12
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      72.8132429      0.0000000      0.0000000     72.8132429
      10.000      72.8131641      0.0356048      0.1034019     72.8135202
      20.000      72.8121440      0.1793966      0.3410294     72.8157319
      30.000      72.8094573      0.3610502      0.5696824     72.8202888
      40.000      72.8048730      0.5584424      0.8232275     72.8272107
      50.000      72.7982244      0.7750887      1.1435360     72.8369789
      60.000      72.7892835      1.0179649      1.5474225     72.8503614
      70.000      72.7777602      1.2922481      2.0382671     72.8682176
      80.000      72.7633231      1.6011310      2.6151634     72.8914136
      90.000      72.7456158      1.9465334      3.2769503     72.9208038
     100.000      72.7242667      2.3296537      4.0225285     72.9572320
     110.000      72.6988946      2.7511991      4.8496623     73.0015265
     120.000      72.6691137      3.2114069      5.7538967     73.0544826
     130.000      72.6345384      3.7099991      6.7282286     73.1168383
     140.000      72.5947885      4.2461563      7.7634827     73.1892504
     150.000      72.5494945      4.8185424      8.8490871     73.2722759
     160.000      72.4983028      5.4253760      9.9739472     73.3663629
     170.000      72.4408792      6.0645306     11.1272173     73.4718494
     180.000      72.3769123      6.7336454     12.2988792     73.5889684
     190.000      72.3061147      7.4302316     13.4801091     73.7178587
     200.000      72.2282245      8.1517652     14.6634562     73.8585775
     210.000      72.1430046      8.8957622     15.8428767     74.0111146
     220.000      72.0502423      9.6598355     17.0136642     74.1754061
     230.000      71.9497485     10.4417343     18.1723178     74.3513473
     240.000      71.8413552     11.2393689     19.3163768     74.5388038
     250.000      71.7249150     12.0508232     20.4442451     74.7376208
     260.000      71.6002985     12.8743581     21.5550192     74.9476316
     270.000      71.4673928     13.7084079     22.6483316     75.1686630
     280.000      71.3261000     14.5515719     23.7242117     75.4005401
     290.000      71.1763352     15.4026032     24.7829684     75.6430901
     300.000      71.0180254     16.2603954     25.8250935     75.8961440
     310.000      70.8511080     17.1239694     26.8511843     76.1595385
     320.000      70.6755296     17.9924587     27.8618844     76.4331164
     330.000      70.4912450     18.8650971     28.8578385     76.7167271
     340.000      70.2982161     19.7412057     29.8396615     77.0102261
     350.000      70.0964114     20.6201820     30.8079166     77.3134751
     360.000      69.8858047     21.5014893     31.7631025     77.6263409
     370.000      69.6663754     22.3846475     32.7056473     77.9486950
     380.000      69.4381071     23.2692258     33.6359062     78.2804129
     390.000      69.2009875     24.1548350     34.5541642     78.6213731
     400.000      68.9550081     25.0411220     35.4606401     78.9714569
     410.000      68.7001638     25.9277643     36.3554933     79.3305472
     420.000      68.4364526     26.8144661     37.2388299     79.6985284
     430.000      68.1638752     27.7009544     38.1107114     80.0752856
     440.000      67.8824351     28.5869759     38.9711613     80.4607045
     450.000      67.5921381     29.4722948     39.8201727     80.8546707
     460.000      67.2929923     30.3566901     40.6577155     81.2570697
     470.000      66.9850080     31.2399545     41.4837423     81.6677866
     480.000      66.6681976     32.1218924     42.2981942     82.0867060
     490.000      66.3425752     33.0023194     43.1010058     82.5137117
     500.000      66.0081568     33.8810605     43.8921097     82.9486871
     510.000      65.6649602     34.7579500     44.6714399     83.3915147
     520.000      65.3130045     35.6328305     45.4389349     83.8420764
     530.000      64.9523108     36.5055528     46.1945407     84.3002537
     540.000      64.5829012     37.3759746     46.9382122     84.7659275
     550.000      64.2047994     38.2439612     47.6699148     85.2389781
     560.000      63.8180305     39.1093845     48.3896261     85.7192858
     570.000      63.4226206     39.9721227     49.0973360     86.2067306
     580.000      63.0185974     40.8320606     49.7930474     86.7011925
     590.000      62.6059891     41.6890889     50.4767765     87.2025516
     600.000      62.1848256     42.5431043     51.1485528     87.7106882
     610.000      61.7551374     43.3940091     51.8084187     88.2254829
     620.000      61.3169561     44.2417112     52.4564291     88.7468170
     630.000      60.8703142     45.0861239     53.0926513     89.2745722
     640.000      60.4152449     45.9271659     53.7171640     89.8086310
     650.000      59.9517823     46.7647607     54.3300570     90.3488768
     660.000      59.4799614     47.5988369     54.9314304     90.8951938
     670.000      58.9998175     48.4293281     55.5213937     91.4474674
     680.000      58.5113870     49.2561721     56.1000653     92.0055840
     690.000      58.0147065     50.0793116     56.6675716     92.5694314
     700.000      57.5098133     50.8986934     57.2240466     93.1388987
     710.000      56.9967453     51.7142687     57.7696306     93.7138761
     720.000      56.4755407     52.5259927     58.3044699     94.2942555
     730.000      55.9462384     53.3338243     58.8287161     94.8799302
     740.000      55.4088774     54.1377265     59.3425252     95.4707950
     750.000      54.8634971     54.9376658     59.8460573     96.0667464
     760.000      54.3101373     55.7336119     60.3394757     96.6676824
     770.000      53.7488382     56.5255383     60.8229465     97.2735028
     780.000      53.1796401     57.3134214     61.2966379     97.8841088
     790.000      52.6025834     58.0972407     61.7607201     98.4994035
     800.000      52.0177089     58.8769786     62.2153644     99.1192917
     810.000      51.4250574     59.6526203     62.6607428     99.7436799
     820.000      50.8246701     60.4241538     63.0970280    100.3724762
     830.000      50.2165881     61.1915694     63.5243927    101.0055907
     840.000      49.6008525     61.9548600     63.9430092    101.6429349
     850.000      48.9775047     62.7140208     64.3530495    102.2844223
     860.000      48.3465859     63.4690489     64.7546844    102.9299679
     870.000      47.7081375     64.2199438     65.1480839    103.5794885
     880.000      47.0622008     64.9667068     65.5334165    104.2329027
     890.000      46.4088171     65.7093410     65.9108492    104.8901305
     900.000      45.7480277     66.4478514     66.2805474    105.5510939
     910.000      45.0798738     67.1822445     66.6426745    106.2157163
     920.000      44.4043965     67.9125285     66.9973917    106.8839227
     930.000      43.7216369     68.6387130     67.3448585    107.5556399
     940.000      43.0316359     69.3608089     67.6852317    108.2307962
     950.000      42.3344343     70.0788286     68.0186660    108.9093214
     960.000      41.6300728     70.7927855     68.3453136    109.5911469
     970.000      40.9185921     71.5026943     68.6653241    110.2762056
     980.000      40.2000324     72.2085708     68.9788447    110.9644318
     990.000      39.4744340     72.9104316     69.2860198    111.6557613
    1000.000      38.7418371     73.6082944     69.5869914    112.3501315
                 _ 
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

