        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.6538676      0.0000000      0.0000000     66.6538676
      10.000      66.6536252      0.0561567      0.0581753     66.6541868
      20.000      66.6527726      0.1147525      0.1197233     66.6550676
      30.000      66.6513172      0.1776887      0.2049097     66.6566479
      40.000      66.6491641      0.2571585      0.3741218     66.6594504
      50.000      66.6460634      0.3696289      0.6667658     66.6645448
      60.000      66.6416215      0.5269527      1.0951782     66.6732387
      70.000      66.6353492      0.7367435      1.6653830     66.6869213
      80.000      66.6266942      1.0042205      2.3810721     66.7070318
      90.000      66.6150605      1.3329441      3.2413962     66.7350254
     100.000      66.5998241      1.7249723      4.2400399     66.7723213
     110.000      66.5803478      2.1809348      5.3658753     66.8202506
     120.000      66.5559944      2.7001658      6.6042762     66.8800143
     130.000      66.5261394      3.2808960      7.9385682     66.9526558
     140.000      66.4901802      3.9204794      9.3513817     67.0390473
     150.000      66.4475445      4.6156273     10.8257816     67.1398886
     160.000      66.3976948      5.3626315     12.3461044     67.2557158
     170.000      66.3401321      6.1575601     13.8984872     67.3869173
     180.000      66.2743972      6.9964204     15.4711159     67.5337528
     190.000      66.2000704      7.8752846     17.0542502     67.6963745
     200.000      66.1167707      8.7903797     18.6400898     67.8748467
     210.000      66.0241539      9.7381471     20.2225462     68.0691648
     220.000      65.9219100     10.7152761     21.7969708     68.2792707
     230.000      65.8097607     11.7187175     23.3598771     68.5050657
     240.000      65.6874572     12.7456831     24.9086830     68.7464212
     250.000      65.5547771     13.7936355     26.4414851     69.0031860
     260.000      65.4115223     14.8602713     27.9568727     69.2751928
     270.000      65.2575164     15.9435016     29.4537805     69.5622618
     280.000      65.0926032     17.0414313     30.9313759     69.8642040
     290.000      64.9166445     18.1523385     32.3889786     70.1808227
     300.000      64.7295185     19.2746551     33.8260040     70.5119150
     310.000      64.5311182     20.4069491     35.2419269     70.8572724
     320.000      64.3213506     21.5479092     36.6362601     71.2166815
     330.000      64.1001351     22.6963302     38.0085430     71.5899241
     340.000      63.8674028     23.8511018     39.3583388     71.9767774
     350.000      63.6230954     25.0111977     40.6852349     72.3770146
     360.000      63.3671643     26.1756673     41.9888470     72.7904045
     370.000      63.0995704     27.3436279     43.2688238     73.2167127
     380.000      62.8202829     28.5142587     44.5248527     73.6557012
     390.000      62.5292789     29.6867953     45.7566639     74.1071290
     400.000      62.2265430     30.8605250     46.9640348     74.5707530
     410.000      61.9120666     32.0347831     48.1467928     75.0463277
     420.000      61.5858476     33.2089494     49.3048171     75.5336064
     430.000      61.2478899     34.3824453     50.4380391     76.0323413
     440.000      60.8982028     35.5547311     51.5464430     76.5422844
     450.000      60.5368010     36.7253036     52.6300637     77.0631876
     460.000      60.1637040     37.8936944     53.6889860     77.5948034
     470.000      59.7789358     39.0594673     54.7233415     78.1368854
     480.000      59.3825247     40.2222171     55.7333061     78.6891889
     490.000      58.9745028     41.3815677     56.7190971     79.2514710
     500.000      58.5549058     42.5371705     57.6809693     79.8234911
     510.000      58.1237730     43.6887032     58.6192122     80.4050116
     520.000      57.6811463     44.8358679     59.5341460     80.9957976
     530.000      57.2270711     45.9783903     60.4261184     81.5956180
     540.000      56.7615949     47.1160183     61.2955012     82.2042447
     550.000      56.2847678     48.2485203     62.1426871     82.8214540
     560.000      55.7966422     49.3756850     62.9680864     83.4470258
     570.000      55.2972725     50.4973192     63.7721242     84.0807445
     580.000      54.7867149     51.6132477     64.5552377     84.7223986
     590.000      54.2650271     52.7233116     65.3178737     85.3717810
     600.000      53.7322687     53.8273677     66.0604858     86.0286893
     610.000      53.1885002     54.9252873     66.7835331     86.6929255
     620.000      52.6337838     56.0169557     67.4874773     87.3642963
     630.000      52.0681823     57.1022708     68.1727817     88.0426129
     640.000      51.4917598     58.1811430     68.8399091     88.7276913
     650.000      50.9045812     59.2534936     69.4893205     89.4193520
     660.000      50.3067119     60.3192550     70.1214742     90.1174202
     670.000      49.6982182     61.3783691     70.7368240     90.8217255
     680.000      49.0791669     62.4307872     71.3358190     91.5321022
     690.000      48.4496249     63.4764694     71.9189021     92.2483889
     700.000      47.8096600     64.5153837     72.4865097     92.9704286
     710.000      47.1593399     65.5475056     73.0390709     93.6980689
     720.000      46.4987326     66.5728176     73.5770069     94.4311613
     730.000      45.8279063     67.5913087     74.1007310     95.1695617
     740.000      45.1469292     68.6029739     74.6106475     95.9131299
     750.000      44.4558696     69.6078138     75.1071523     96.6617299
     760.000      43.7547957     70.6058340     75.5906319     97.4152295
     770.000      43.0437756     71.5970452     76.0614639     98.1735004
     780.000      42.3228774     72.5814621     76.5200164     98.9364179
     790.000      41.5921689     73.5591039     76.9666482     99.7038610
     800.000      40.8517178     74.5299930     77.4017088    100.4757123
     810.000      40.1015915     75.4941558     77.8255382    101.2518577
     820.000      39.3418570     76.4516215     78.2384673    102.0321867
     830.000      38.5725813     77.4024223     78.6408177    102.8165918
     840.000      37.7938307     78.3465930     79.0329018    103.6049688
     850.000      37.0056714     79.2841709     79.4150230    104.3972166
     860.000      36.2081691     80.2151953     79.7874761    105.1932371
     870.000      35.4013892     81.1397077     80.1505470    105.9929349
     880.000      34.5853965     82.0577513     80.5045130    106.7962177
     890.000      33.7602556     82.9693709     80.8496431    107.6029957
     900.000      32.9260304     83.8746129     81.1861983    108.4131819
     910.000      32.0827844     84.7735247     81.5144313    109.2266919
     920.000      31.2305808     85.6661552     81.8345871    110.0434436
     930.000      30.3694821     86.5525542     82.1469034    110.8633575
     940.000      29.4995503     87.4327724     82.4516099    111.6863563
     950.000      28.6208471     88.3068611     82.7489297    112.5123651
     960.000      27.7334334     89.1748726     83.0390784    113.3413110
     970.000      26.8373697     90.0368595     83.3222651    114.1731235
     980.000      25.9327161     90.8928752     83.5986921    115.0077338
     990.000      25.0195319     91.7429732     83.8685554    115.8450754
    1000.000      24.0978762     92.5872075     84.1320447    116.6850837
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

