        _                                    
  _ __ | |__   ___  _ __   ___   _ __  _   _ 
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      1.10.0

Python version 2.7.12
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      16.0294562      0.0000000      0.0000000     16.0294562
      10.000      16.0281890      0.2970043      0.3357359     16.0311591
      20.000      16.0237334      0.5772171      0.4708503     16.0352777
      30.000      16.0168650      0.7909259      0.6055657     16.0405928
      40.000      16.0079401      0.9961638      0.8566017     16.0477867
      50.000      15.9968536      1.2273416      1.2562154     16.0582207
      60.000      15.9832421      1.5037206      1.8225465     16.0734654
      70.000      15.9665826      1.8390458      2.5819631     16.0953158
      80.000      15.9462255      2.2449879      3.5567216     16.1258246
      90.000      15.9214163      2.7307631      4.7511651     16.1671850
     100.000      15.8913249      3.3020044      6.1482930     16.2215254
     110.000      15.8550857      3.9602707      7.7145218     16.2907155
     120.000      15.8118365      4.7033467      9.4073829     16.3762381
     130.000      15.7607532      5.5260302     11.1825469     16.4791371
     140.000      15.7010745      6.4210755     12.9987362     16.6000251
     150.000      15.6321184      7.3800736     14.8204518     16.7391295
     160.000      15.5532894      8.3941673     16.6190081     16.8963562
     170.000      15.4640807      9.4545758     18.3724690     17.0713586
     180.000      15.3640714     10.5529465     20.0649755     17.2636018
     190.000      15.2529211     11.6815669     21.6858131     17.4724188
     200.000      15.1303626     12.8334720     23.2284290     17.6970570
     210.000      14.9961947     14.0024792     24.6895174     17.9367153
     220.000      14.8502741     15.1831746     26.0682262     18.1905725
     230.000      14.6925080     16.3708709     27.3654986     18.4578083
     240.000      14.5228468     17.5615479     28.5835460     18.7376183
