        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      64.1744214      0.0000000      0.0000000     64.1744214
      10.000      64.1744069      0.0075848      0.0266953     64.1744828
      20.000      64.1741451      0.0490734      0.1076165     64.1751266
      30.000      64.1733371      0.1180522      0.2606283     64.1768786
      40.000      64.1716487      0.2274059      0.5337684     64.1807449
      50.000      64.1686208      0.3870044      0.9318942     64.1879710
      60.000      64.1637270      0.6010247      1.4519587     64.1997885
      70.000      64.1564118      0.8715932      2.0959833     64.2174233
      80.000      64.1461010      1.2003857      2.8669803     64.2421319
      90.000      64.1322058      1.5886490      3.7641795     64.2751842
     100.000      64.1141280      2.0368956      4.7818700     64.3178176
     110.000      64.0912691      2.5447442      5.9102792     64.3711909
     120.000      64.0630386      3.1109359      7.1369575     64.4363509
     130.000      64.0288625      3.7334545      8.4480899     64.5142116
     140.000      63.9881904      4.4096914      9.8295919     64.6055472
     150.000      63.9404997      5.1366211     11.2679542     64.7109929
     160.000      63.8852999      5.9109660     12.7508231     64.8310544
     170.000      63.8221336      6.7293390     14.2673266     64.9661213
     180.000      63.7505776      7.5883575     15.8081838     65.1164820
     190.000      63.6702420      8.4847272     17.3656519     65.2823402
     200.000      63.5807691      9.4152998     18.9333699     65.4638291
     210.000      63.4818319     10.3771067     20.5061482     65.6610243
     220.000      63.3731321     11.3673753     22.0797472     65.8739547
     230.000      63.2543981     12.3835311     23.6506679     66.1026103
     240.000      63.1253832     13.4231921     25.2159720     66.3469493
     250.000      62.9858633     14.4841570     26.7731361     66.6069025
     260.000      62.8356358     15.5643908     28.3199410     66.8823774
     270.000      62.6745175     16.6620097     29.8543911     67.1732602
     280.000      62.5023435     17.7752659     31.3746609     67.4794180
     290.000      62.3189655     18.9025343     32.8790612     67.8007005
     300.000      62.1242512     20.0422996     34.3660196     68.1369410
     310.000      61.9180826     21.1931459     35.8340727     68.4879578
     320.000      61.7003557     22.3537475     37.2818636     68.8535549
     330.000      61.4709793     23.5228609     38.7081440     69.2335234
     340.000      61.2298741     24.6993184     40.1117767     69.6276423
     350.000      60.9769721     25.8820226     41.4917398     70.0356800
     360.000      60.7122162     27.0699415     42.8471287     70.4573952
     370.000      60.4355591     28.2621051     44.1771578     70.8925380
     380.000      60.1469630     29.4576014     45.4811600     71.3408516
     390.000      59.8463989     30.6555738     46.7585851     71.8020726
     400.000      59.5338460     31.8552181     48.0089968     72.2759332
     410.000      59.2092915     33.0557804     49.2320678     72.7621614
     420.000      58.8727297     34.2565548     50.4275748     73.2604827
     430.000      58.5241619     35.4568808     51.5953924     73.7706206
     440.000      58.1635956     36.6561420     52.7354856     74.2922981
     450.000      57.7910445     37.8537635     53.8479036     74.8252381
     460.000      57.4065276     39.0492103     54.9327718     75.3691643
     470.000      57.0100692     40.2419854     55.9902848     75.9238023
     480.000      56.6016983     41.4316278     57.0206993     76.4888797
     490.000      56.1814485     42.6177112     58.0243268     77.0641270
     500.000      55.7493573     43.7998417     59.0015272     77.6492781
     510.000      55.3054661     44.9776564     59.9527022     78.2440708
     520.000      54.8498197     46.1508216     60.8782897     78.8482469
     530.000      54.3824661     47.3190315     61.7787578     79.4615529
     540.000      53.9034565     48.4820064     62.6546000     80.0837400
     550.000      53.4128443     49.6394912     63.5063307     80.7145645
     560.000      52.9106857     50.7912540     64.3344802     81.3537880
     570.000      52.3970390     51.9370847     65.1395916     82.0011773
     580.000      51.8719644     53.0767938     65.9222168     82.6565048
     590.000      51.3355241     54.2102109     66.6829136     83.3195485
     600.000      50.7877817     55.3371836     67.4222428     83.9900919
     610.000      50.2288024     56.4575765     68.1407659     84.6679240
     620.000      49.6586525     57.5712697     68.8390429     85.3528397
     630.000      49.0773997     58.6781581     69.5176300     86.0446393
     640.000      48.4851123     59.7781503     70.1770787     86.7431285
     650.000      47.8818599     60.8711676     70.8179337     87.4481189
     660.000      47.2677125     61.9571432     71.4407322     88.1594270
     670.000      46.6427407     63.0360214     72.0460024     88.8768751
     680.000      46.0070158     64.1077566     72.6342632     89.6002904
     690.000      45.3606095     65.1723128     73.2060231     90.3295053
     700.000      44.7035936     66.2296627     73.7617795     91.0643575
     710.000      44.0360403     67.2797871     74.3020190     91.8046892
     720.000      43.3580220     68.3226746     74.8272160     92.5503477
     730.000      42.6696110     69.3583205     75.3378335     93.3011849
     740.000      41.9708797     70.3867265     75.8343221     94.0570573
     750.000      41.2619006     71.4079002     76.3171205     94.8178257
     760.000      40.5427458     72.4218549     76.7866550     95.5833555
     770.000      39.8134875     73.4286085     77.2433399     96.3535160
     780.000      39.0741975     74.4281837     77.6875775     97.1281808
     790.000      38.3249476     75.4206073     78.1197579     97.9072274
     800.000      37.5658091     76.4059099     78.5402595     98.6905370
     810.000      36.7968531     77.3841257     78.9494491     99.4779948
     820.000      36.0181501     78.3552919     79.3476821    100.2694895
     830.000      35.2297706     79.3194488     79.7353024    101.0649131
     840.000      34.4317844     80.2766392     80.1126434    101.8641613
     850.000      33.6242609     81.2269081     80.4800272    102.6671328
     860.000      32.8072691     82.1703030     80.8377657    103.4737297
     870.000      31.9808776     83.1068729     81.1861607    104.2838570
     880.000      31.1451542     84.0366687     81.5255039    105.0974227
     890.000      30.3001666     84.9597429     81.8560772    105.9143378
     900.000      29.4459816     85.8761493     82.1781533    106.7345159
     910.000      28.5826657     86.7859426     82.4919957    107.5578734
     920.000      27.7102846     87.6891790     82.7978590    108.3843292
     930.000      26.8289037     88.5859152     83.0959894    109.2138048
     940.000      25.9385878     89.4762088     83.3866246    110.0462241
     950.000      25.0394008     90.3601182     83.6699943    110.8815131
     960.000      24.1314065     91.2377020     83.9463206    111.7196005
     970.000      23.2146677     92.1090197     84.2158176    112.5604168
     980.000      22.2892468     92.9741306     84.4786928    113.4038947
     990.000      21.3552056     93.8330946     84.7351460    114.2499692
    1000.000      20.4126052     94.6859717     84.9853707    115.0985769
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

