        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      64.8012039      0.0000000      0.0000000     64.8012039
      10.000      64.8010797      0.0393825      0.0667806     64.8014736
      20.000      64.8003565      0.1053375      0.1354718     64.8024632
      30.000      64.7989379      0.1819358      0.2670413     64.8043960
      40.000      64.7966140      0.2894182      0.5130797     64.8081907
      50.000      64.7929992      0.4417588      0.8875713     64.8150871
      60.000      64.7876054      0.6460214      1.3895832     64.8263667
      70.000      64.7798932      0.9059254      2.0203802     64.8433080
      80.000      64.7692930      1.2239821      2.7822253     64.8672115
      90.000      64.7552139      1.6019150      3.6740218     64.8993862
     100.000      64.7370523      2.0405371      4.6898735     64.9411060
     110.000      64.7142013      2.5396597      5.8196983     64.9935639
     120.000      64.6860611      3.0981297      7.0505024     65.0578367
     130.000      64.6520475      3.7139578      8.3677041     65.1348620
     140.000      64.6115996      4.3844940      9.7563113     65.2254287
     150.000      64.5641856      5.1066154     11.2018709     65.3301779
     160.000      64.5093067      5.8769063     12.6911454     65.4496117
     170.000      64.4464988      6.6918167     14.2125121     65.5841076
     180.000      64.3753335      7.5477910     15.7561156     65.7339359
     190.000      64.2954176      8.4413640     17.3138316     65.8992768
     200.000      64.2063919      9.3692280     18.8791039     66.0802375
     210.000      64.1079292     10.3282732     20.4467146     66.2768665
     220.000      63.9997322     11.3156071     22.0125325     66.4891657
     230.000      63.8815316     12.3285589     23.5732725     66.7171002
     240.000      63.7530838     13.3646732     25.1262837     66.9606054
     250.000      63.6141685     14.4216970     26.6693752     67.2195928
     260.000      63.4645871     15.4975634     28.2006808     67.4939536
     270.000      63.3041608     16.5903735     29.7185598     67.7835616
     280.000      63.1327290     17.6983788     31.2215283     68.0882751
     290.000      62.9501479     18.8199653     32.7082150     68.4079379
     300.000      62.7562894     19.9536380     34.1773354     68.7423808
     310.000      62.5510395     21.0980080     35.6276796     69.0914220
     320.000      62.3342979     22.2517815     37.0581089     69.4548680
     330.000      62.1059766     23.4137504     38.4675576     69.8325142
     340.000      61.8659994     24.5827840     39.8550381     70.2241459
     350.000      61.6143009     25.7578224     41.2196461     70.6295387
     360.000      61.3508262     26.9378713     42.5605667     71.0484599
     370.000      61.0755299     28.1219968     43.8770784     71.4806687
     380.000      60.7883756     29.3093220     45.1685563     71.9259180
     390.000      60.4893355     30.4990233     46.4344733     72.3839546
     400.000      60.1783898     31.6903275     47.6744000     72.8545208
     410.000      59.8555261     32.8825092     48.8880029     73.3373549
     420.000      59.5207390     34.0748889     50.0750414     73.8321923
     430.000      59.1740298     35.2668299     51.2353638     74.3387666
     440.000      58.8154058     36.4577374     52.3689027     74.8568103
     450.000      58.4448803     37.6470558     53.4756688     75.3860554
     460.000      58.0624717     38.8342673     54.5557461     75.9262347
     470.000      57.6682036     40.0188900     55.6092849     76.4770819
     480.000      57.2621041     41.2004762     56.6364959     77.0383326
     490.000      56.8442056     42.3786109     57.6376443     77.6097249
     500.000      56.4145446     43.5529101     58.6130433     78.1909997
     510.000      55.9731614     44.7230192     59.5630489     78.7819011
     520.000      55.5200993     45.8886116     60.4880539     79.3821773
     530.000      55.0554052     47.0493870     61.3884828     79.9915803
     540.000      54.5791285     48.2050704     62.2647872     80.6098666
     550.000      54.0913216     49.3554102     63.1174408     81.2367972
     560.000      53.5920389     50.5001772     63.9469357     81.8721382
     570.000      53.0813373     51.6391633     64.7537784     82.5156604
     580.000      52.5592756     52.7721800     65.5384863     83.1671400
     590.000      52.0259142     53.8990575     66.3015847     83.8263581
     600.000      51.4813154     55.0196434     67.0436038     84.4931014
     610.000      50.9255427     56.1338016     67.7650765     85.1671617
     620.000      50.3586612     57.2414113     68.4665360     85.8483362
     630.000      49.7807367     58.3423663     69.1485137     86.5364275
     640.000      49.1918363     59.4365734     69.8115378     87.2312433
     650.000      48.5920280     60.5239520     70.4561315     87.9325968
     660.000      47.9813803     61.6044332     71.0828121     88.6403062
     670.000      47.3599625     62.6779590     71.6920895     89.3541950
     680.000      46.7278445     63.7444812     72.2844654     90.0740917
     690.000      46.0850964     64.8039613     72.8604326     90.7998296
     700.000      45.4317888     65.8563692     73.4204743     91.5312472
     710.000      44.7679926     66.9016831     73.9650636     92.2681876
     720.000      44.0937788     67.9398885     74.4946630     93.0104986
     730.000      43.4092186     68.9709779     75.0097241     93.7580324
     740.000      42.7143830     69.9949500     75.5106875     94.5106460
     750.000      42.0093433     71.0118098     75.9979826     95.2682006
     760.000      41.2941705     72.0215672     76.4720272     96.0305615
     770.000      40.5689356     73.0242374     76.9332280     96.7975983
     780.000      39.8337093     74.0198401     77.3819801     97.5691846
     790.000      39.0885622     75.0083993     77.8186675     98.3451977
     800.000      38.3335647     75.9899428     78.2436628     99.1255190
     810.000      37.5687867     76.9645019     78.6573276     99.9100332
     820.000      36.7942978     77.9321111     79.0600126    100.6986289
     830.000      36.0101675     78.8928078     79.4520578    101.4911980
     840.000      35.2164646     79.8466323     79.8337924    102.2876357
     850.000      34.4132576     80.7936270     80.2055356    103.0878405
     860.000      33.6006147     81.7338366     80.5675963    103.8917142
     870.000      32.7786033     82.6673079     80.9202735    104.6991612
     880.000      31.9472908     83.5940892     81.2638565    105.5100893
     890.000      31.1067437     84.5142306     81.5986255    106.3244089
     900.000      30.2570282     85.4277835     81.9248514    107.1420333
     910.000      29.3982098     86.3348006     82.2427960    107.9628784
     920.000      28.5303537     87.2353356     82.5527128    108.7868625
     930.000      27.6535245     88.1294432     82.8548467    109.6139067
     940.000      26.7677861     89.0171789     83.1494347    110.4439343
     950.000      25.8732020     89.8985989     83.4367056    111.2768710
     960.000      24.9698350     90.7737601     83.7168810    112.1126447
     970.000      24.0577475     91.6427198     83.9901746    112.9511857
     980.000      23.1370011     92.5055356     84.2567935    113.7924260
     990.000      22.2076570     93.3622656     84.5169374    114.6363000
    1000.000      21.2697759     94.2129679     84.7707995    115.4827438
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

