        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.0424793      0.0000000      0.0000000     65.0424793
      10.000      65.0424546      0.0108224      0.0301934     65.0425628
      20.000      65.0421527      0.0533165      0.1068819     65.0432190
      30.000      65.0413116      0.1194712      0.2430348     65.0448958
      40.000      65.0396488      0.2199308      0.4876153     65.0484460
      50.000      65.0367595      0.3662516      0.8588701     65.0550721
      60.000      65.0321487      0.5649863      1.3575968     65.0660479
      70.000      65.0252729      0.8197407      1.9855854     65.0826548
      80.000      65.0155588      1.1330066      2.7453578     65.1061993
      90.000      65.0024119      1.5065206      3.6359966     65.1379987
     100.000      64.9852247      1.9411198      4.6517018     65.1793366
     110.000      64.9633863      2.4366368      5.7823850     65.2314164
     120.000      64.9362926      2.9919294      7.0149416     65.2953241
     130.000      64.9033551      3.6050039      8.3345903     65.3720056
     140.000      64.8640088      4.2731898      9.7260772     65.4622553
     150.000      64.8177180      4.9933282     11.1746562     65.5667173
     160.000      64.7639805      5.7619557     12.6667952     65.6858935
     170.000      64.7023293      6.5754659     14.1906016     65.8201585
     180.000      64.6323337      7.4302420     15.7359930     65.9697772
     190.000      64.5535987      8.3227568     17.2946720     66.1349225
     200.000      64.4657640      9.2496429     18.8599677     66.3156926
     210.000      64.3685019     10.2077350     20.4266043     66.5121262
     220.000      64.2615151     11.1940915     21.9904438     66.7242152
     230.000      64.1445349     12.2059999     23.5482380     66.9519149
     240.000      64.0173183     13.2409706     25.0974066     67.1951512
     250.000      63.8796462     14.2967240     26.6358543     67.4538272
     260.000      63.7313215     15.3711738     28.1618270     67.7278267
     270.000      63.5721668     16.4624084     29.6738045     68.0170171
     280.000      63.4020232     17.5686726     31.1704259     68.3212516
     290.000      63.2207486     18.6883503     32.6504401     68.6403702
     300.000      63.0282165     19.8199487     34.1126767     68.9742011
     310.000      62.8243146     20.9620847     35.5560310     69.3225608
     320.000      62.6089440     22.1134729     36.9794588     69.6852553
     330.000      62.3820183     23.2729152     38.3819778     70.0620803
     340.000      62.1434626     24.4392927     39.7626717     70.4528221
     350.000      61.8932128     25.6115582     41.1206968     70.8572582
     360.000      61.6312150     26.7887302     42.4552874     71.2751579
     370.000      61.3574249     27.9698881     43.7657612     71.7062835
     380.000      61.0718069     29.1541681     45.0515234     72.1503907
     390.000      60.7743338     30.3407591     46.3120690     72.6072299
     400.000      60.4649865     31.5289003     47.5469830     73.0765467
     410.000      60.1437531     32.7178780     48.7559405     73.5580830
     420.000      59.8106284     33.9070232     49.9387039     74.0515782
     430.000      59.4656141     35.0957097     51.0951202     74.5567693
     440.000      59.1087177     36.2833518     52.2251167     75.0733925
     450.000      58.7399524     37.4694026     53.3286962     75.6011835
     460.000      58.3593367     38.6533520     54.4059320     76.1398786
     470.000      57.9668940     39.8347253     55.4569620     76.6892148
     480.000      57.5626522     41.0130810     56.4819832     77.2489311
     490.000      57.1466438     42.1880099     57.4812458     77.8187686
     500.000      56.7189047     43.3591329     58.4550480     78.3984712
     510.000      56.2794750     44.5260998     59.4037296     78.9877858
     520.000      55.8283977     45.6885877     60.3276676     79.5864633
     530.000      55.3657191     46.8462999     61.2272708     80.1942581
     540.000      54.8914885     47.9989640     62.1029749     80.8109290
     550.000      54.4057575     49.1463308     62.9552387     81.4362394
     560.000      53.9085803     50.2881732     63.7845392     82.0699573
     570.000      53.4000131     51.4242845     64.5913687     82.7118553
     580.000      52.8801143     52.5544777     65.3762309     83.3617114
     590.000      52.3489439     53.6785840     66.1396379     84.0193084
     600.000      51.8065634     54.7964516     66.8821076     84.6844344
     610.000      51.2530361     55.9079449     67.6041609     85.3568825
     620.000      50.6884262     57.0129437     68.3063197     86.0364513
     630.000      50.1127992     58.1113414     68.9891052     86.7229443
     640.000      49.5262217     59.2030451     69.6530354     87.4161705
     650.000      48.9287609     60.2879738     70.2986243     88.1159439
     660.000      48.3204850     61.3660584     70.9263806     88.8220836
     670.000      47.7014628     62.4372403     71.5368058     89.5344137
     680.000      47.0717634     63.5014709     72.1303942     90.2527636
     690.000      46.4314566     64.5587108     72.7076315     90.9769671
     700.000      45.7806126     65.6089296     73.2689944     91.7068633
     710.000      45.1193015     66.6521044     73.8149499     92.4422957
     720.000      44.4475940     67.6882200     74.3459547     93.1831125
     730.000      43.7655607     68.7172681     74.8624554     93.9291664
     740.000      43.0732722     69.7392465     75.3648877     94.6803147
     750.000      42.3707993     70.7541592     75.8536764     95.4364187
     760.000      41.6582126     71.7620152     76.3292355     96.1973441
     770.000      40.9355825     72.7628288     76.7919676     96.9629606
     780.000      40.2029794     73.7566187     77.2422646     97.7331420
     790.000      39.4604734     74.7434080     77.6805071     98.5077658
     800.000      38.7081345     75.7232234     78.1070650     99.2867132
     810.000      37.9460321     76.6960953     78.5222971    100.0698693
     820.000      37.1742356     77.6620572     78.9265518    100.8571225
     830.000      36.3928139     78.6211458     79.3201666    101.6483649
     840.000      35.6018355     79.5734000     79.7034689    102.4434915
     850.000      34.8013685     80.5188616     80.0767761    103.2424009
     860.000      33.9914807     81.4575744     80.4403952    104.0449947
     870.000      33.1722394     82.3895841     80.7946238    104.8511775
     880.000      32.3437113     83.3149382     81.1397500    105.6608569
     890.000      31.5059626     84.2336859     81.4760525    106.4739431
     900.000      30.6590594     85.1458778     81.8038012    107.2903494
     910.000      29.8030668     86.0515656     82.1232570    108.1099915
     920.000      28.9380496     86.9508024     82.4346724    108.9327877
     930.000      28.0640720     87.8436419     82.7382917    109.7586590
     940.000      27.1811979     88.7301388     83.0343509    110.5875284
     950.000      26.2894902     89.6103488     83.3230785    111.4193215
     960.000      25.3890117     90.4843277     83.6046954    112.2539663
     970.000      24.4798243     91.3521322     83.8794149    113.0913925
     980.000      23.5619894     92.2138192     84.1474435    113.9315322
     990.000      22.6355681     93.0694461     84.4089808    114.7743197
    1000.000      21.7006205     93.9190704     84.6642198    115.6196909
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

