        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.2804497      0.0000000      0.0000000     65.2804497
      10.000      65.2804048      0.0190742      0.0488795     65.2805955
      20.000      65.2799398      0.0763055      0.1289918     65.2814659
      30.000      65.2788205      0.1515320      0.2653658     65.2833665
      40.000      65.2768042      0.2581699      0.5078189     65.2871310
      50.000      65.2735102      0.4086707      0.8759817     65.2939438
      60.000      65.2684601      0.6102594      1.3717773     65.3050757
      70.000      65.2611210      0.8670154      1.9974368     65.3218121
      80.000      65.2509265      1.1817564      2.7557241     65.3454670
      90.000      65.2372859      1.5564532      3.6458803     65.3773667
     100.000      65.2195941      1.9921148      4.6621756     65.4188055
     110.000      65.1972405      2.4886988      5.7944918     65.4709973
     120.000      65.1696204      3.0451480      7.0295979     65.5350382
     130.000      65.1361443      3.6595205      8.3525057     65.6118820
     140.000      65.0962457      4.3291678      9.7476993     65.7023292
     150.000      65.0493872      5.0509297     11.2001426     65.8070267
     160.000      64.9950650      5.8213227     12.6960134     65.9264766
     170.000      64.9328108      6.6367068     14.2231500     66.0610510
     180.000      64.8621931      7.4934232     15.7712402     66.2110093
     190.000      64.7828165      8.3878983     17.3318065     66.3765172
     200.000      64.6943207      9.3167175     18.8980525     66.5576642
     210.000      64.5963784     10.2766705     20.4646310     66.7544792
     220.000      64.4886935     11.2647749     22.0273831     66.9669439
     230.000      64.3709983     12.2782827     23.5830827     67.1950033
     240.000      64.2430515     13.3146753     25.1292071     67.4385736
     250.000      64.1046362     14.3716504     26.6637455     67.6975488
     260.000      63.9555570     15.4471054     28.1850466     67.9718044
     270.000      63.7956389     16.5391185     29.6917043     68.2612009
     280.000      63.6247253     17.6459294     31.1824768     68.5655855
     290.000      63.4426764     18.7659217     32.6562318     68.8847937
     300.000      63.2493679     19.8976067     34.1119134     69.2186499
     310.000      63.0446899     21.0396081     35.5485241     69.5669684
     320.000      62.8285456     22.1906501     36.9651183     69.9295536
     330.000      62.6008507     23.3495465     38.3608013     70.3062010
     340.000      62.3615322     24.5151911     39.7347341     70.6966972
     350.000      62.1105278     25.6865508     41.0861390     71.1008206
     360.000      61.8477853     26.8626587     42.4143059     71.5183425
     370.000      61.5732618     28.0426089     43.7185980     71.9490271
     380.000      61.2869232     29.2255521     44.9984569     72.3926330
     390.000      60.9887435     30.4106916     46.2534051     72.8489132
     400.000      60.6787045     31.5972805     47.4830484     73.3176167
     410.000      60.3567954     32.7846181     48.6870752     73.7984888
     420.000      60.0230119     33.9720481     49.8652562     74.2912721
     430.000      59.6773562     35.1589560     51.0174412     74.7957072
     440.000      59.3198364     36.3447672     52.1435566     75.3115340
     450.000      58.9504663     37.5289449     53.2436007     75.8384915
     460.000      58.5692646     38.7109884     54.3176394     76.3763193
     470.000      58.1762552     39.8904315     55.3658011     76.9247580
     480.000      57.7714661     41.0668408     56.3882715     77.4835497
     490.000      57.3549298     42.2398138     57.3852884     78.0524386
     500.000      56.9266825     43.4089780     58.3571360     78.6311715
     510.000      56.4867641     44.5739890     59.3041403     79.2194985
     520.000      56.0352177     45.7345290     60.2266636     79.8171727
     530.000      55.5720894     46.8903058     61.1250998     80.4239515
     540.000      55.0974283     48.0410510     61.9998701     81.0395958
     550.000      54.6112860     49.1865190     62.8514185     81.6638715
     560.000      54.1137163     50.3264858     63.6802081     82.2965484
     570.000      53.6047753     51.4607475     64.4867171     82.9374013
     580.000      53.0845210     52.5891191     65.2714358     83.5862101
     590.000      52.5530131     53.7114339     66.0348634     84.2427591
     600.000      52.0103130     54.8275418     66.7775054     84.9068380
     610.000      51.4564834     55.9373086     67.4998711     85.5782416
     620.000      50.8915883     57.0406149     68.2024711     86.2567696
     630.000      50.3156930     58.1373553     68.8858157     86.9422268
     640.000      49.7288634     59.2274375     69.5504133     87.6344234
     650.000      49.1311667     60.3107809     70.1967682     88.3331743
     660.000      48.5226705     61.3873168     70.8253801     89.0382996
     670.000      47.9034432     62.4569868     71.4367423     89.7496244
     680.000      47.2735538     63.5197423     72.0313413     90.4669786
     690.000      46.6330716     64.5755440     72.6096555     91.1901970
     700.000      45.9820662     65.6243611     73.1721546     91.9191190
     710.000      45.3206077     66.6661706     73.7192993     92.6535889
     720.000      44.6487662     67.7009570     74.2515406     93.3934553
     730.000      43.9666120     68.7287116     74.7693193     94.1385715
     740.000      43.2742154     69.7494317     75.2730662     94.8887949
     750.000      42.5716468     70.7631208     75.7632014     95.6439874
     760.000      41.8589764     71.7697875     76.2401343     96.4040149
     770.000      41.1362744     72.7694454     76.7042637     97.1687474
     780.000      40.4036108     73.7621128     77.1559776     97.9380588
     790.000      39.6610554     74.7478120     77.5956533     98.7118269
     800.000      38.9086777     75.7265691     78.0236575     99.4899330
     810.000      38.1465471     76.6984139     78.4403460    100.2722623
     820.000      37.3747324     77.6633792     78.8460645    101.0587033
     830.000      36.5933023     78.6215010     79.2411483    101.8491481
     840.000      35.8023250     79.5728177     79.6259224    102.6434919
     850.000      35.0018685     80.5173703     80.0007020    103.4416333
     860.000      34.1920000     81.4552019     80.3657924    104.2434737
     870.000      33.3727867     82.3863576     80.7214895    105.0489178
     880.000      32.5442950     83.3108842     81.0680798    105.8578731
     890.000      31.7065910     84.2288304     81.4058406    106.6702500
     900.000      30.8597401     85.1402458     81.7350405    107.4859614
     910.000      30.0038076     86.0451818     82.0559393    108.3049231
     920.000      29.1388579     86.9436907     82.3687884    109.1270533
     930.000      28.2649551     87.8358256     82.6738311    109.9522729
     940.000      27.3821625     88.7216407     82.9713028    110.7805047
     950.000      26.4905431     89.6011908     83.2614310    111.6116744
     960.000      25.5901594     90.4745315     83.5444360    112.4457096
     970.000      24.6810730     91.3417187     83.8205305    113.2825401
     980.000      23.7633453     92.2028087     84.0899207    114.1220979
     990.000      22.8370370     93.0578585     84.3528054    114.9643168
    1000.000      21.9022081     93.9069248     84.6093774    115.8091329
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

