        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.4123312      0.0000000      0.0000000     65.4123312
      10.000      65.4122764      0.0219440      0.0519117     65.4124959
      20.000      65.4117747      0.0803487      0.1295343     65.4133817
      30.000      65.4106147      0.1555361      0.2643563     65.4152808
      40.000      65.4085609      0.2615658      0.5044256     65.4190236
      50.000      65.4052379      0.4110439      0.8701297     65.4257901
      60.000      65.4001703      0.6113531      1.3635290     65.4368515
      70.000      65.3928274      0.8666636      1.9869045     65.4534938
      80.000      65.3826440      1.1798638      2.7432008     65.4770331
      90.000      65.3690302      1.5529940      3.6318735     65.5087997
     100.000      65.3513806      1.9871313      4.6473526     65.5500937
     110.000      65.3290841      2.4822929      5.7795892     65.6021363
     120.000      65.3015346      3.0374677      7.0153282     65.6660307
     130.000      65.2681410      3.6507435      8.3394815     65.7427376
     140.000      65.2283348      4.3194857      9.7363805     65.8330628
     150.000      65.1815769      5.0405333     11.1908081     65.9376569
     160.000      65.1273614      5.8103901     12.6887536     66.0570238
     170.000      65.0652186      6.6253946     14.2178762     66.1915356
     180.000      64.9947153      7.4818602     15.7677060     66.3414502
     190.000      64.9154552      8.3761827     17.3296366     66.5069299
     200.000      64.8270770      9.3049155     18.8967751     66.6880601
     210.000      64.7292530     10.2648171     20.4637110     66.8848646
     220.000      64.6216868     11.2528761     22.0262528     67.0973196
     230.000      64.5041109     12.2663185     23.5811692     67.3253642
     240.000      64.3762843     13.3026033     25.1259554     67.5689091
     250.000      64.2379905     14.3594097     26.6586361     67.8278429
     260.000      64.0890348     15.4346204     28.1776093     68.1020361
