        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.6909237      0.0000000      0.0000000     65.6909237
      10.000      65.6909027      0.0102925      0.0328256     65.6910056
      20.000      65.6905907      0.0556349      0.1107007     65.6917034
      30.000      65.6897205      0.1225943      0.2417236     65.6933983
      40.000      65.6880331      0.2212892      0.4755898     65.6968847
      50.000      65.6851486      0.3636273      0.8347524     65.7033300
      60.000      65.6805903      0.5569286      1.3219166     65.7140061
      70.000      65.6738261      0.8053912      1.9396530     65.7302034
      80.000      65.6642887      1.1119646      2.6912935     65.7532459
      90.000      65.6513859      1.4787768      3.5766929     65.7844758
     100.000      65.6345084      1.9070016      4.5905631     65.8252085
     110.000      65.6130407      2.3967439      5.7229537     65.8766825
     120.000      65.5863715      2.9470577      6.9605208     65.9400184
     130.000      65.5539038      3.5560669      8.2879345     66.0161925
     140.000      65.5150632      4.2211426      9.6891816     66.1060232
     150.000      65.4693046      4.9391028     11.1486472     66.2101700
     160.000      65.4161166      5.7064080     12.6519123     66.3291419
     170.000      65.3550244      6.5193369     14.1862505     66.4633116
     180.000      65.2855903      7.3741328     15.7408517     66.6129342
     190.000      65.2074144      8.2671156     17.3068298     66.7781664
     200.000      65.1201325      9.1947620     18.8770790     66.9590849
     210.000      65.0234147     10.1537563     20.4460431     67.1557035
     220.000      64.9169632     11.1410179     22.0094494     67.3679871
     230.000      64.8005096     12.1537106     23.5640414     67.5958631
     240.000      64.6738129     13.1892390     25.1073373     67.8392302
     250.000      64.5366566     14.2452364     26.6374237     68.0979657
     260.000      64.3888471     15.3195480     28.1527886     68.3719296
     270.000      64.2302112     16.4102115     29.6521949     68.6609683
     280.000      64.0605944     17.5154371     31.1345865     68.9649168
     290.000      63.8798594     18.6335889     32.5990250     69.2836002
     300.000      63.6878845     19.7631668     34.0446479     69.6168346
     310.000      63.4845626     20.9027908     35.4706447     69.9644277
     320.000      63.2697995     22.0511874     36.8762457     70.3261795
     330.000      63.0435135     23.2071778     38.2607181     70.7018822
     340.000      62.8056343     24.3696671     39.6233687     71.0913211
