        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [6 6 4]
  Supercell: [2 2 2]
Spacegroup: Cmmm (65)
Computing force constants...
Number of irreducible q-points on sampling mesh: 24/144
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      28.7368795      0.0000000      0.0000000     28.7368795
      10.000      28.7368795      0.0000300      0.0003389     28.7368798
      20.000      28.7368590      0.0073122      0.0386185     28.7370052
      30.000      28.7366390      0.0414482      0.1429273     28.7378824
      40.000      28.7359498      0.0997752      0.2726996     28.7399408
      50.000      28.7345801      0.1773111      0.4352949     28.7434456
      60.000      28.7323381      0.2745515      0.6468932     28.7488112
      70.000      28.7290160      0.3936862      0.9154454     28.7565741
      80.000      28.7243849      0.5366284      1.2424258     28.7673152
      90.000      28.7182001      0.7045691      1.6259669     28.7816113
     100.000      28.7102084      0.8980335      2.0626481     28.8000117
     110.000      28.7001542      1.1170278      2.5482297     28.8230273
     120.000      28.6877840      1.3611614      3.0779066     28.8511234
     130.000      28.6728495      1.6297346      3.6464527     28.8847150
     140.000      28.6551110      1.9218057      4.2484001     28.9241638
     150.000      28.6343388      2.2362480      4.8782542     28.9697760
     160.000      28.6103156      2.5718032      5.5307041     29.0218041
     170.000      28.5828369      2.9271294      6.2007910     29.0804489
     180.000      28.5517117      3.3008442      6.8840179     29.1458637
     190.000      28.5167633      3.6915598      7.5764018     29.2181597
     200.000      28.4778284      4.0979111      8.2744793     29.2974106
     210.000      28.4347574      4.5185758      8.9752795     29.3836583
     220.000      28.3874134      4.9522883      9.6762779     29.4769169
     230.000      28.3356721      5.3978488     10.3753421     29.5771774
     240.000      28.2794207      5.8541271     11.0706764     29.6844112
     250.000      28.2185574      6.3200640     11.7607696     29.7985734
     260.000      28.1529906      6.7946705     12.4443493     29.9196049
     270.000      28.0826382      7.2770256     13.1203428     30.0474351
     280.000      28.0074271      7.7662727     13.7878443     30.1819834
     290.000      27.9272924      8.2616162     14.4460889     30.3231611
     300.000      27.8421769      8.7623176     15.0944312     30.4708722
     310.000      27.7520305      9.2676916     15.7323283     30.6250149
     320.000      27.6568096      9.7771025     16.3593264     30.7854824
     330.000      27.5564769     10.2899603     16.9750500     30.9521638
     340.000      27.4510007     10.8057178     17.5791928     31.1249448
