        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.0775326      0.0000000      0.0000000     66.0775326
      10.000      66.0775265      0.0037250      0.0165143     66.0775638
      20.000      66.0773429      0.0384310      0.0985332     66.0781116
      30.000      66.0766738      0.0993975      0.2210231     66.0796558
      40.000      66.0752577      0.1897737      0.4369554     66.0828486
      50.000      66.0727403      0.3213906      0.7765304     66.0888098
      60.000      66.0686650      0.5023588      1.2443666     66.0988065
      70.000      66.0625125      0.7374718      1.8437583     66.1141355
      80.000      66.0537236      1.0301375      2.5789054     66.1361346
      90.000      66.0417094      1.3828910      3.4506372     66.1661696
     100.000      66.0258602      1.7972799      4.4544527     66.2055882
     110.000      66.0055568      2.2737339      5.5808027     66.2556675
     120.000      65.9801808      2.8115631      6.8163184     66.3175684
     130.000      65.9491265      3.4090692      8.1452910     66.3923055
     140.000      65.9118089      4.0637242      9.5510904     66.4807303
     150.000      65.8676719      4.7723785     11.0173625     66.5835287
     160.000      65.8161932      5.5314695     12.5289208     66.7012283
     170.000      65.7568870      6.3372116     14.0723095     66.8342130
     180.000      65.6893063      7.1857549     15.6360700     66.9827422
     190.000      65.6130419      8.0733092     17.2107717     67.1469707
     200.000      65.5277222      8.9962327     18.7888775     67.3269688
     210.000      65.4330109      9.9510904     20.3645128     67.5227398
     220.000      65.3286047     10.9346866     21.9331902     67.7342357
     230.000      65.2142312     11.9440779     23.4915325     67.9613691
