        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [6 6 4]
  Supercell: [2 2 2]
Spacegroup: Cmmm (65)
Computing force constants...
Number of irreducible q-points on sampling mesh: 24/144
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      28.7390508      0.0000000      0.0000000     28.7390508
      10.000      28.7390508      0.0000366      0.0004053     28.7390512
      20.000      28.7390280      0.0080089      0.0414640     28.7391882
      30.000      28.7387927      0.0438837      0.1484452     28.7401092
      40.000      28.7380703      0.1039626      0.2793092     28.7422288
      50.000      28.7366506      0.1830802      0.4429602     28.7458047
      60.000      28.7343433      0.2818420      0.6560286     28.7512538
      70.000      28.7309407      0.4025160      0.9263588     28.7591168
      80.000      28.7262134      0.5470364      1.2551818     28.7699763
      90.000      28.7199165      0.7165788      1.6403971     28.7844086
     100.000      28.7117967      0.9116364      2.0784193     28.8029604
     110.000      28.7015988      1.1321807      2.5649258     28.8261386
     120.000      28.6890695      1.3777912      3.0950961     28.8544045
     130.000      28.6739618      1.6477465      3.6637350     28.8881688
     140.000      28.6560366      1.9410911      4.2654299     28.9277894
     150.000      28.6350657      2.2566916      4.8947508     28.9735695
     160.000      28.6108328      2.5932885      5.5464506     29.0257589
     170.000      28.5831344      2.9495427      6.2156283     29.0845567
     180.000      28.5517810      3.3240771      6.8978368     29.1501149
     190.000      28.5165966      3.7155111      7.5891343     29.2225437
     200.000      28.4774190      4.1224870      8.2860906     29.3019164
     210.000      28.4340994      4.5436908      8.9857610     29.3882745
     220.000      28.3865019      4.9778651      9.6856412     29.4816323
     230.000      28.3345029      5.4238176     10.3836142     29.5819809
     240.000      28.2779901      5.8804256     11.0778955     29.6892922
     250.000      28.2168623      6.3466366     11.7669820     29.8035215
     260.000      28.1510286      6.8214680     12.4496066     29.9246103
     270.000      28.0804073      7.3040044     13.1247001     30.0524885
     280.000      28.0049257      7.7933945     13.7913585     30.1870762
     290.000      27.9245192      8.2888475     14.4488173     30.3282850
     300.000      27.8391310      8.7896290     15.0964306     30.4760197
     310.000      27.7487112      9.2950574     15.7336543     30.6301790
     320.000      27.6532165      9.8045004     16.3600330     30.7906566
     330.000      27.5526097     10.3173711     16.9751887     30.9573422
     340.000      27.4468594     10.8331250     17.5788131     31.1301219
     350.000      27.3359393     11.3512568     18.1706591     31.3088792
     360.000      27.2198279     11.8712980     18.7505359     31.4934952
     370.000      27.0985084     12.3928138     19.3183030     31.6838495
     380.000      26.9719681     12.9154013     19.8738657     31.8798206
     390.000      26.8401981     13.4386870     20.4171709     32.0812860
     400.000      26.7031932     13.9623248     20.9482035     32.2881231
     410.000      26.5609515     14.4859945     21.4669825     32.5002092
     420.000      26.4134742     15.0093997     21.9735577     32.7174221
     430.000      26.2607653     15.5322667     22.4680070     32.9396399
     440.000      26.1028315     16.0543424     22.9504330     33.1667421
     450.000      25.9396818     16.5753935     23.4209603     33.3986089
     460.000      25.7713277     17.0952052     23.8797332     33.6351221
     470.000      25.5977825     17.6135796     24.3269132     33.8761650
     480.000      25.4190615     18.1303350     24.7626766     34.1216223
     490.000      25.2351818     18.6453046     25.1872124     34.3713811
     500.000      25.0461619     19.1583358     25.6007206     34.6253298
     510.000      24.8520220     19.6692890     26.0034102     34.8833594
     520.000      24.6527835     20.1780369     26.3954977     35.1453627
     530.000      24.4484690     20.6844637     26.7772054     35.4112348
     540.000      24.2391023     21.1884642     27.1487602     35.6808730
     550.000      24.0247081     21.6899432     27.5103926     35.9541769
     560.000      23.8053121     22.1888150     27.8623349     36.2310485
     570.000      23.5809408     22.6850023     28.2048209     36.5113921
     580.000      23.3516213     23.1784361     28.5380846     36.7951142
     590.000      23.1173814     23.6690549     28.8623596     37.0821238
     600.000      22.8782497     24.1568041     29.1778784     37.3723322
     610.000      22.6342551     24.6416359     29.4848714     37.6656530
     620.000      22.3854269     25.1235082     29.7835671     37.9620020
     630.000      22.1317949     25.6023849     30.0741909     38.2612974
     640.000      21.8733893     26.0782349     30.3569650     38.5634596
     650.000      21.6102404     26.5510321     30.6321083     38.8684113
     660.000      21.3423789     27.0207548     30.8998355     39.1760771
     670.000      21.0698356     27.4873856     31.1603576     39.4863839
     680.000      20.7926415     27.9509108     31.4138810     39.7992609
     690.000      20.5108278     28.4113205     31.6606078     40.1146389
     700.000      20.2244255     28.8686079     31.9007357     40.4324510
     710.000      19.9334660     29.3227694     32.1344576     40.7526323
     720.000      19.6379805     29.7738041     32.3619615     41.0751195
     730.000      19.3380004     30.2217137     32.5834311     41.3998514
     740.000      19.0335567     30.6665026     32.7990450     41.7267686
     750.000      18.7246807     31.1081769     33.0089771     42.0558133
     760.000      18.4114035     31.5467451     33.2133966     42.3869297
     770.000      18.0937561     31.9822173     33.4124681     42.7200635
     780.000      17.7717694     32.4146056     33.6063513     43.0551618
     790.000      17.4454742     32.8439234     33.7952015     43.3921737
     800.000      17.1149011     33.2701855     33.9791694     43.7310496
     810.000      16.7800806     33.6934082     34.1584012     44.0717413
     820.000      16.4410431     34.1136088     34.3330388     44.4142023
     830.000      16.0978185     34.5308057     34.5032198     44.7583872
     840.000      15.7504369     34.9450183     34.6690776     45.1042523
     850.000      15.3989280     35.3562668     34.8307413     45.4517548
     860.000      15.0433214     35.7645723     34.9883363     45.8008535
     870.000      14.6836463     36.1699564     35.1419840     46.1515084
     880.000      14.3199319     36.5724415     35.2918018     46.5036804
     890.000      13.9522070     36.9720505     35.4379036     46.8573320
     900.000      13.5805004     37.3688068     35.5803996     47.2124265
     910.000      13.2048403     37.7627341     35.7193966     47.5689283
     920.000      12.8252551     38.1538566     35.8549978     47.9268031
     930.000      12.4417725     38.5421988     35.9873033     48.2860173
     940.000      12.0544203     38.9277854     36.1164099     48.6465385
     950.000      11.6632259     39.3106414     36.2424112     49.0083352
     960.000      11.2682165     39.6907919     36.3653979     49.3713767
