        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      64.7392709      0.0000000      0.0000000     64.7392709
      10.000      64.7392591      0.0062181      0.0226167     64.7393212
      20.000      64.7390220      0.0468706      0.1150853     64.7399594
      30.000      64.7381999      0.1246947      0.3008621     64.7419408
      40.000      64.7363684      0.2501278      0.6050901     64.7463735
      50.000      64.7330221      0.4280521      1.0242084     64.7544247
      60.000      64.7276263      0.6603013      1.5594953     64.7672443
      70.000      64.7196298      0.9484464      2.2166548     64.7860211
      80.000      64.7084653      1.2941738      3.0001787     64.8119992
      90.000      64.6935498      1.6988329      3.9095564     64.8464448
     100.000      64.6742902      2.1630034      4.9388431     64.8905905
     110.000      64.6500925      2.6863207      6.0778792     64.9455878
     120.000      64.6203708      3.2675033      7.3137970     65.0124712
     130.000      64.5845563      3.9044836      8.6323654     65.0921392
     140.000      64.5421040      4.5945831     10.0190986     65.1853457
     150.000      64.4924980      5.3346937     11.4601199     65.2927020
     160.000      64.4352547      6.1214498     12.9427675     65.4146866
     170.000      64.3699251      6.9513758     14.4559481     65.5516589
     180.000      64.2960948      7.8210059     15.9902651     65.7038759
     190.000      64.2133838      8.7269731     17.5379748     65.8715087
     200.000      64.1214449      9.6660705     19.0928264     66.0546590
     210.000      64.0199621     10.6352871     20.6498399     66.2533723
     220.000      63.9086481     11.6318256     22.2050655     66.4676498
     230.000      63.7872431     12.6531045     23.7553531     66.6974571
     240.000      63.6555115     13.6967513     25.2981499     66.9427318
     250.000      63.5132408     14.7605891     26.8313346     67.2033881
     260.000      63.3602391     15.8426203     28.3530885     67.4793204
     270.000      63.1963339     16.9410092     29.8618018     67.7704063
     280.000      63.0213701     18.0540643     31.3560088     68.0765081
     290.000      62.8352089     19.1802231     32.8343467     68.3974736
     300.000      62.6377268     20.3180369     34.2955327     68.7331378
     310.000      62.4288138     21.4661588     35.7383534     69.0833230
     320.000      62.2083734     22.6233326     37.1616624     69.4478398
     330.000      61.9763209     23.7883840     38.5643839     69.8264877
     340.000      61.7325831     24.9602129     39.9455175     70.2190555
     350.000      61.4770975     26.1377870     41.3041455     70.6253230
     360.000      61.2098115     27.3201366     42.6394379     71.0450607
     370.000      60.9306819     28.5063502     43.9506581     71.4780315
     380.000      60.6396745     29.6955710     45.2371653     71.9239914
     390.000      60.3367632     30.8869934     46.4984169     72.3826906
     400.000      60.0219298     32.0798608     47.7339676     72.8538741
     410.000      59.6951635     33.2734624     48.9434687     73.3372831
     420.000      59.3564603     34.4671320     50.1266645     73.8326558
     430.000      59.0058227     35.6602452     51.2833888     74.3397281
     440.000      58.6432592     36.8522177     52.4135599     74.8582350
     450.000      58.2687840     38.0425041     53.5171752     75.3879108
     460.000      57.8824165     39.2305952     54.5943055     75.9284902
     470.000      57.4841810     40.4160172     55.6450887     76.4797091
     480.000      57.0741065     41.5983299     56.6697238     77.0413049
     490.000      56.6522261     42.7771248     57.6684646     77.6130173
     500.000      56.2185770     43.9520237     58.6416139     78.1945888
     510.000      55.7731998     45.1226776     59.5895175     78.7857654
     520.000      55.3161387     46.2887647     60.5125587     79.3862963
     530.000      54.8474407     47.4499893     61.4111532     79.9959351
     540.000      54.3671560     48.6060803     62.2857440     80.6144394
     550.000      53.8753371     49.7567899     63.1367971     81.2415715
     560.000      53.3720389     50.9018921     63.9647972     81.8770985
     570.000      52.8573186     52.0411818     64.7702436     82.5207922
     580.000      52.3312352     53.1744735     65.5536475     83.1724299
     590.000      51.7938497     54.3015996     66.3155279     83.8317934
     600.000      51.2452243     55.4224102     67.0564094     84.4986704
     610.000      50.6854230     56.5367712     67.7768196     85.1728534
