        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.1230977      0.0000000      0.0000000     65.1230977
      10.000      65.1230721      0.0108004      0.0280129     65.1231801
      20.000      65.1228019      0.0451651      0.0819301     65.1237052
      30.000      65.1220994      0.1012131      0.2277370     65.1251358
      40.000      65.1206218      0.2033685      0.5201480     65.1287565
      50.000      65.1178405      0.3626829      0.9437544     65.1359746
      60.000      65.1131717      0.5808986      1.4860936     65.1480256
      70.000      65.1060258      0.8581677      2.1487977     65.1660975
      80.000      65.0958094      1.1951160      2.9364738     65.1914187
      90.000      65.0819220      1.5924794      3.8494025     65.2252451
     100.000      65.0637576      2.0504923      4.8821952     65.2688068
     110.000      65.0407118      2.5685829      6.0249529     65.3232559
     120.000      65.0121903      3.1453293      7.2648521     65.3896298
     130.000      64.9776169      3.7785548      8.5875522     65.4688290
     140.000      64.9364402      4.4654832      9.9783509     65.5616078
     150.000      64.8881388      5.2029121     11.4230862     65.6685757
     160.000      64.8322251      5.9873798     12.9087808     65.7902059
     170.000      64.7682464      6.8153131     14.4240296     65.9268496
     180.000      64.6957858      7.6831483     15.9591591     66.0787525
     190.000      64.6144620      8.5874230     17.5062040     66.2460723
     200.000      64.5239269      9.5248396     19.0587613     66.4288949
     210.000      64.4238650     10.4923044     20.6117724     66.6272489
     220.000      64.3139903     11.4869466     22.1612802     66.8411185
     230.000      64.1940443     12.5061224     23.7041911     67.0704525
     240.000      64.0637942     13.5474084     25.2380623     67.3151722
     250.000      63.9230299     14.6085885     26.7609234     67.5751770
     260.000      63.7715628     15.6876369     28.2711360     67.8503484
     270.000      63.6092238     16.7827002     29.7672881     68.1405528
     280.000      63.4358611     17.8920785     31.2481192     68.4456431
     290.000      63.2513397     19.0142088     32.7124713     68.7654603
     300.000      63.0555393     20.1476491     34.1592588     69.0998340
     310.000      62.8483535     21.2910644     35.5874534     69.4485835
     320.000      62.6296889     22.4432155     36.9960781     69.8115178
     330.000      62.3994639     23.6029479     38.3842089     70.1884367
     340.000      62.1576083     24.7691840     39.7509784     70.5791308
     350.000      61.9040619     25.9409156     41.0955829     70.9833824
     360.000      61.6387748     27.1171982     42.4172884     71.4009661
     370.000      61.3617058     28.2971456     43.7154362     71.8316496
     380.000      61.0728224     29.4799262     44.9894478     72.2751944
     390.000      60.7721004     30.6647591     46.2388277     72.7313565
     400.000      60.4595228     31.8509115     47.4631648     73.1998874
     410.000      60.1350801     33.0376954     48.6621325     73.6805352
     420.000      59.7987690     34.2244660     49.8354875     74.1730447
     430.000      59.4505928     35.4106191     50.9830669     74.6771590
     440.000      59.0905606     36.5955893     52.1047852     75.1926198
     450.000      58.7186867     37.7788483     53.2006299     75.7191685
     460.000      58.3349909     38.9599031     54.2706566     76.2565464
     470.000      57.9394976     40.1382944     55.3149843     76.8044959
     480.000      57.5322354     41.3135950     56.3337898     77.3627610
     490.000      57.1132373     42.4854084     57.3273025     77.9310874
     500.000      56.6825400     43.6533672     58.2957989     78.5092236
     510.000      56.2401839     44.8171316     59.2395974     79.0969210
     520.000      55.7862124     45.9763884     60.1590534     79.6939344
     530.000      55.3206721     47.1308493     61.0545543     80.3000223
     540.000      54.8436123     48.2802495     61.9265149     80.9149470
     550.000      54.3550848     49.4243468     62.7753732     81.5384756
     560.000      53.8551438     50.5629200     63.6015867     82.1703790
     570.000      53.3438455     51.6957682     64.4056282     82.8104334
     580.000      52.8212481     52.8227089     65.1879829     83.4584193
     590.000      52.2874116     53.9435777     65.9491452     84.1141224
     600.000      51.7423973     55.0582265     66.6896160     84.7773332
     610.000      51.1862682     56.1665233     67.4098999     85.4478474
     620.000      50.6190884     57.2683503     68.1105037     86.1254656
