        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.3652245      0.0000000      0.0000000     65.3652245
      10.000      65.3652125      0.0059354      0.0192758     65.3652718
      20.000      65.3650190      0.0363286      0.0828023     65.3657456
      30.000      65.3643998      0.0931888      0.2262299     65.3671955
      40.000      65.3630140      0.1920865      0.4957645     65.3706975
      50.000      65.3603849      0.3426658      0.8875052     65.3775182
      60.000      65.3559804      0.5472799      1.3907126     65.3888172
      70.000      65.3492574      0.8065233      2.0086923     65.4057140
      80.000      65.3396630      1.1219016      2.7538245     65.4294151
      90.000      65.3266240      1.4958769      3.6374234     65.4612530
     100.000      65.3095416      1.9309735      4.6633211     65.5026390
     110.000      65.2877949      2.4289262      5.8261739     65.5549768
     120.000      65.2607519      2.9901994      7.1128628     65.6195758
     130.000      65.2277828      3.6138743      8.5051951     65.6975864
     140.000      65.1882735      4.2977864      9.9826938     65.7899636
     150.000      65.1416366      5.0387937     11.5248679     65.8974557
     160.000      65.0873200      5.8330821     13.1127710     66.0206131
     170.000      65.0248114      6.6764518     14.7298877     66.1598082
     180.000      64.9536418      7.5645574     16.3624880     66.3152621
     190.000      64.8733855      8.4930908     17.9996093     66.4870727
     200.000      64.7836591      9.4579098     19.6328097     66.6752410
     210.000      64.6841194     10.4551208     21.2558057     66.8796947
     220.000      64.5744607     11.4811235     22.8640733     67.1003079
     230.000      64.4544119     12.5326285     24.4544619     67.3369165
     240.000      64.3237331     13.6066553     26.0248518     67.5893304
     250.000      64.1822127     14.7005179     27.5738660     67.8573422
     260.000      64.0296647     15.8118032     29.1006394     68.1407335
     270.000      63.8659258     16.9383453     30.6046420     68.4392791
     280.000      63.6908534     18.0781998     32.0855491     68.7527494
     290.000      63.5043233     19.2296174     33.5431496     69.0809124
     300.000      63.3062278     20.3910211     34.9772856     69.4235341
     310.000      63.0964744     21.5609839     36.3878151     69.7803794
     320.000      62.8749839     22.7382104     37.7745920     70.1512113
     330.000      62.6416899     23.9215201     39.1374580     70.5357915
     340.000      62.3965369     25.1098332     40.4762425     70.9338802
     350.000      62.1394799     26.3021590     41.7907671     71.3452355
     360.000      61.8704834     27.4975852     43.0808532     71.7696140
     370.000      61.5895206     28.6952700     44.3463302     72.2067705
     380.000      61.2965730     29.8944344     45.5870442     72.6564581
     390.000      60.9916294     31.0943564     46.8028646     73.1184284
     400.000      60.6746856     32.2943661     47.9936916     73.5924321
