        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.6899503      0.0000000      0.0000000     65.6899503
      10.000      65.6899336      0.0075506      0.0212109     65.6900091
      20.000      65.6897328      0.0344679      0.0670142     65.6904222
      30.000      65.6891761      0.0824879      0.2009152     65.6916507
      40.000      65.6879337      0.1747611      0.4774575     65.6949241
      50.000      65.6854935      0.3229403      0.8865262     65.7016405
      60.000      65.6812796      0.5296731      1.4177009     65.7130600
      70.000      65.6747020      0.7958387      2.0737612     65.7304107
      80.000      65.6651608      1.1225953      2.8596124     65.7549685
      90.000      65.6520445      1.5110201      3.7752525     65.7880363
     100.000      65.6347334      1.9615353      4.8147527     65.8308869
     110.000      65.6126083      2.4736457      5.9675652     65.8847094
     120.000      65.5850598      3.0459264      7.2201539     65.9505710
     130.000      65.5514966      3.6761394      8.5574226     66.0293947
     140.000      65.5113534      4.3614041      9.9638929     66.1219500
     150.000      65.4640961      5.0983816     11.4246357     66.2288534
     160.000      65.4092255      5.8834518     12.9259477     66.3505778
     170.000      65.3462793      6.7128699     14.4557691     66.4874672
     180.000      65.2748327      7.5828951     16.0038666     66.6397539
     190.000      65.1944982      8.4898896     17.5618283     66.8075772
     200.000      65.1049233      9.4303871     19.1229243     66.9910007
     210.000      65.0057896     10.4011373     20.6818900     67.1900284
     220.000      64.8968098     11.3991274     22.2346751     67.4046178
     230.000      64.7777255     12.4215889     23.7781937     67.6346910
     240.000      64.6483049     13.4659917     25.3100963     67.8801429
     250.000      64.5083402     14.5300314     26.8285737     68.1408481
     260.000      64.3576458     15.6116117     28.3321998     68.4166649
     270.000      64.1960559     16.7088251     29.8198096     68.7074387
     280.000      64.0234230     17.8199333     31.2904101     69.0130043
     290.000      63.8396162     18.9433483     32.7431189     69.3331872
     300.000      63.6445199     20.0776149     34.1771239     69.6678044
     310.000      63.4380322     21.2213954     35.5916604     70.0166648
     320.000      63.2200644     22.3734558     36.9859998     70.3795702
     330.000      62.9905393     23.5326540     38.3594464     70.7563152
     340.000      62.7493911     24.6979302     39.7113394     71.1466873
     350.000      62.4965638     25.8682979     41.0410583     71.5504680
     360.000      62.2320112     27.0428373     42.3480285     71.9674327
     370.000      61.9556960     28.2206893     43.6317284     72.3973510
     380.000      61.6675891     29.4010501     44.8916940     72.8399881
     390.000      61.3676691     30.5831675     46.1275242     73.2951045
     400.000      61.0559222     31.7663370     47.3388833     73.7624570
     410.000      60.7323411     32.9498989     48.5255036     74.2417996
     420.000      60.3969250     34.1332356     49.6871848     74.7328839
     430.000      60.0496791     35.3157691     50.8237945     75.2354598
     440.000      59.6906141     36.4969589     51.9352655     75.7492760
     450.000      59.3197461     37.6763005     53.0215939     76.2740813
     460.000      58.9370958     38.8533227     54.0828356     76.8096243
     470.000      58.5426888     40.0275871     55.1191025     77.3556547
     480.000      58.1365546     41.1986854     56.1305588     77.9119236
     490.000      57.7187269     42.3662387     57.1174164     78.4781839
     500.000      57.2892429     43.5298959     58.0799307     79.0541908
     510.000      56.8481431     44.6893319     59.0183960     79.6397023
     520.000      56.3954713     45.8442469     59.9331414     80.2344796
     530.000      55.9312741     46.9943645     60.8245266     80.8382873
     540.000      55.4556008     48.1394310     61.6929377     81.4508936
     550.000      54.9685031     49.2792140     62.5387835     82.0720708
     560.000      54.4700349     50.4135011     63.3624918     82.7015955
     570.000      53.9602521     51.5420988     64.1645063     83.3392484
     580.000      53.4392125     52.6648316     64.9452833     83.9848148
     590.000      52.9069755     53.7815411     65.7052890     84.6380848
     600.000      52.3636022     54.8920846     66.4449965     85.2988529
     610.000      51.8091548     55.9963342     67.1648842     85.9669186
     620.000      51.2436969     57.0941763     67.8654329     86.6420861
     630.000      50.6672930     58.1855103     68.5471244     87.3241644
     640.000      50.0800086     59.2702480     69.2104396     88.0129674
     650.000      49.4819103     60.3483128     69.8558571     88.7083136
     660.000      48.8730649     61.4196388     70.4838516     89.4100264
     670.000      48.2535401     62.4841701     71.0948933     90.1179341
     680.000      47.6234043     63.5418604     71.6894463     90.8318694
     690.000      46.9827258     64.5926721     72.2679682     91.5516696
     700.000      46.3315738     65.6365756     72.8309090     92.2771768
     710.000      45.6700174     66.6735491     73.3787108     93.0082373
     720.000      44.9981260     67.7035777     73.9118072     93.7447020
     730.000      44.3159691     68.7266531     74.4306226     94.4864259
     740.000      43.6236161     69.7427731     74.9355725     95.2332682
     750.000      42.9211368     70.7519409     75.4270625     95.9850924
     760.000      42.2086005     71.7541651     75.9054888     96.7417659
     770.000      41.4860766     72.7494589     76.3712374     97.5031600
     780.000      40.7536343     73.7378402     76.8246848     98.2691497
     790.000      40.0113427     74.7193305     77.2661971     99.0396139
     800.000      39.2592706     75.6939555     77.6961309     99.8144350
     810.000      38.4974864     76.6617440     78.1148326    100.5934990
     820.000      37.7260584     77.6227280     78.5226390    101.3766953
     830.000      36.9450544     78.5769424     78.9198771    102.1639166
     840.000      36.1545420     79.5244247     79.3068644    102.9550587
