        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.6
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.8146289      0.0000000      0.0000000     65.8146289
      10.000      65.8146049      0.0100435      0.0250846     65.8147053
      20.000      65.8143665      0.0388246      0.0668458     65.8151430
      30.000      65.8137721      0.0852216      0.1926238     65.8163287
      40.000      65.8125178      0.1743101      0.4639605     65.8194902
      50.000      65.8100989      0.3191442      0.8700861     65.8260562
      60.000      65.8059392      0.5226404      1.3985080     65.8372977
      70.000      65.7994479      0.7856229      2.0515502     65.8544415
      80.000      65.7900247      1.1092170      2.8344335     65.8787621
      90.000      65.7770578      1.4945251      3.7475643     65.9115650
     100.000      65.7599268      1.9420245      4.7853045     65.9541293
     110.000      65.7380113      2.4512802      5.9372491     66.0076522
     120.000      65.7106999      3.0209183      7.1898763     66.0732101
     130.000      65.6773990      3.6487368      8.5280076     66.1517347
     140.000      65.6375407      4.3318743      9.9360187     66.2440031
     150.000      65.5905882      5.0669959     11.3988008     66.3506375
     160.000      65.5360396      5.8504725     12.9024587     66.4721152
     170.000      65.4734301      6.6785404     14.4347465     66.6087819
     180.000      65.4023327      7.5474331     15.9852622     66.7608706
     190.000      65.3223576      8.4534824     17.5454494     66.9285192
     200.000      65.2331509      9.3931901     19.1084622     67.1117889
     210.000      65.1343925     10.3632732     20.6689494     67.3106799
     220.000      65.0257943     11.3606878     22.2228027     67.5251456
     230.000      64.9070970     12.3826363     23.7669045     67.7551034
     240.000      64.7780684     13.4265623     25.2988957     68.0004433
     250.000      64.6385003     14.4901383     26.8169773     68.2610349
     260.000      64.4882072     15.5712485     28.3197479     68.5367318
     270.000      64.3270233     16.6679693     29.8060786     68.8273750
     280.000      64.1548016     17.7785492     31.2750205     69.1327954
     290.000      63.9714115     18.9013904     32.7257400     69.4528147
     300.000      63.7767378     20.0350303     34.1574764     69.7872469
     310.000      63.5706794     21.1781264     35.5695163     70.1358986
     320.000      63.3531479     22.3294419     36.9611812     70.4985693
     330.000      63.1240670     23.4878338     38.3318229     70.8750521
     340.000      62.8833712     24.6522425     39.6808249     71.2651336
     350.000      62.6310053     25.8216834     41.0076067     71.6685945
     360.000      62.3669238     26.9952392     42.3116298     72.0852099
     370.000      62.0910897     28.1720538     43.5924040     72.5147496
     380.000      61.8034745     29.3513276     44.8494927     72.9569790
     390.000      61.5040575     30.5323123     46.0825179     73.4116593
     400.000      61.1928249     31.7143080     47.2911633     73.8785481
     410.000      60.8697701     32.8966593     48.4751767     74.3574004
     420.000      60.5348926     34.0787531     49.6343703     74.8479689
     430.000      60.1881978     35.2600159     50.7686210     75.3500047
     440.000      59.8296968     36.4399117     51.8778686     75.8632580
     450.000      59.4594058     37.6179397     52.9621135     76.3874787
     460.000      59.0773458     38.7936332     54.0214141     76.9224171
     470.000      58.6835424     39.9665570     55.0558834     77.4678242
     480.000      58.2780253     41.1363068     56.0656846     78.0234525
