        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.7001752      0.0000000      0.0000000     65.7001752
      10.000      65.7001657      0.0048971      0.0172001     65.7002147
      20.000      65.6999892      0.0342463      0.0808710     65.7006741
      30.000      65.6994100      0.0850130      0.1831346     65.7019604
      40.000      65.6982193      0.1567589      0.3313440     65.7044896
      50.000      65.6961979      0.2516005      0.5367749     65.7087779
      60.000      65.6931001      0.3726230      0.8121378     65.7154575
      70.000      65.6886449      0.5238544      1.1758403     65.7253147
      80.000      65.6825051      0.7104701      1.6500123     65.7393428
      90.000      65.6742979      0.9383677      2.2547495     65.7587509
     100.000      65.6635807      1.2133739      3.0032716     65.7849181
     110.000      65.6498565      1.5404937      3.8998368     65.8193108
     120.000      65.6325846      1.9234170      4.9401330     65.8633946
     130.000      65.6111947      2.3643195      6.1131223     65.9185563
     140.000      65.5851025      2.8638982      7.4033841     65.9860482
     150.000      65.5537231      3.4215547      8.7933286     66.0669563
     160.000      65.5164832      4.0356491     10.2649682     66.1621870
     170.000      65.4728299      4.7037687     11.8011564     66.2724706
     180.000      65.4222375      5.4229765     13.3863363     66.3983732
     190.000      65.3642109      6.1900216     15.0068955     66.5403151
     200.000      65.2982889      7.0015066     16.6512407     66.6985902
     210.000      65.2240441      7.8540125     18.3096934     66.8733867
     220.000      65.1410831      8.7441877     19.9742855     67.0648044
     230.000      65.0490455      9.6688067     21.6385148     67.2728711
     240.000      64.9476024     10.6248057     23.2970970     67.4975558
     250.000      64.8364545     11.6093013     24.9457371     67.7387798
     260.000      64.7153304     12.6195970     26.5809308     67.9964256
     270.000      64.5839849     13.6531816     28.1998002     68.2703439
     280.000      64.4421969     14.7077225     29.7999616     68.5603592
     290.000      64.2897678     15.7810562     31.3794233     68.8662741
     300.000      64.1265199     16.8711773     32.9365070     69.1878731
     310.000      63.9522945     17.9762270     34.4697901     69.5249249
     320.000      63.7669513     19.0944817     35.9780625     69.8771855
     330.000      63.5703662     20.2243428     37.4602954     70.2443993
