        _                                    
  _ __ | |__   ___  _ __   ___   _ __  _   _ 
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      1.10.0

Python version 2.7.11
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      22.3953190      0.0000000      0.0000000     22.3953190
      10.000      22.3952979      0.0124017      0.0517154     22.3954219
      20.000      22.3947467      0.1119604      0.2739544     22.3969859
      30.000      22.3928555      0.2743790      0.5591587     22.4010869
      40.000      22.3890934      0.4873466      0.9695468     22.4085873
      50.000      22.3828917      0.7654015      1.5837263     22.4211618
      60.000      22.3735090      1.1262679      2.4442783     22.4410850
      70.000      22.3600420      1.5843194      3.5734501     22.4709444
      80.000      22.3414629      2.1501534      4.9783439     22.5134751
      90.000      22.3166569      2.8304434      6.6483112     22.5713968
     100.000      22.2844637      3.6276815      8.5549710     22.6472319
     110.000      22.2437185      4.5402547     10.6564541     22.7431465
     120.000      22.1932912      5.5629634     12.9036576     22.8608468
     130.000      22.1321184      6.6878361     15.2462257     23.0015371
     140.000      22.0592266      7.9050346     17.6370399     23.1659314
     150.000      21.9737462      9.2036972     20.0349450     23.3543007
     160.000      21.8749184     10.5726342     22.4059631     23.5665399
     170.000      21.7620959     12.0008518     24.7234276     23.8022407
     180.000      21.6347387     13.4779129     26.9674515     24.0607630
     190.000      21.4924072     14.9941614     29.1240565     24.3412978
     200.000      21.3347541     16.5408399     31.1841855     24.6429221
     210.000      21.1615151     18.1101310     33.1427347     24.9646426
     220.000      20.9724992     19.6951455     34.9976779     25.3054312
     230.000      20.7675799     21.2898771     36.7493146     25.6642516
     240.000      20.5466866     22.8891377     38.3996477     26.0400797
     250.000      20.3097969     24.4884823     39.9518826     26.4319175
     260.000      20.0569294     26.0841319     41.4100329     26.8388036
     270.000      19.7881373     27.6728973     42.7786166     27.2598196
     280.000      19.5035033     29.2521074     44.0624259     27.6940934
     290.000      19.2031344     30.8195427     45.2663570     28.1408018
     300.000      18.8871578     32.3733756     46.3952855     28.5991705
     310.000      18.5557173     33.9121167     47.4539791     29.0684734
     320.000      18.2089698     35.4345672     48.4470378     29.5480313
     330.000      17.8470834     36.9397778     49.3788546     30.0372101
     340.000      17.4702342     38.4270117     50.2535928     30.5354182
     350.000      17.0786050     39.8957137     51.0751740     31.0421048
     360.000      16.6723831     41.3454825     51.8472752     31.5567568
     370.000      16.2517593     42.7760472     52.5733315     32.0788968
     380.000      15.8169267     44.1872472     53.2565428     32.6080806
     390.000      15.3680792     45.5790144     53.8998835     33.1438948
     400.000      14.9054111     46.9513586     54.5061139     33.6859546
     410.000      14.4291165     48.3043547     55.0777923     34.2339019
     420.000      13.9393881     49.6381311     55.6172877     34.7874032
     430.000      13.4364174     50.9528613     56.1267926     35.3461477
     440.000      12.9203937     52.2487549     56.6083350     35.9098458
     450.000      12.3915043     53.5260516     57.0637909     36.4782275
     460.000      11.8499338     54.7850147     57.4948951     37.0510405
     470.000      11.2958641     56.0259264     57.9032525     37.6280496
     480.000      10.7294744     57.2490839     58.2903477     38.2090347
     490.000      10.1509406     58.4547951     58.6575549     38.7937902
     500.000       9.5604356     59.6433763     59.0061461     39.3821238
     510.000       8.9581291     60.8151489     59.3372997     39.9738550
     520.000       8.3441876     61.9704379     59.6521077     40.5688153
     530.000       7.7187742     63.1095696     59.9515823     41.1668461
     540.000       7.0820490     64.2328703     60.2366631     41.7677989
     550.000       6.4341685     65.3406651     60.5082219     42.3715343
     560.000       5.7752863     66.4332763     60.7670688     42.9779210
     570.000       5.1055525     67.5110233     61.0139567     43.5868358
     580.000       4.4251143     68.5742212     61.2495859     44.1981626
     590.000       3.7341156     69.6231807     61.4746081     44.8117922
     600.000       3.0326971     70.6582072     61.6896306     45.4276215
     610.000       2.3209969     71.6796008     61.8952192     46.0455533
     620.000       1.5991496     72.6876558     62.0919017     46.6654962
     630.000       0.8672872     73.6826605     62.2801706     47.2873633
     640.000       0.1255389     74.6648971     62.4604862     47.9110731
     650.000      -0.6259691     75.6346416     62.6332784     48.5365480
     660.000      -1.3871132     76.5921637     62.7989494     49.1637149
     670.000      -2.1577725     77.5377268     62.9578757     49.7925045
     680.000      -2.9378287     78.4715879     63.1104099     50.4228511
     690.000      -3.7271661     79.3939979     63.2568824     51.0546925
     700.000      -4.5256713     80.3052013     63.3976030     51.6879696
     710.000      -5.3332335     81.2054364     63.5328627     52.3226264
     720.000      -6.1497442     82.0949358     63.6629344     52.9586096
     730.000      -6.9750972     82.9739258     63.7880748     53.5958686
     740.000      -7.8091885     83.8426269     63.9085252     54.2343554
     750.000      -8.6519162     84.7012539     64.0245127     54.8740242
     760.000      -9.5031807     85.5500160     64.1362509     55.5148315
     770.000     -10.3628843     86.3891169     64.2439412     56.1567358
     780.000     -11.2309314     87.2187550     64.3477735     56.7996975
     790.000     -12.1072285     88.0391234     64.4479266     57.4436790
     800.000     -12.9916836     88.8504099     64.5445696     58.0886443
     810.000     -13.8842070     89.6527978     64.6378620     58.7345592
     820.000     -14.7847105     90.4464651     64.7279543     59.3813909
     830.000     -15.6931078     91.2315855     64.8149893     60.0291081
     840.000     -16.6093143     92.0083277     64.8991015     60.6776809
     850.000     -17.5332470     92.7768563     64.9804185     61.3270808
     860.000     -18.4648246     93.5373314     65.0590611     61.9772804
     870.000     -19.4039673     94.2899090     65.1351436     62.6282535
     880.000     -20.3505970     95.0347410     65.2087746     63.2799751
     890.000     -21.3046368     95.7719752     65.2800568     63.9324212
     900.000     -22.2660116     96.5017559     65.3490878     64.5855687
     910.000     -23.2346476     97.2242234     65.4159603     65.2393957
     920.000     -24.2104722     97.9395143     65.4807621     65.8938810
     930.000     -25.1934144     98.6477620     65.5435770     66.5490043
     940.000     -26.1834044     99.3490963     65.6044844     67.2047462
     950.000     -27.1803737    100.0436438     65.6635598     67.8610879
     960.000     -28.1842550    100.7315277     65.7208752     68.5180115
     970.000     -29.1949824    101.4128682     65.7764991     69.1754998
     980.000     -30.2124910    102.0877827     65.8304966     69.8335361
     990.000     -31.2367170    102.7563854     65.8829299     70.4921045
    1000.000     -32.2675980    103.4187877     65.9338582     71.1511897
                 _ 
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

