C(A)	E0(eV/atm)	F0(eV/atm)	F300(eV/atm)	F300 from php(eV/atm)	F0 from php(eV/atm)
7.734603659	-9.29974075	-9.297235443	-9.279451833	0.020288917	0.002505307
7.398316544	-9.303271	-9.300874619	-9.28284675	0.02042425	0.002396381
7.062029428	-9.305298	-9.303010546	-9.284676337	0.020621663	0.002287454
6.725742312	-9.30443575	-9.302257222	-9.283730723	0.020705027	0.002178528
6.389455197	-9.2980065	-9.295936899	-9.277208723	0.020797777	0.002069601
6.053168081	-9.281312	-9.279351325	-9.260449243	0.020862757	0.001960675
5.716880966	-9.24699775	-9.245146001	-9.226065422	0.020932328	0.001851749
5.38059385	-9.18425575	-9.182512928	-9.163187706	0.021068044	0.001742822
5.044306734	-9.07655725	-9.074923354	-9.055424465	0.021132785	0.001633896
4.708019619	-8.89676175	-8.895236781	-8.875584188	0.021177562	0.001524969
4.371732503	-8.610972	-8.609555957	-8.59020085	0.02077115	0.001416043
4.035445387	-8.184804	-8.183496883	-8.165170224	0.019633776	0.001307117
3.699158271	-7.561232	-7.56003381	-7.54303749	0.01819451	0.00119819
3.362871155	-6.6218255	-6.620736236	-6.603053198	0.018772302	0.001089264
3.026584039	-5.380071	-5.379090663	-5.361701955	0.018369045	0.000980337
2.690296923	-3.654861	-3.653989589	-3.639933436	0.014927564	0.000871411
