C(A)	E0(eV/atm)	F(eV/atm)	F from php(eV/atm)
7.734603659	-9.29974075	-9.279451833	0.020288917
7.398316544	-9.303271	-9.28284675	0.02042425
7.062029428	-9.305298	-9.284676337	0.020621663
6.994772005	-9.30541825	0	0
6.927514582	-9.305416	0	0
6.860257159	-9.305258	0	0
6.792999736	-9.30494375	0	0
6.725742312	-9.30443575	-9.283730723	0.020705027
6.658484889	-9.303711	0	0
6.591227466	-9.3027445	0	0
6.523970043	-9.30149675	0	0
6.45671262	-9.29993175	0	0
6.389455197	-9.2980065	-9.277208723	0.020797777
6.053168081	-9.281312	-9.260449243	0.020862757
5.716880966	-9.24699775	-9.226065422	0.020932328
5.38059385	-9.18425575	-9.163187706	0.021068044
5.044306734	-9.07655725	-9.055424465	0.021132785
4.708019619	-8.89676175	-8.875584188	0.021177562
4.371732503	-8.610972	-8.59020085	0.02077115
4.035445387	-8.184804	-8.165170224	0.019633776
3.699158271	-7.561232	-7.54303749	0.01819451
3.362871155	-6.6218255	-6.603053198	0.018772302
3.026584039	-5.380071	-5.361701955	0.018369045
2.690296923	-3.654861	-3.639933436	0.014927564
