        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Fd-3m (227)
Computing force constants...
Number of irreducible q-points on sampling mesh: 324/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      33.0976486      0.0000000      0.0000000     33.0976486
      10.000      33.0976486      0.0000000      0.0000000     33.0976486
      20.000      33.0976486      0.0000070      0.0000851     33.0976487
      30.000      33.0976474      0.0004040      0.0032888     33.0976595
      40.000      33.0976328      0.0031412      0.0195723     33.0977584
      50.000      33.0975669      0.0111478      0.0577284     33.0981243
      60.000      33.0973837      0.0269895      0.1228933     33.0990030
      70.000      33.0969940      0.0527721      0.2198558     33.1006880
      80.000      33.0962885      0.0904606      0.3544017     33.1035254
      90.000      33.0951385      0.1420364      0.5326212     33.1079217
     100.000      33.0933950      0.2094591      0.7597041     33.1143409
     110.000      33.0908904      0.2945481      1.0391780     33.1232907
     120.000      33.0874398      0.3988766      1.3727807     33.1353050
     130.000      33.0828444      0.5237166      1.7607402     33.1509276
     140.000      33.0768939      0.6700306      2.2021773     33.1706982
     150.000      33.0693700      0.8384935      2.6954504     33.1951440
     160.000      33.0600488      1.0295249      3.2383820     33.2247728
     170.000      33.0487035      1.2433235      3.8283789     33.2600685
     180.000      33.0351064      1.4798947      4.4624884     33.3014874
     190.000      33.0190303      1.7390746      5.1374289     33.3494544
     200.000      33.0002506      2.0205482      5.8496218     33.4043602
     210.000      32.9785465      2.3238658      6.5952369     33.4665583
     220.000      32.9537023      2.6484575      7.3702530     33.5363630
     230.000      32.9255087      2.9936475      8.1705310     33.6140476
     240.000      32.8937633      3.3586691      8.9918908     33.6998439
     250.000      32.8582720      3.7426795      9.8301881     33.7939418
     260.000      32.8188494      4.1447739     10.6813847     33.8964906
     270.000      32.7753194      4.5640008     11.5416084     34.0075996
     280.000      32.7275155      4.9993753     12.4072019     34.1273406
     290.000      32.6752814      5.4498922     13.2747592     34.2557502
     300.000      32.6184706      5.9145377     14.1411504     34.3928319
     310.000      32.5569469      6.3922995     15.0035356     34.5385598
     320.000      32.4905842      6.8821766     15.8593703     34.6928807
     330.000      32.4192663      7.3831864     16.7064024     34.8557178
     340.000      32.3428866      7.8943714     17.5426643     35.0269729
     350.000      32.2613480      8.4148042     18.3664595     35.2065295
     360.000      32.1745627      8.9435917     19.1763466     35.3942557
     370.000      32.0824512      9.4798779     19.9711215     35.5900060
     380.000      31.9849428     10.0228463     20.7497977     35.7936244
     390.000      31.8819746     10.5717207     21.5115869     36.0049457
     400.000      31.7734912     11.1257666     22.2558794     36.2237978
     410.000      31.6594444     11.6842904     22.9822251     36.4500034
     420.000      31.5397926     12.2466400     23.6903156     36.6833814
     430.000      31.4145008     12.8122033     24.3799671     36.9237483
     440.000      31.2835398     13.3804075     25.0511048     37.1709191
     450.000      31.1468857     13.9507178     25.7037480     37.4247087
     460.000      31.0045200     14.5226362     26.3379974     37.6849327
     470.000      30.8564291     15.0956995     26.9540227     37.9514079
     480.000      30.7026037     15.6694781     27.5520520     38.2239532
