        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.5447615      0.0000000      0.0000000     65.5447615
      10.000      65.5447280      0.0151418      0.0423731     65.5448794
      20.000      65.5443293      0.0673702      0.1208991     65.5456767
      30.000      65.5433185      0.1388310      0.2541887     65.5474834
      40.000      65.5414483      0.2415681      0.4914767     65.5511110
      50.000      65.5383413      0.3878380      0.8542250     65.5577332
      60.000      65.5335216      0.5849948      1.3447970     65.5686213
      70.000      65.5264578      0.8372197      1.9655894     65.5850631
      80.000      65.5165838      1.1474268      2.7197251     65.6083780
      90.000      65.5033089      1.5176958      3.6068515     65.6399015
     100.000      65.4860259      1.9491487      4.6215365     65.6809407
     110.000      65.4641217      2.4418438      5.7537820     65.7327245
     120.000      65.4369880      2.9948011      6.9902955     65.7963641
     130.000      65.4040310      3.6061258      8.3158787     65.8728274
     140.000      65.3646796      4.2731869      9.7147042     65.9629258
     150.000      65.3183920      4.9928140     11.1713704     66.0673141
     160.000      65.2646598      5.7614915     12.6716766     66.1864985
     170.000      65.2030110      6.5755306     14.2031023     66.3208512
     180.000      65.1330104      7.4312122     15.7550193     66.4706286
     190.000      65.0542601      8.3248972     17.3186912     66.6359905
     200.000      64.9663974      9.2531036     18.8871268     66.8170182
     210.000      64.8690939     10.2125557     20.4548490     67.0137306
     220.000      64.7620523     11.2002101     22.0176301     67.2260986
     230.000      64.6450050     12.2132642     23.5722290     67.4540558
     240.000      64.5177110     13.2491522     25.1161539     67.6975075
     250.000      64.3799537     14.3055323     26.6474603     67.9563368
     260.000      64.2315392     15.3802703     28.1645902     68.2304094
     270.000      64.0722936     16.4714199     29.6662492     68.5195770
     280.000      63.9020620     17.5772039     31.1513173     68.8236791
     290.000      63.7207062     18.6959948     32.6187886     69.1425447
     300.000      63.5281037     19.8262979     34.0677328     69.4759931
     310.000      63.3241465     20.9667361     35.4972735     69.8238347
     320.000      63.1087395     22.1160363     36.9065779     70.1858711
     330.000      62.8818001     23.2730181     38.2948556     70.5618961
     340.000      62.6432572     24.4365837     39.6613606     70.9516956
     350.000      62.3930499     25.6057100     41.0053973     71.3550484
     360.000      62.1311276     26.7794414     42.3263263     71.7717266
     370.000      61.8574487     27.9568845     43.6235710     72.2014960
     380.000      61.5719804     29.1372025     44.8966225     72.6441173
     390.000      61.2746977     30.3196118     46.1450434     73.0993463
     400.000      60.9655836     31.5033781     47.3684708     73.5669349
     410.000      60.6446279     32.6878135     48.5666165     74.0466315
     420.000      60.3118273     33.8722737     49.7392678     74.5381822
     430.000      59.9671844     35.0561558     50.8862850     75.0413314
     440.000      59.6107080     36.2388961     52.0075997     75.5558222
     450.000      59.2424120     37.4199681     53.1032110     76.0813977
     460.000      58.8623158     38.5988808     54.1731817     76.6178010
     470.000      58.4704432     39.7751768     55.2176344     77.1647763
     480.000      58.0668224     40.9484308     56.2367462     77.7220692
     490.000      57.6514860     42.1182479     57.2307442     78.2894275
     500.000      57.2244701     43.2842623     58.1999008     78.8666013
     510.000      56.7858146     44.4461356     59.1445286     79.4533437
     520.000      56.3355623     45.6035557     60.0649758     80.0494112
     530.000      55.8737592     46.7562352     60.9616219     80.6545639
     540.000      55.4004542     47.9039101     61.8348731     81.2685657
     550.000      54.9156985     49.0463386     62.6851585     81.8911848
     560.000      54.4195457     50.1833002     63.5129261     82.5221938
     570.000      53.9120514     51.3145936     64.3186396     83.1613698
     580.000      53.3932733     52.4400368     65.1027747     83.8084947
     590.000      52.8632707     53.5594648     65.8658168     84.4633550
     600.000      52.3221046     54.6727296     66.6082578     85.1257423
     610.000      51.7698371     55.7796983     67.3305937     85.7954531
     620.000      51.2065320     56.8802530     68.0333228     86.4722888
     630.000      50.6322538     57.9742890     68.7169435     87.1560559
     640.000      50.0470683     59.0617147     69.3819526     87.8465657
     650.000      49.4510418     60.1424503     70.0288439     88.5436345
     660.000      48.8442418     61.2164273     70.6581066     89.2470838
     670.000      48.2267360     62.2835874     71.2702246     89.9567395
     680.000      47.5985929     63.3438821     71.8656751     90.6724327
     690.000      46.9598814     64.3972720     72.4449279     91.3939990
     700.000      46.3106706     65.4437260     73.0084450     92.1212788
     710.000      45.6510301     66.4832210     73.5566793     92.8541170
     720.000      44.9810294     67.5157410     74.0900747     93.5923629
     730.000      44.3007385     68.5412767     74.6090658     94.3358705
     740.000      43.6102272     69.5598250     75.1140769     95.0844977
     750.000      42.9095653     70.5713887     75.6055225     95.8381068
     760.000      42.1988227     71.5759758     76.0838068     96.5965642
     770.000      41.4780690     72.5735992     76.5493235     97.3597404
     780.000      40.7473738     73.5642764     77.0024562     98.1275094
     790.000      40.0068065     74.5480290     77.4435778     98.8997495
     800.000      39.2564363     75.5248824     77.8730509     99.6763422
     810.000      38.4963318     76.4948655     78.2912281    100.4571728
     820.000      37.7265617     77.4580103     78.6984515    101.2421302
     830.000      36.9471943     78.4143520     79.0950532    102.0311065
     840.000      36.1582972     79.3639282     79.4813555    102.8239970
     850.000      35.3599381     80.3067790     79.8576708    103.6207003
     860.000      34.5521839     81.2429467     80.2243023    104.4211181
     870.000      33.7351013     82.1724755     80.5815434    105.2251550
     880.000      32.9087564     83.0954116     80.9296786    106.0327186
     890.000      32.0732149     84.0118025     81.2689835    106.8437192
     900.000      31.2285420     84.9216975     81.5997247    107.6580697
     910.000      30.3748024     85.8251467     81.9221607    108.4756860
     920.000      29.5120604     86.7222018     82.2365415    109.2964861
     930.000      28.6403795     87.6129153     82.5431089    110.1203908
     940.000      27.7598230     88.4973404     82.8420973    110.9473230
     950.000      26.8704535     89.3755312     83.1337331    111.7772082
     960.000      25.9723330     90.2475426     83.4182356    112.6099739
     970.000      25.0655231     91.1134296     83.6958168    113.4455498
     980.000      24.1500847     91.9732481     83.9666818    114.2838678
     990.000      23.2260782     92.8270541     84.2310292    115.1248618
    1000.000      22.2935634     93.6749039     84.4890507    115.9684673
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

