        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      65.5902202      0.0000000      0.0000000     65.5902202
      10.000      65.5901917      0.0132982      0.0391634     65.5903247
      20.000      65.5898229      0.0636036      0.1187798     65.5910950
      30.000      65.5888540      0.1342783      0.2522378     65.5928823
      40.000      65.5870326      0.2363791      0.4889092     65.5964877
      50.000      65.5839808      0.3819893      0.8508358     65.6030802
      60.000      65.5792229      0.5784522      1.3405495     65.6139301
      70.000      65.5722281      0.8299597      1.9605200     65.6303253
      80.000      65.5624304      1.1394420      2.7139489     65.6535858
      90.000      65.5492389      1.5089987      3.6005582     65.6850488
     100.000      65.5320463      1.9397720      4.6149688     65.7260235
     110.000      65.5102390      2.4318386      5.7472043     65.7777413
     120.000      65.4832083      2.9842323      6.9839632     65.8413162
     130.000      65.4503595      3.5950672      8.3100126     65.9177183
     140.000      65.4111209      4.2617159      9.7094726     66.0077611
     150.000      65.3649497      4.9810070     11.1668802     66.1121007
     160.000      65.3113370      5.7494197     12.6679702     66.2312441
     170.000      65.2498099      6.5632572     14.2001609     66.3655636
     180.000      65.1799328      7.4187907     15.7527695     66.5153152
     190.000      65.1013073      8.3123701     17.3170146     66.6806576
     200.000      65.0135703      9.2405019     18.8858705     66.8616707
     210.000      64.9163930     10.1998993     20.4538366     67.0583719
     220.000      64.8094783     11.1875086     22.0166717     67.2707302
     230.000      64.6925582     12.2005178     23.5711310     67.4986773
     240.000      64.5653919     13.2363527     25.1147260     67.7421165
     250.000      64.4277629     14.2926648     26.6455228     68.0009291
     260.000      64.2794775     15.3673141     28.1619780     68.2749791
     270.000      64.1203620     16.4583503     29.6628155     68.5641166
     280.000      63.9502618     17.5639926     31.1469356     68.8681797
     290.000      63.7690389     18.6826116     32.6133536     69.1869963
     300.000      63.5765713     19.8127115     34.0611606     69.5203847
     310.000      63.3727510     20.9529147     35.4895007     69.8681546
     320.000      63.1574836     22.1019487     36.8975608     70.2301072
     330.000      62.9306866     23.2586336     38.2845685     70.6060357
     340.000      62.6922891     24.4218731     39.6497941     70.9957259
     350.000      62.4422307     25.5906456     40.9925565     71.3989567
     360.000      62.1804609     26.7639977     42.3122290     71.8155001
     370.000      61.9069384     27.9410377     43.6082456     72.2451224
     380.000      61.6216306     29.1209311     44.8801064     72.6875845
     390.000      61.3245129     30.3028965     46.1273816     73.1426425
     400.000      61.0155683     31.4862017     47.3497139     73.6100489
     410.000      60.6947867     32.6701610     48.5468198     74.0895527
     420.000      60.3621650     33.8541322     49.7184896     74.5809005
     430.000      60.0177060     35.0375145     50.8645860     75.0838373
     440.000      59.6614185     36.2197460     51.9850418     75.5981068
     450.000      59.2933167     37.4003020     53.0798565     76.1234526
     460.000      58.9134197     38.5786933     54.1490929     76.6596186
     470.000      58.5217516     39.7544639     55.1928726     77.2063496
     480.000      58.1183406     40.9271900     56.2113716     77.7633918
     490.000      57.7032192     42.0964781     57.2048154     78.3304935
     500.000      57.2764237     43.2619636     58.1734744     78.9074055
     510.000      56.8379938     44.4233091     59.1176592     79.4938814
     520.000      56.3879724     45.5802036     60.0377157     80.0896783
     530.000      55.9264055     46.7323605     60.9340209     80.6945566
     540.000      55.4533418     47.8795167     61.8069786     81.3082808
     550.000      54.9688326     49.0214311     62.6570154     81.9306197
     560.000      54.4729314     50.1578836     63.4845768     82.5613462
     570.000      53.9656938     51.2886738     64.2901240     83.2002379
     580.000      53.4471774     52.4136198     65.0741303     83.8470769
     590.000      52.9174415     53.5325573     65.8370787     84.5016503
     600.000      52.3765468     54.6453385     66.5794586     85.1637499
     610.000      51.8245557     55.7518310     67.3017640     85.8331726
     620.000      51.2615315     56.8519168     68.0044909     86.5097199
     630.000      50.6875390     57.9454916     68.6881358     87.1931988
     640.000      50.1026437     59.0324640     69.3531933     87.8834207
     650.000      49.5069120     60.1127543     70.0001555     88.5802023
     660.000      48.9004111     61.1862939     70.6295097     89.2833651
     670.000      48.2832088     62.2530248     71.2417382     89.9927354
     680.000      47.6553735     63.3128984     71.8373167     90.7081444
     690.000      47.0169739     64.3658753     72.4167134     91.4294278
     700.000      46.3680791     65.4119245     72.9803887     92.1564262
     710.000      45.7087585     66.4510228     73.5287945     92.8889847
     720.000      45.0390819     67.4831540     74.0623734     93.6269527
     730.000      44.3591187     68.5083089     74.5815586     94.3701842
     740.000      43.6689389     69.5264843     75.0867736     95.1185373
     750.000      42.9686123     70.5376829     75.5784318     95.8718745
     760.000      42.2582085     71.5419126     76.0569363     96.6300621
     770.000      41.5377972     72.5391863     76.5226801     97.3929707
     780.000      40.8074479     73.5295212     76.9760459     98.1604745
     790.000      40.0672299     74.5129389     77.4174059     98.9324516
     800.000      39.3172121     75.4894646     77.8471221     99.7087838
     810.000      38.5574634     76.4591271     78.2655461    100.4893564
     820.000      37.7880523     77.4219583     78.6730197    101.2740582
     830.000      37.0090469     78.3779933     79.0698744    102.0627814
     840.000      36.2205150     79.3272695     79.4564319    102.8554214
     850.000      35.4225239     80.2698268     79.8330043    103.6518767
     860.000      34.6151407     81.2057075     80.1998940    104.4520492
     870.000      33.7984319     82.1349556     80.5573944    105.2558433
     880.000      32.9724636     83.0576172     80.9057894    106.0631667
     890.000      32.1373014     83.9737397     81.2453543    106.8739297
     900.000      31.2930104     84.8833720     81.5763554    107.6880452
     910.000      30.4396554     85.7865645     81.8990510    108.5054291
     920.000      29.5773004     86.6833685     82.2136906    109.3259994
     930.000      28.7060091     87.5738363     82.5205161    110.1496769
     940.000      27.8258446     88.4580211     82.8197613    110.9763845
     950.000      26.9368695     89.3359769     83.1116528    111.8060476
     960.000      26.0391457     90.2077584     83.3964094    112.6385937
     970.000      25.1327347     91.0734206     83.6742431    113.4739527
     980.000      24.2176975     91.9330191     83.9453589    114.3120562
     990.000      23.2940943     92.7866099     84.2099551    115.1528381
    1000.000      22.3619851     93.6342491     84.4682234    115.9962342
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

