        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Cmcm (63)
Computing force constants...
Number of irreducible q-points on sampling mesh: 50/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.2851858      0.0000000      0.0000000     66.2851858
      10.000      66.2851707      0.0085257      0.0330190     66.2852560
      20.000      66.2848509      0.0598667      0.1226175     66.2860483
      30.000      66.2839258      0.1275260      0.2276124     66.2877516
      40.000      66.2822281      0.2170129      0.4230287     66.2909086
      50.000      66.2794623      0.3432517      0.7413964     66.2966249
      60.000      66.2752078      0.5159247      1.1878818     66.3061633
      70.000      66.2689698      0.7407547      1.7664508     66.3208226
      80.000      66.2602052      1.0218100      2.4822040     66.3419500
      90.000      66.2483358      1.3621660      3.3369760     66.3709307
     100.000      66.2327574      1.7638400      4.3271140     66.4091414
     110.000      66.2128517      2.2276619      5.4435596     66.4578945
     120.000      66.1879981      2.7532627      6.6730274     66.5183896
     130.000      66.1575853      3.3391800      7.9995481     66.5916787
     140.000      66.1210213      3.9830409      9.4060008     66.6786470
     150.000      66.0777415      4.6817799     10.8754236     66.7800085
     160.000      66.0272145      5.4318620     12.3919930     66.8963124
     170.000      65.9689457      6.2294860     13.9416482     67.0279584
     180.000      65.9024793      7.0707564     15.5123927     67.1752154
     190.000      65.8273980      7.9518176     17.0943421     67.3382434
     200.000      65.7433227      8.8689519     18.6795939     67.5171131
     210.000      65.6499105      9.8186433     20.2619930     67.7118256
     220.000      65.5468523     10.7976154     21.8368490     67.9223277
     230.000      65.4338707     11.8028475     23.4006486     68.1485256
     240.000      65.3107170     12.8315750     24.9507886     68.3902950
     250.000      65.1771693     13.8812804     26.4853444     68.6474894
     260.000      65.0330291     14.9496770     28.0028801     68.9199452
     270.000      64.8781203     16.0346896     29.5022988     69.2074865
     280.000      64.7122863     17.1344341     30.9827303     69.5099278
     290.000      64.5353883     18.2471971     32.4434514     69.8270754
     300.000      64.3473042     19.3714163     33.8838299     70.1587290
     310.000      64.1479265     20.5056637     35.3032909     70.5046823
     320.000      63.9371618     21.6486297     36.7012961     70.8647233
     330.000      63.7149289     22.7991093     38.0773350     71.2386350
     340.000      63.4811583     23.9559908     39.4309220     71.6261952
     350.000      63.2357912     25.1182453     40.7615991     72.0271771
     360.000      62.9787787     26.2849186     42.0689401     72.4413494
     370.000      62.7100811     27.4551236     43.3525560     72.8684768
     380.000      62.4296672     28.6280344     44.6121010     73.3083203
     390.000      62.1375139     29.8028811     45.8472767     73.7606376
     400.000      61.8336055     30.9789455     47.0578365     74.2251837
     410.000      61.5179332     32.1555571     48.2435881     74.7017116
     420.000      61.1904946     33.3320898     49.4043953     75.1899723
     430.000      60.8512936     34.5079592     50.5401779     75.6897161
     440.000      60.5003395     35.6826202     51.6509120     76.2006924
     450.000      60.1376469     36.8555644     52.7366278     76.7226509
     460.000      59.7632355     38.0263181     53.7974077     77.2553418
     470.000      59.3771294     39.1944405     54.8333837     77.7985164
     480.000      58.9793568     40.3595220     55.8447344     78.3519274
     490.000      58.5699503     41.5211825     56.8316810     78.9153297
     500.000      58.1489458     42.6790696     57.7944841     79.4884806
     510.000      57.7163826     43.8328575     58.7334402     80.0711399
     520.000      57.2723033     44.9822455     59.6488771     80.6630710
     530.000      56.8167533     46.1269566     60.5411514     81.2640402
     540.000      56.3497806     47.2667360     61.4106439     81.8738180
     550.000      55.8714358     48.4013505     62.2577568     82.4921785
     560.000      55.3817715     49.5305865     63.0829101     83.1189000
     570.000      54.8808426     50.6542497     63.8865389     83.7537650
     580.000      54.3687057     51.7721635     64.6690903     84.3965605
     590.000      53.8454191     52.8841678     65.4310206     85.0470780
     600.000      53.3110425     53.9901187     66.1727934     85.7051137
     610.000      52.7656373     55.0898869     66.8948770     86.3704683
     620.000      52.2092658     56.1833571     67.5977423     87.0429472
     630.000      51.6419915     57.2704272     68.2818613     87.7223606
     640.000      51.0638789     58.3510073     68.9477055     88.4085235
     650.000      50.4749932     59.4250187     69.5957441     89.1012554
     660.000      49.8754006     60.4923939     70.2264431     89.8003806
     670.000      49.2651677     61.5530751     70.8402637     90.5057280
     680.000      48.6443616     62.6070140     71.4376621     91.2171311
     690.000      48.0130500     63.6541710     72.0190879     91.9344280
     700.000      47.3713009     64.6945146     72.5849838     92.6574611
     710.000      46.7191825     65.7280209     73.1357848     93.3860774
     720.000      46.0567633     66.7546731     73.6719179     94.1201279
     730.000      45.3841119     67.7744607     74.1938013     94.8594682
     740.000      44.7012970     68.7873795     74.7018446     95.6039578
     750.000      44.0083872     69.7934308     75.1964481     96.3534603
     760.000      43.3054512     70.7926211     75.6780027     97.1078433
     770.000      42.5925576     71.7849617     76.1468898     97.8669781
     780.000      41.8697748     72.7704683     76.6034815     98.6307401
     790.000      41.1371710     73.7491608     77.0481399     99.3990080
     800.000      40.3948142     74.7210626     77.4812176    100.1716643
     810.000      39.6427723     75.6862008     77.9030579    100.9485949
     820.000      38.8811126     76.6446054     78.3139941    101.7296891
     830.000      38.1099025     77.5963097     78.7143505    102.5148395
     840.000      37.3292087     78.5413491     79.1044418    103.3039419
     850.000      36.5390976     79.4797618     79.4845737    104.0968952
     860.000      35.7396354     80.4115881     79.8550427    104.8936012
     870.000      34.9308877     81.3368702     80.2161365    105.6939648
     880.000      34.1129196     82.2556522     80.5681343    106.4978936
     890.000      33.2857961     83.1679797     80.9113064    107.3052980
     900.000      32.4495814     84.0738997     81.2459152    108.1160912
     910.000      31.6043393     84.9734608     81.5722147    108.9301886
     920.000      30.7501332     85.8667123     81.8904510    109.7475086
     930.000      29.8870259     86.7537050     82.2008626    110.5679716
     940.000      29.0150798     87.6344901     82.5036804    111.3915005
     950.000      28.1343567     88.5091199     82.7991281    112.2180206
     960.000      27.2449178     89.3776474     83.0874222    113.0474592
     970.000      26.3468239     90.2401258     83.3687723    113.8797459
     980.000      25.4401352     91.0966092     83.6433813    114.7148122
     990.000      24.5249115     91.9471517     83.9114457    115.5525917
    1000.000      23.6012118     92.7918081     84.1731555    116.3930199
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

