        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Fd-3m (227)
Computing force constants...
Number of irreducible q-points on sampling mesh: 324/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      29.8913799      0.0000000      0.0000000     29.8913799
      10.000      29.8913799      0.0000000      0.0000000     29.8913799
      20.000      29.8913798      0.0000143      0.0001652     29.8913801
      30.000      29.8913777      0.0006786      0.0052568     29.8913981
      40.000      29.8913549      0.0047804      0.0283828     29.8915461
      50.000      29.8912582      0.0160157      0.0793415     29.8920590
      60.000      29.8910007      0.0373865      0.1636165     29.8932439
      70.000      29.8904686      0.0713208      0.2868649     29.8954611
      80.000      29.8895248      0.1201228      0.4561354     29.8991346
      90.000      29.8880088      0.1861457      0.6787953     29.9047619
     100.000      29.8857366      0.2717308      0.9611568     29.9129097
     110.000      29.8825016      0.3790693      1.3077166     29.9241992
     120.000      29.8780763      0.5100867      1.7210076     29.9392867
     130.000      29.8722156      0.6663757      2.2017620     29.9588444
     140.000      29.8646604      0.8491700      2.7491470     29.9835442
     150.000      29.8551409      1.0593429      3.3609778     30.0140423
     160.000      29.8433805      1.2974189      4.0339013     30.0509675
     170.000      29.8290988      1.5635928      4.7635716     30.0949096
     180.000      29.8120153      1.8577537      5.5448348     30.1464110
     190.000      29.7918517      2.1795125      6.3719285     30.2059591
     200.000      29.7683351      2.5282331      7.2386876     30.2739818
     210.000      29.7412000      2.9030660      8.1387453     30.3508438
     220.000      29.7101902      3.3029827      9.0657186     30.4368464
     230.000      29.6750606      3.7268108     10.0133680     30.5322271
     240.000      29.6355785      4.1732675     10.9757281     30.6371627
     250.000      29.5915244      4.6409905     11.9472066     30.7517720
     260.000      29.5426925      5.1285673     12.9226531     30.8761200
     270.000      29.4888917      5.6345594     13.8974015     31.0102227
     280.000      29.4299448      6.1575251     14.8672893     31.1540518
     290.000      29.3656893      6.6960369     15.8286586     31.3075400
     300.000      29.2959769      7.2486969     16.7783426     31.4705860
     310.000      29.2206728      7.8141488     17.7136425     31.6430589
     320.000      29.1396556      8.3910864     18.6322961     31.8248033
     330.000      29.0528169      8.9782611     19.5324434     32.0156431
     340.000      28.9600602      9.5744859     20.4125893     32.2153854
     350.000      28.8613008     10.1786385     21.2715660     32.4238243
     360.000      28.7564646     10.7896630     22.1084964     32.6407432
     370.000      28.6454879     11.4065694     22.9227582     32.8659186
     380.000      28.5283167     12.0284338     23.7139518     33.0991215
     390.000      28.4049056     12.6543960     24.4818692     33.3401200
     400.000      28.2752178     13.2836584     25.2264660     33.5886811
     410.000      28.1392239     13.9154830     25.9478368     33.8445719
     420.000      27.9969018     14.5491888     26.6461926     34.1075611
     430.000      27.8482359     15.1841492     27.3218406     34.3774201
     440.000      27.6932166     15.8197885     27.9751668     34.6539235
     450.000      27.5318397     16.4555796     28.6066209     34.9368505
     460.000      27.3641061     17.0910405     29.2167027     35.2259847
     470.000      27.1900214     17.7257312     29.8059506     35.5211151
     480.000      27.0095954     18.3592516     30.3749319     35.8220362
     490.000      26.8228415     18.9912380     30.9242342     36.1285481
     500.000      26.6297768     19.6213608     31.4544582     36.4404573
     510.000      26.4304215     20.2493220     31.9662119     36.7575757
     520.000      26.2247985     20.8748528     32.4601050     37.0797220
     530.000      26.0129334     21.4977113     32.9367453     37.4067203
     540.000      25.7948539     22.1176805     33.3967350     37.7384014
     550.000      25.5705900     22.7345663     33.8406676     38.0746015
     560.000      25.3401734     23.3481959     34.2691259     38.4151631
