        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Fd-3m (227)
Computing force constants...
Number of irreducible q-points on sampling mesh: 324/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      30.4958980      0.0000000      0.0000000     30.4958980
      10.000      30.4958980      0.0000000      0.0000000     30.4958980
      20.000      30.4958980      0.0000122      0.0001433     30.4958982
      30.000      30.4958961      0.0006072      0.0047555     30.4959143
      40.000      30.4958754      0.0043697      0.0262207     30.4960502
      50.000      30.4957863      0.0148231      0.0741568     30.4965275
      60.000      30.4955469      0.0348787      0.1539893     30.4976396
      70.000      30.4950489      0.0668957      0.2711636     30.4997316
      80.000      30.4941617      0.1131006      0.4324055     30.5032097
      90.000      30.4927320      0.1757567      0.6447453     30.5085501
     100.000      30.4905842      0.2571100      0.9141961     30.5162952
     110.000      30.4875205      0.3592577      1.2450158     30.5270388
     120.000      30.4833236      0.4840387      1.6395858     30.5414082
     130.000      30.4777592      0.6329722      2.0986080     30.5600455
     140.000      30.4705796      0.8072380      2.6213697     30.5835929
     150.000      30.4615271      1.0076803      3.2059644     30.6126792
     160.000      30.4503370      1.2348230      3.8494591     30.6479087
     170.000      30.4367409      1.4888892      4.5480356     30.6898520
     180.000      30.4204696      1.7698235      5.2971317     30.7390378
     190.000      30.4012559      2.0773163      6.0915960     30.7959459
     200.000      30.3788365      2.4108295      6.9258549     30.8610024
     210.000      30.3529550      2.7696253      7.7940839     30.9345763
     220.000      30.3233628      3.1527949      8.6903726     31.0169776
     230.000      30.2898213      3.5592889      9.6088741     31.1084578
     240.000      30.2521031      3.9879466     10.5439313     31.2092103
     250.000      30.2099926      4.4375240     11.4901789     31.3193736
     260.000      30.1632872      4.9067201     12.4426184     31.4390344
     270.000      30.1117973      5.3942001     13.3966687     31.5682313
     280.000      30.0553468      5.8986164     14.3481951     31.7069594
     290.000      29.9937730      6.4186260     15.2935206     31.8551745
     300.000      29.9269267      6.9529054     16.2294215     32.0127983
     310.000      29.8546716      7.5001631     17.1531130     32.1797222
     320.000      29.7768843      8.0591487     18.0622256     32.3558119
     330.000      29.6934536      8.6286603     18.9547774     32.5409115
     340.000      29.6042799      9.2075498     19.8291419     32.7348468
     350.000      29.5092750      9.7947267     20.6840154     32.9374293
     360.000      29.4083612     10.3891600     21.5183835     33.1484587
     370.000      29.3014708     10.9898791     22.3314886     33.3677261
     380.000      29.1885457     11.5959742     23.1227994     33.5950158
     390.000      29.0695362     12.2065950     23.8919814     33.8301083
     400.000      28.9444013     12.8209496     24.6388705     34.0727811
     410.000      28.8131073     13.4383025     25.3634485     34.3228113
     420.000      28.6756276     14.0579727     26.0658208     34.5799761
     430.000      28.5319422     14.6793307     26.7461969     34.8440544
     440.000      28.3820373     15.3017964     27.4048728     35.1148277
     450.000      28.2259044     15.9248364     28.0422155     35.3920807
     460.000      28.0635402     16.5479610     28.6586490     35.6756023
     470.000      27.8949464     17.1707218     29.2546431     35.9651856
     480.000      27.7201284     17.7927090     29.8307026     36.2606287
     490.000      27.5390960     18.4135489     30.3873590     36.5617350
