        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.10.10

Python version 2.7.12
Spglib version 1.9.2
Mesh sampling mode
Settings:
  Sampling mesh: [9 9 4]
  Supercell: [2 2 2]
Spacegroup: Fd-3m (227)
Computing force constants...
Number of irreducible q-points on sampling mesh: 324/324
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      34.5257670      0.0000000      0.0000000     34.5257670
      10.000      34.5257670      0.0000000      0.0000000     34.5257670
      20.000      34.5257670      0.0000054      0.0000672     34.5257671
      30.000      34.5257660      0.0003365      0.0027865     34.5257761
      40.000      34.5257535      0.0027093      0.0171606     34.5258619
      50.000      34.5256960      0.0098100      0.0515606     34.5261865
      60.000      34.5255335      0.0240486      0.1109431     34.5269764
      70.000      34.5251846      0.0474138      0.1998229     34.5285035
      80.000      34.5245486      0.0817583      0.3236426     34.5310893
      90.000      34.5235066      0.1289517      0.4881856     34.5351122
     100.000      34.5219206      0.1908491      0.6984123     34.5410055
     110.000      34.5196348      0.2691752      0.9576566     34.5492441
     120.000      34.5164773      0.3654161      1.2674402     34.5603273
     130.000      34.5122628      0.4807585      1.6277366     34.5747614
     140.000      34.5067955      0.6160796      2.0374137     34.5930467
     150.000      34.4998726      0.7719709      2.4946487     34.6156682
     160.000      34.4912864      0.9487777      2.9972239     34.6430908
     170.000      34.4808268      1.1466404      3.5426921     34.6757557
     180.000      34.4682835      1.3655305      4.1284456     34.7140789
     190.000      34.4534467      1.6052792      4.7517297     34.7584497
     200.000      34.4361093      1.8655983      5.4096366     34.8092290
     210.000      34.4160674      2.1460963      6.0991024     34.8667477
     220.000      34.3931217      2.4462901      6.8169173     34.9313055
     230.000      34.3670779      2.7656155      7.5597524     35.0031694
     240.000      34.3377477      3.1034370      8.3241993     35.0825726
     250.000      34.3049498      3.4590568      9.1068181     35.1697140
     260.000      34.2685098      3.8317245      9.9041893     35.2647581
     270.000      34.2282611      4.2206469     10.7129632     35.3678358
     280.000      34.1840454      4.6249972     11.5299056     35.4790446
     290.000      34.1357126      5.0439250     12.3519363     35.5984508
     300.000      34.0831212      5.4765648     13.1761595     35.7260906
     310.000      34.0261385      5.9220447     13.9998869     35.8619723
     320.000      33.9646404      6.3794939     14.8206518     36.0060785
     330.000      33.8985116      6.8480498     15.6362172     36.1583680
     340.000      33.8276452      7.3268634     16.4445778     36.3187788
     350.000      33.7519429      7.8151049     17.2439563     36.4872296
     360.000      33.6713144      8.3119677     18.0327967     36.6636227
     370.000      33.5856774      8.8166716     18.8097541     36.8478459
     380.000      33.4949573      9.3284659     19.5736822     37.0397744
     390.000      33.3990869      9.8466309     20.3236199     37.2392729
     400.000      33.2980058     10.3704793     21.0587768     37.4461975
     410.000      33.1916605     10.8993574     21.7785185     37.6603970
     420.000      33.0800039     11.4326450     22.4823518     37.8817148
     430.000      32.9629949     11.9697557     23.1699108     38.1099898
     440.000      32.8405979     12.5101364     23.8409429     38.3450579
     450.000      32.7127830     13.0532669     24.4952959     38.5867531
     460.000      32.5795250     13.5986587     25.1329062     38.8349080
     470.000      32.4408038     14.1458545     25.7537876     39.0893554
     480.000      32.2966034     14.6944269     26.3580206     39.3499283
     490.000      32.1469120     15.2439771     26.9457437     39.6164608
     500.000      31.9917218     15.7941339     27.5171444     39.8887887
     510.000      31.8310284     16.3445521     28.0724517     40.1667500
     520.000      31.6648310     16.8949116     28.6119295     40.4501850
     530.000      31.4931314     17.4449159     29.1358701     40.7389368
     540.000      31.3159347     17.9942906     29.6445894     41.0328517
     550.000      31.1332485     18.5427826     30.1384212     41.3317790
     560.000      30.9450828     19.0901586     30.6177139     41.6355716
     570.000      30.7514498     19.6362038     31.0828263     41.9440860
     580.000      30.5523638     20.1807212     31.5341246     42.2571821
     590.000      30.3478411     20.7235298     31.9719797     42.5747237
     600.000      30.1378995     21.2644644     32.3967644     42.8965781
     610.000      29.9225585     21.8033739     32.8088519     43.2226166
     620.000      29.7018392     22.3401208     33.2086135     43.5527141
     630.000      29.4757638     22.8745798     33.5964177     43.8867490
     640.000      29.2443556     23.4066378     33.9726283     44.2246038
     650.000      29.0076393     23.9361920     34.3376038     44.5661642
     660.000      28.7656404     24.4631502     34.6916967     44.9113196
     670.000      28.5183853     24.9874294     35.0352521     45.2599630
     680.000      28.2659010     25.5089553     35.3686080     45.6119906
     690.000      28.0082156     26.0276618     35.6920940     45.9673022
     700.000      27.7453574     26.5434904     36.0060319     46.3258007
     710.000      27.4773555     27.0563895     36.3107346     46.6873921
     720.000      27.2042395     27.5663140     36.6065066     47.0519856
     730.000      26.9260393     28.0732249     36.8936434     47.4194934
     740.000      26.6427852     28.5770885     37.1724318     47.7898307
     750.000      26.3545078     29.0778765     37.4431498     48.1629152
     760.000      26.0612380     29.5755654     37.7060667     48.5386676
     770.000      25.7630069     30.0701357     37.9614432     48.9170114
     780.000      25.4598457     30.5615725     38.2095313     49.2978722
     790.000      25.1517859     31.0498641     38.4505749     49.6811785
     800.000      24.8388589     31.5350026     38.6848094     50.0668610
     810.000      24.5210964     32.0169832     38.9124624     50.4548528
     820.000      24.1985298     32.4958040     39.1337535     50.8450891
     830.000      23.8711908     32.9714657     39.3488948     51.2375073
     840.000      23.5391110     33.4439716     39.5580909     51.6320471
     850.000      23.2023219     33.9133272     39.7615391     52.0286500
     860.000      22.8608549     34.3795401     39.9594299     52.4272594
     870.000      22.5147415     34.8426197     40.1519467     52.8278207
     880.000      22.1640129     35.3025773     40.3392667     53.2302810
     890.000      21.8087003     35.7594258     40.5215604     53.6345893
     900.000      21.4488347     36.2131792     40.6989923     54.0406960
     910.000      21.0844470     36.6638532     40.8717210     54.4485534
     920.000      20.7155679     37.1114645     41.0398994     54.8581153
     930.000      20.3422279     37.5560310     41.2036746     55.2693367
     940.000      19.9644574     37.9975715     41.3631888     55.6821746
     950.000      19.5822865     38.4361056     41.5185786     56.0965868
     960.000      19.1957452     38.8716538     41.6699760     56.5125328
     970.000      18.8048633     39.3042372     41.8175080     56.9299734
     980.000      18.4096703     39.7338778     41.9612972     57.3488705
     990.000      18.0101955     40.1605978     42.1014616     57.7691873
    1000.000      17.6064680     40.5844201     42.2381151     58.1908880
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

